Product;Color;Size;Ldate;Age Group;Person;Pname;Ptype;Tprice;Currency;Sales Season;Nstore
3.6E+101_2;Other;Thick;36;29-38;Pregnant;One-Piece Pants;Thin;0.1340782122905028;Y;Autumn;0.0015508684863523572
30E000400_2;Black;Thick;45;4-6;Girls;One Internal Pants;Thick;0.10614525139664806;$;Winter;0.19478908188585609
30E823101_2;Grey;No Size;39;4-6;Girls;One Internal Pants;Thick;0.10614525139664806;$;Winter;0.02109181141439206
30E823102_2;Grey;No Size;39;7-9;Girls;One Internal Pants;Thick;0.10614525139664806;$;Winter;0.021401985111662532
30E823103_2;Grey;No Size;39;10-15;Girls;One Internal Pants;Thick;0.10614525139664806;$;Winter;0.02109181141439206
30E823104_2;Black;No Size;39;4-6;Girls;One Internal Pants;Thick;0.10614525139664806;$;Winter;0.011166253101736974
30E823105_2;Black;No Size;39;7-9;Girls;One Internal Pants;Thick;0.10614525139664806;$;Winter;0.017990074441687345
30E823106_2;Black;No Size;39;10-15;Girls;One Internal Pants;Thick;0.10614525139664806;$;Winter;0.018300248138957816
30E823107_2;Black;No Size;39;4-6;Girls;One Internal Pants;Thick;0.10614525139664806;$;Winter;0.02698511166253102
30E823108_2;Black;No Size;39;7-9;Girls;One Internal Pants;Thick;0.10614525139664806;$;Winter;0.026674937965260548
30E823109_2;Black;No Size;39;10-15;Girls;One Internal Pants;Thick;0.10614525139664806;$;Winter;0.02729528535980149
31A000700_2;Other;No Size;46;29-38;Men;Socks;Wool Socks;0.039106145251396655;$;Winter;0.10266749379652605
31A001000_2;Other;No Size;46;29-38;Men;Socks;Wool Socks;0.039106145251396655;$;Winter;0.10142679900744417
31A001100_2;Other;No Size;46;29-38;Men;Socks;Wool Socks;0.039106145251396655;$;Winter;0.08281637717121587
31A001200_2;Other;No Size;46;29-38;Men;Socks;Wool Socks;0.039106145251396655;$;Winter;0.10049627791563275
31A001300_2;Other;No Size;48;29-38;Men;Socks;Wool Socks;0.0782122905027933;Y;Winter;0.015818858560794045
31A001400_2;Other;No Size;48;29-38;Men;Socks;Wool Socks;0.0782122905027933;Y;Winter;0.015818858560794045
31A001500_2;Other;No Size;48;29-38;Men;Socks;Wool Socks;0.0782122905027933;Y;Winter;0.016129032258064516
31A001600_2;Other;No Size;48;29-38;Men;Socks;Wool Socks;0.0782122905027933;Y;Winter;0.016129032258064516
31A001700_2;Other;No Size;48;29-38;Men;Socks;Wool Socks;0.0782122905027933;Y;Winter;0.003101736972704715
31A001800_2;Other;No Size;48;29-38;Men;Socks;Wool Socks;0.0782122905027933;Y;Winter;0.015818858560794045
31A002000_2;Other;No Size;48;29-38;Men;Socks;Wool Socks;0.0782122905027933;Y;Winter;0.0015508684863523572
31A002100_2;Other;No Size;48;29-38;Men;Socks;Wool Socks;0.0782122905027933;Y;Winter;0.0012406947890818859
31A002500_2;Other;25cm-27cm;52;29-38;Men;Socks;Wool Socks;0.039106145251396655;$;Winter;0.020471464019851116
31A002600_2;Other;25cm-27cm;52;29-38;Men;Socks;Wool Socks;0.039106145251396655;$;Winter;0.015508684863523574
31A002700_2;Other;18cm-20cm;51;29-38;Men;Socks;Wool Socks;0.039106145251396655;$;Winter;0.0009305210918114144
31A999901_2;Red;25cm-27cm;43;29-38;Men;Socks;Wool Socks;0.039106145251396655;$;Winter;0.5462158808933002
31A999902_2;Blue;25cm-27cm;43;29-38;Men;Socks;Wool Socks;0.039106145251396655;$;Winter;0.5201612903225806
31A999903_2;Other;25cm-27cm;45;29-38;Men;Socks;Wool Socks;0.0111731843575419;$;Winter;0.09460297766749379
31A999904_2;Other;25cm-27cm;45;29-38;Men;Socks;Wool Socks;0.0111731843575419;$;Winter;0.08746898263027295
31A999905_2;Other;No Size;49;18-28;Men;Socks;Wool Socks;0.05027932960893855;Y;Winter;0.0
31A999906_2;Other;No Size;49;18-28;Men;Socks;Wool Socks;0.05027932960893855;Y;Winter;0.0
31A999907_2;Other;No Size;49;18-28;Men;Socks;Wool Socks;0.05027932960893855;Y;Winter;0.0
31B000300_2;Other;16cm-18cm;42;4-6;Boys;Socks;Stockings;0.0223463687150838;Y;Winter;0.054280397022332505
31C000963_2;Black;Sheer;40;29-38;Female;One-Piece Pants Inside;Thin;0.0782122905027933;$;Autumn;0.10421836228287841
31C001001_2;Black;No Size;9;29-38;Female;One-Piece Pants Inside;Thin;0.05027932960893855;Y;Spring;0.0009305210918114144
31C002201_2;Grey;No Size;36;18-28;Female;One-Piece Pants Inside;Thin;0.0782122905027933;$;Autumn;0.008064516129032258
31C002300_2;Black;Sheer;43;29-38;Female;One-Piece Pants Inside;Thin;0.0782122905027933;$;Autumn;0.10514888337468982
31C002400_2;Black;Sheer;37;29-38;Female;One-Piece Pants Inside;Thin;0.10614525139664806;$;Autumn;0.1063895781637717
31C002500_2;Black;Sheer;37;18-28;Female;One-Piece Pants Inside;Thin;0.0782122905027933;$;Autumn;0.002791563275434243
31C002600_2;Black;Medium Thick;39;29-38;Female;One Internal Pants;Medium Thick;0.10614525139664806;$;Winter;0.10732009925558313
31C002800_2;Other;Sheer;39;18-28;Female;One-Piece Pants Inside;Medium Thick;0.0782122905027933;$;Winter;0.06823821339950371
31C003002_2;Brown;No Size;36;18-28;Female;One-Piece Pants Inside;Thin;0.10614525139664806;$;Autumn;0.006513647642679901
31C180100_2;Black;No Size;39;18-28;Female;One-Piece Pants Inside;Thin;0.10614525139664806;$;Autumn;0.013337468982630274
31C180301_2;Black;No Size;44;18-28;Female;One-Piece Pants Inside;Thin;0.10614525139664806;$;Autumn;0.007133995037220843
31C620400_2;Black;Sheer;41;18-28;Female;One-Piece Pants Inside;Thin;0.0782122905027933;$;Autumn;0.002791563275434243
31C901903_2;Black;Sheer;12;18-28;Female;One-Piece Pants Inside;Thin;0.05027932960893855;Y;Spring;0.0009305210918114144
31C999901_2;Black;Sheer;42;18-28;Female;One-Piece Pants Inside;Thin;0.0223463687150838;Y;Autumn;0.09367245657568238
31C999902_2;Black;Sheer;42;18-28;Female;One-Piece Pants Inside;Thin;0.0223463687150838;Y;Autumn;0.006513647642679901
31C999903_2;Black;Sheer;42;18-28;Female;One-Piece Pants Inside;Thin;0.0223463687150838;Y;Autumn;0.04683622828784119
31C999904_2;Black;Sheer;37;29-38;Female;One-Piece Pants Inside;Thin;0.1340782122905028;Y;Autumn;0.22115384615384617
31C999905_2;Black;Sheer;37;29-38;Female;One-Piece Pants Inside;Thin;0.1340782122905028;Y;Autumn;0.11011166253101737
31C999906_2;Black;Sheer;33;18-28;Female;One-Piece Pants Inside;Thin;0.10614525139664806;$;Autumn;0.22053349875930522
31C999907_2;Black;Sheer;33;18-28;Female;One-Piece Pants Inside;Thin;0.10614525139664806;$;Autumn;0.22208436724565758
31C999909_2;Black;Sheer;33;29-38;Female;One-Piece Pants Inside;Thin;0.10614525139664806;$;Autumn;0.10732009925558313
31C999910_2;Natural;Sheer;38;29-38;Female;One-Piece Pants Inside;Thin;0.10614525139664806;$;Autumn;0.10607940446650124
31C999911_2;Black;Sheer;33;29-38;Female;One Internal Pants;Thin;0.16201117318435754;$;Autumn;0.22146401985111663
31C999912_2;Black;Sheer;33;29-38;Female;One Internal Pants;Thin;0.16201117318435754;$;Autumn;0.11104218362282878
31C999913_2;Black;Sheer;38;29-38;Female;One-Piece Pants Inside;Thin;0.10614525139664806;$;Autumn;0.1783498759305211
31C999914_2;Black;Sheer;37;29-38;Female;One Internal Pants;Thin;0.16201117318435754;$;Autumn;0.1098014888337469
325000105_2;Other;No Size;1;29-38;Men;Socks;Stockings;0.0;Y;Autumn;0.0006203473945409429
325000107_2;Other;No Size;9;29-38;Female;Socks;Invisible Socks;0.025139664804469275;Y;Summer;0.00031017369727047146
325000108_2;Other;No Size;9;29-38;Female;Socks;Stealth Socks;0.0223463687150838;$;Summer;0.001861042183622829
