Product;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
3.6E+101_2;1.0;8.0;18.0;18.0;12.0;8.0;9.0;6.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
30E000400_2;68.0;460.0;1014.0;1139.0;986.0;891.0;1027.0;1028.0;776.0;641.0;499.0;323.0;197.0;141.0;89.0;63.0
30E823101_2;3.0;25.0;55.0;99.0;114.0;138.0;151.0;214.0;212.0;199.0;225.0;167.0;172.0;148.0;126.0;71.0
30E823102_2;13.0;66.0;145.0;154.0;161.0;165.0;254.0;290.0;283.0;314.0;277.0;302.0;257.0;216.0;130.0;66.0
30E823103_2;3.0;29.0;102.0;192.0;188.0;211.0;239.0;367.0;412.0;382.0;404.0;297.0;280.0;280.0;270.0;143.0
30E823104_2;9.0;34.0;57.0;60.0;78.0;61.0;25.0;21.0;13.0;16.0;18.0;23.0;24.0;34.0;57.0;60.0
30E823105_2;31.0;95.0;149.0;142.0;198.0;177.0;70.0;46.0;25.0;32.0;48.0;56.0;58.0;95.0;149.0;142.0
30E823106_2;36.0;85.0;131.0;150.0;206.0;187.0;88.0;68.0;46.0;52.0;64.0;63.0;70.0;85.0;131.0;150.0
30E823107_2;20.0;82.0;149.0;155.0;281.0;283.0;190.0;191.0;126.0;137.0;140.0;160.0;122.0;82.0;149.0;155.0
30E823108_2;23.0;108.0;222.0;237.0;357.0;400.0;327.0;323.0;265.0;256.0;242.0;241.0;152.0;108.0;222.0;237.0
30E823109_2;29.0;103.0;221.0;273.0;423.0;478.0;419.0;405.0;303.0;324.0;354.0;382.0;245.0;103.0;221.0;273.0
31A000700_2;419.0;1237.0;1857.0;1599.0;1257.0;1157.0;1015.0;1071.0;849.0;500.0;612.0;790.0;480.0;182.0;67.0;29.0
31A001000_2;137.0;406.0;547.0;524.0;574.0;558.0;561.0;686.0;569.0;351.0;563.0;746.0;561.0;399.0;219.0;75.0
31A001100_2;69.0;269.0;379.0;348.0;495.0;574.0;522.0;554.0;471.0;320.0;485.0;594.0;400.0;261.0;125.0;39.0
31A001200_2;123.0;465.0;708.0;583.0;641.0;755.0;693.0;750.0;600.0;383.0;532.0;632.0;389.0;200.0;120.0;75.0
31A001300_2;6.0;87.0;180.0;190.0;160.0;154.0;134.0;161.0;185.0;135.0;91.0;212.0;235.0;62.0;13.0;7.0
31A001400_2;7.0;67.0;113.0;126.0;115.0;101.0;97.0;121.0;142.0;93.0;55.0;180.0;179.0;26.0;22.0;16.0
31A001500_2;14.0;80.0;116.0;110.0;96.0;87.0;93.0;108.0;130.0;97.0;51.0;174.0;188.0;42.0;24.0;19.0
31A001600_2;15.0;71.0;120.0;133.0;108.0;121.0;141.0;135.0;137.0;109.0;63.0;190.0;205.0;38.0;26.0;22.0
31A001700_2;23.0;34.0;23.0;18.0;15.0;13.0;16.0;18.0;8.0;6.0;27.0;28.0;5.0;0.0;0.0;0.0
31A001800_2;10.0;75.0;132.0;144.0;108.0;92.0;102.0;107.0;116.0;95.0;74.0;170.0;149.0;14.0;22.0;25.0
31A002000_2;1.0;7.0;27.0;26.0;10.0;13.0;20.0;19.0;9.0;6.0;34.0;37.0;9.0;13.0;14.0;3.0
31A002100_2;15.0;22.0;7.0;13.0;19.0;10.0;11.0;15.0;12.0;31.0;36.0;15.0;20.0;14.0;0.0;0.0
