;Key_lvl1;Key_lvl2;Key_lvl3;Key_lvl4;Key_lvl5;Key_lvl6;Base Price 1 Target Value;Color;Size;Gender;Year of Commodity;Launch Date;Tag Price;Sales Season;Age Group;Cluster;Centroid
0;31C0009635602;31C000963_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Black;Sheer;No Gender;2016;05/10/2016;29.0;Autumn;29-38;1;('335030700_2',)
1;31C0023005602;31C002300_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Black;Sheer;No Gender;2016;25/10/2016;29.0;Autumn;29-38;1;('335030700_2',)
2;31C0024005602;31C002400_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Black;Sheer;No Gender;2017;15/09/2017;39.0;Autumn;29-38;8;('328031000_2',)
3;31C0025005602;31C002500_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Black;Sheer;No Gender;2017;11/09/2017;29.0;Autumn;18-28;4;('331032200_2',)
4;31C0030026400;31C003002_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Sheer Beige;No Size;No Gender;2016;08/09/2016;39.0;Autumn;18-28;6;('331023400_2',)
5;31C1801005600;31C180100_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Black;No Size;No Gender;2016;28/09/2016;39.0;Autumn;18-28;4;('331032200_2',)
6;31C1803015600;31C180301_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Black;No Size;No Gender;2016;02/11/2016;39.0;Autumn;18-28;1;('335030700_2',)
7;31C6204005602;31C620400_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Black;Sheer;No Gender;2017;11/10/2017;29.0;Autumn;18-28;1;('335030700_2',)
8;31C9999015602;31C999901_2;Female - One-piece pants inside - Thin 9 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;9.0;Black;Sheer;No Gender;2016;17/10/2016;9.0;Autumn;18-28;1;('335030700_2',)
9;31C9999035602;31C999903_2;Female - One-piece pants inside - Thin 9 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;9.0;Black;Sheer;No Gender;2016;17/10/2016;9.0;Autumn;18-28;1;('335030700_2',)
10;31C9999045602;31C999904_2;Female - One-piece pants inside - Thin - 49 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;49.0;Black;Sheer;No Gender;2017;15/09/2017;49.0;Autumn;29-38;10;('345022900_2',)
11;31C9999075602;31C999907_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Black;Sheer;No Gender;2017;15/08/2017;39.0;Autumn;18-28;5;('345024600_2',)
12;31C9999108002;31C999910_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Natural;Sheer;No Gender;2017;24/09/2017;39.0;Autumn;29-38;1;('335030700_2',)
13;31C9999115602;31C999911_2;Female - One Internal Pants - Thin - $59;Female - One Internal Pants - Thin;Female - One-piece pants;Female;59.0;Black;Sheer;No Gender;2017;15/08/2017;59.0;Autumn;29-38;7;('337880302_2',)
14;31C9999145602;31C999914_2;Female - One Internal Pants - Thin - $59;Female - One Internal Pants - Thin;Female - One-piece pants;Female;59.0;Black;Sheer;No Gender;2017;13/09/2017;59.0;Autumn;29-38;5;('345024600_2',)
15;3250026000000;325002600_2;Men - Socks - Tube Socks - 10 RMB;Men - Socks - Stockings;Male - socks;male;10.0;No Color;No Size;Male;2012;01/01/1900;10.0;Autumn;29-38;1;('335030700_2',)
16;3250288000000;325028800_2;Men - Socks - Tube Socks - $15;Men - Socks - Stockings;Male - socks;male;15.0;No Color;No Size;Male;2012;01/01/1900;15.0;Autumn;29-38;7;('337880302_2',)
17;3250291000000;325029100_2;Men - Socks - Stockings - $10;Men - Socks - Stockings;Male - socks;male;10.0;No Color;No Size;Male;2012;01/01/1900;10.0;Autumn;29-38;7;('337880302_2',)
18;3250297000000;325029700_2;Men - Socks - Stockings - $15;Men - Socks - Stockings;Male - socks;male;15.0;No Color;No Size;Male;2012;01/01/1900;15.0;Autumn;29-38;7;('337880302_2',)
19;3250298000000;325029800_2;Men - Socks - Stockings - $15;Men - Socks - Stockings;Male - socks;male;15.0;No Color;No Size;Male;2012;01/01/1900;15.0;Autumn;29-38;7;('337880302_2',)
20;3250346000000;325034600_2;Women - Socks - Stockings - -8 yuan;Female - Socks - Stockings;Female - socks;Female;8.0;No Color;No Size;Female;2012;01/01/1900;8.0;Autumn;29-38;1;('335030700_2',)
21;3250369000000;325036900_2;Women - Socks - Stockings - $3.5;Female - Socks - Stockings;Female - socks;Female;4.0;No Color;No Size;Female;2012;01/01/1900;3.5;Autumn;29-38;1;('335030700_2',)
22;3250371000000;325037100_2;Women - Socks - Stockings - $3.5;Female - Socks - Stockings;Female - socks;Female;4.0;No Color;No Size;Female;2012;01/01/1900;3.5;Autumn;29-38;6;('331023400_2',)
23;3250480060000;325048006_2;Men - Socks - Stockings - 4.8 RMB;Men - Socks - Stockings;Male - socks;male;5.0;No Color;No Size;Female;2014;03/09/2014;4.8;Autumn;29-38;3;('347000500_2',)
24;3250502000000;325050200_2;Women - Socks - Stockings - $3.5;Female - Socks - Stockings;Female - socks;Female;4.0;No Color;No Size;Female;2013;03/09/2013;3.5;Autumn;29-38;2;('338020000_2',)
25;3250616030000;325061603_2;Women - Socks - Tube Socks - 19 yuan;Female - Socks - Stockings;Female - socks;Female;19.0;No Color;No Size;Female;2014;12/08/2014;19.0;Autumn;29-38;1;('335030700_2',)
26;3251184030000;325118403_2;Women - Socks - Stockings - $15;Female - Socks - Stockings;Female - socks;Female;15.0;No Color;No Size;Female;2014;12/09/2014;15.0;Autumn;29-38;2;('338020000_2',)
27;3270189000802;327018900_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Purplish Red;Sheer;Female;2013;09/09/2013;39.0;Autumn;29-38;1;('335030700_2',)
28;3270253003102;327025300_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Cyan;Sheer;Female;2014;29/07/2014;29.0;Autumn;29-38;2;('338020000_2',)
29;3270255000802;327025500_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Purplish Red;Sheer;Female;2015;29/07/2014;29.0;Autumn;29-38;6;('331023400_2',)
30;3270258002602;327025800_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Green;Sheer;Female;2014;09/09/2014;29.0;Autumn;29-38;2;('338020000_2',)
31;3270261000802;327026100_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Purplish Red;Sheer;Female;2014;02/08/2014;29.0;Autumn;29-38;6;('331023400_2',)
32;3270274000802;327027400_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Purplish Red;Sheer;Female;2014;15/09/2014;29.0;Autumn;29-38;4;('331032200_2',)
