;Key_lvl1;Key_lvl2;Key_lvl3;Key_lvl4;Key_lvl5;Key_lvl6;Base Price 1 Target Value;Color;Size;Gender;Year of Commodity;Launch Date;Tag Price;Sales Season;Age Group;Cluster;Centroid
0;31C0009635602;31C000963_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Black;Sheer;No Gender;2016;05/10/2016;29.0;Autumn;29-38;8;336993004_2
1;31C0022017000;31C002201_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Gray;No Size;No Gender;2016;08/09/2016;29.0;Autumn;18-28;13;332025400_2
2;31C0023005602;31C002300_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Black;Sheer;No Gender;2016;25/10/2016;29.0;Autumn;29-38;2;31C002300_2
3;31C0024005602;31C002400_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Black;Sheer;No Gender;2017;15/09/2017;39.0;Autumn;29-38;13;332025400_2
4;31C0025005602;31C002500_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Black;Sheer;No Gender;2017;11/09/2017;29.0;Autumn;18-28;11;331032200_2
5;31C0030026400;31C003002_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Sheer Beige;No Size;No Gender;2016;08/09/2016;39.0;Autumn;18-28;12;331023300_2
6;31C1801005600;31C180100_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Black;No Size;No Gender;2016;28/09/2016;39.0;Autumn;18-28;11;331032200_2
7;31C1803015600;31C180301_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Black;No Size;No Gender;2016;02/11/2016;39.0;Autumn;18-28;2;31C002300_2
8;31C6204005602;31C620400_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Black;Sheer;No Gender;2017;11/10/2017;29.0;Autumn;18-28;2;31C002300_2
9;31C9999015602;31C999901_2;Female - One-piece pants inside - Thin 9 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;9.0;Black;Sheer;No Gender;2016;17/10/2016;9.0;Autumn;18-28;4;337861803_2
