;Product Group key;Product Group key2;Product Group key3;Product Group key4;Product Group key5;FAM DETTAGLIATA (Description);FAM AGGREGATA (Description);MARCHIO (Description);GRUPPO MARCHIO (Description);PACKAGING (Description);SOTTO-TECNO (Description);PRODOTTO (Description);CANALE DISTRIB (Description);CLASSE COGE (Description);FAM MARKETING (Description);BIOLOGICO (Description);GRUPPO MARCA COGE (Description);Cluster;Centroid
0;GLA006BND100FS;FRABNDASTELA;FRABNDASTE;FRABND;FRA01;LAITUE;ASTERIX;BONDUELLE;BONDUELLE;0100                       N/A;SALADES;MINI LAITUE VERTE;ARTICLES GP;PFC+ FRAIS;M'AMA NON M'AMA;NO;BND;5;('GKC005ESB100FS',)
1;GBA001BND060FS;FRABNDBOUQBA;FRABNDBOUQ;FRABND;FRA01;MACHE 4G;BOUQUETS;BONDUELLE;BONDUELLE;0060                       N/A;SALADES;MACHE;ARTICLES GP;PFC+ FRAIS;JEUNES POUSSES MONO;NO;BND;8;('GWF021CAE180FS',)
2;GBA001BND060SS;FRABNDBOUQBA;FRABNDBOUQ;FRABND;FRA01;MACHE 4G;BOUQUETS;BONDUELLE;BONDUELLE;0060                       N/A;SALADES;MACHE;ARTICLES GP;PFC+ FRAIS;JEUNES POUSSES MONO;NO;BND;9;('GWM007NTA150FS',)
3;GBA001BND160FS;FRABNDBOUQBA;FRABNDBOUQ;FRABND;FRA01;MACHE 4G;BOUQUETS;BONDUELLE;BONDUELLE;0160                       N/A;SALADES;MACHE;ARTICLES GP;PFC+ FRAIS;JEUNES POUSSES MONO;NO;BND;3;('TBG001BND180BV',)
4;GBA001BND250FS;FRABNDBOUQBA;FRABNDBOUQ;FRABND;FRA01;MACHE 4G;BOUQUETS;BONDUELLE;BONDUELLE;0250                       N/A;SALADES;MACHE;ARTICLES GP;PFC+ FRAIS;JEUNES POUSSES MONO;NO;BND;5;('GKC005ESB100FS',)
5;GBA005BND080FS;FRABNDBOUQBA;FRABNDBOUQ;FRABND;FRA01;MACHE 4G;BOUQUETS;BONDUELLE;BONDUELLE;0080                       N/A;SALADES;MACHE 24H;ARTICLES GP;PFC+ FRAIS;JEUNES POUSSES CONTADINO;NO;BND;10;('GBA005BND080FS',)
6;TBG001BND180BV;FRABNDBURGBG;FRABNDBURG;FRABND;FRA01;BURGER;BURGER;BONDUELLE;BONDUELLE;0180                       180;LIBRE SERVICE;BURGER BOULGHOUR COURGETTE BIO;ARTICLES GP;PFC+ TRAITEUR;BURGER BIO;YES;BUR;3;('TBG001BND180BV',)
7;TBG002BND180BV;FRABNDBURGBG;FRABNDBURG;FRABND;FRA01;BURGER;BURGER;BONDUELLE;BONDUELLE;0180                       180;LIBRE SERVICE;BURGER MILLET AUBERGINE BIO;ARTICLES GP;PFC+ TRAITEUR;BURGER BIO;YES;BUR;3;('TBG001BND180BV',)
8;TBG003BND180BV;FRABNDBURGBG;FRABNDBURG;FRABND;FRA01;BURGER;BURGER;BONDUELLE;BONDUELLE;0180                       180;LIBRE SERVICE;BURGER SARRASIN BETTERAVE BIO;ARTICLES GP;PFC+ TRAITEUR;BURGER BIO;YES;BUR;3;('TBG001BND180BV',)
9;TBG004BND180BV;FRABNDBURGBG;FRABNDBURG;FRABND;FRA01;BURGER;BURGER;BONDUELLE;BONDUELLE;0180                       180;LIBRE SERVICE;BURGER BOULGHOUR BROCOLIS BIO;ARTICLES GP;PFC+ TRAITEUR;BURGER BIO;YES;BUR;3;('TBG001BND180BV',)
