;Product;Cluster;Centroid
0;3.6E+101_2;8;332979754_2
1;31C000963_2;4;335036700_2
2;31C002201_2;11;331023400_2
3;31C002300_2;3;31C999901_2
4;31C002400_2;10;337015200_2
5;31C002500_2;8;332979754_2
6;31C003002_2;11;331023400_2
7;31C180100_2;5;335023300_2
8;31C180301_2;3;31C999901_2
9;31C620400_2;3;31C999901_2
10;31C999901_2;3;31C999901_2
11;31C999902_2;3;31C999901_2
12;31C999903_2;3;31C999901_2
13;31C999904_2;6;31C999906_2
14;31C999905_2;6;31C999906_2
15;31C999906_2;6;31C999906_2
16;31C999907_2;6;31C999906_2
17;31C999909_2;7;335055200_2
18;31C999910_2;8;332979754_2
19;31C999911_2;6;31C999906_2
20;31C999912_2;7;335055200_2
21;31C999913_2;10;337015200_2
22;31C999914_2;7;335055200_2
23;325001400_2;3;31C999901_2
24;325002600_2;5;335023300_2
25;325026100_2;3;31C999901_2
26;325026900_2;9;331031900_2
27;325027000_2;10;337015200_2
28;325028700_2;11;331023400_2
29;325028800_2;6;31C999906_2
30;325029100_2;7;335055200_2
31;325029700_2;6;31C999906_2
32;325029800_2;7;335055200_2
33;325030800_2;4;335036700_2
34;325032700_2;11;331023400_2
35;325033000_2;7;335055200_2
36;325034600_2;3;31C999901_2
37;325036900_2;3;31C999901_2
38;325037100_2;11;331023400_2
39;325037200_2;12;327032700_2
40;325039201_2;3;31C999901_2
41;325048006_2;2;347000500_2
42;325049800_2;4;335036700_2
43;325049900_2;3;31C999901_2
44;325050200_2;12;327032700_2
45;325050400_2;12;327032700_2
46;325061603_2;3;31C999901_2
47;325090016_2;9;331031900_2
48;325110000_2;5;335023300_2
49;325110018_2;9;331031900_2
50;325118403_2;10;337015200_2
51;325135600_2;1;331050500_2
52;325135700_2;2;347000500_2
53;325135800_2;1;331050500_2
54;325136100_2;6;31C999906_2
55;325137600_2;7;335055200_2
56;325137800_2;2;347000500_2
57;325137900_2;3;31C999901_2
58;325138100_2;2;347000500_2
59;325138200_2;2;347000500_2
60;325138700_2;2;347000500_2
61;325138800_2;2;347000500_2
62;325139700_2;4;335036700_2
63;325140500_2;2;347000500_2
64;325141400_2;10;337015200_2
65;325144700_2;11;331023400_2
66;325144900_2;10;337015200_2
67;325146600_2;12;327032700_2
68;325146700_2;12;327032700_2
69;325146900_2;11;331023400_2
70;325147200_2;11;331023400_2
71;325147300_2;11;331023400_2
72;325147600_2;11;331023400_2
73;325147700_2;9;331031900_2
74;325147800_2;11;331023400_2
75;325147900_2;9;331031900_2
76;325151601_2;9;331031900_2
77;325161803_2;4;335036700_2
78;325162000_2;6;31C999906_2
79;325163300_2;8;332979754_2
80;325163600_2;8;332979754_2
81;325167100_2;2;347000500_2
82;325167200_2;9;331031900_2
83;325170900_2;6;31C999906_2
84;325171804_2;3;31C999901_2
85;325176600_2;3;31C999901_2
86;325176800_2;2;347000500_2
87;325176900_2;12;327032700_2
88;325177100_2;10;337015200_2
89;325177500_2;12;327032700_2
90;325177600_2;10;337015200_2
91;325177800_2;12;327032700_2
92;325195700_2;12;327032700_2
93;325195900_2;6;31C999906_2
94;325196100_2;12;327032700_2
95;325205800_2;12;327032700_2
96;325206400_2;8;332979754_2
97;325206500_2;6;31C999906_2
98;325207700_2;6;31C999906_2
99;325208100_2;6;31C999906_2
100;325208200_2;10;337015200_2
101;325208600_2;12;327032700_2
102;325219400_2;12;327032700_2
103;325219500_2;3;31C999901_2
104;325219600_2;12;327032700_2
105;325221000_2;12;327032700_2
106;325221800_2;8;332979754_2
107;325222000_2;8;332979754_2
108;325253500_2;6;31C999906_2
109;325255300_2;12;327032700_2
110;325255700_2;2;347000500_2
111;325257703_2;4;335036700_2
112;325257802_2;8;332979754_2
113;325258002_2;5;335023300_2
114;325263603_2;12;327032700_2
115;325263701_2;12;327032700_2
116;325264800_2;3;31C999901_2
117;325268700_2;9;331031900_2
118;325274601_2;9;331031900_2
119;325275600_2;3;31C999901_2
120;325278700_2;5;335023300_2
121;325278900_2;6;31C999906_2
122;325279000_2;11;331023400_2
123;325279100_2;7;335055200_2
124;325284700_2;12;327032700_2
125;325292700_2;5;335023300_2
126;325292800_2;9;331031900_2
127;325298200_2;2;347000500_2
128;325320500_2;3;31C999901_2
129;325321800_2;12;327032700_2
130;325486500_2;5;335023300_2
131;325501403_2;8;332979754_2
132;325502301_2;3;31C999901_2
133;325561200_2;2;347000500_2
134;325700902_2;5;335023300_2
135;325711700_2;11;331023400_2
136;325716200_2;4;335036700_2
137;325716401_2;3;31C999901_2
138;326000700_2;2;347000500_2
139;326000800_2;2;347000500_2
140;326001100_2;2;347000500_2
141;326001200_2;7;335055200_2
142;326001800_2;2;347000500_2
143;326002200_2;2;347000500_2
144;326002700_2;3;31C999901_2
145;326002800_2;3;31C999901_2
146;326003301_2;7;335055200_2
147;326003900_2;7;335055200_2
148;326004000_2;2;347000500_2
149;326004700_2;8;332979754_2
150;326004800_2;9;331031900_2
151;326004900_2;11;331023400_2
152;326005100_2;1;331050500_2
153;326005600_2;8;332979754_2
154;326005602_2;10;337015200_2
155;326005700_2;8;332979754_2
156;326005800_2;1;331050500_2
157;326006900_2;12;327032700_2
158;326007800_2;7;335055200_2
159;326007900_2;6;31C999906_2
160;326008300_2;11;331023400_2
161;326008400_2;11;331023400_2
162;326008800_2;7;335055200_2
163;326010100_2;2;347000500_2
164;326010200_2;12;327032700_2
165;326090500_2;2;347000500_2
166;326149603_2;8;332979754_2
167;326157203_2;2;347000500_2
168;326240007_2;6;31C999906_2
169;326240010_2;7;335055200_2
170;326260000_2;12;327032700_2
171;326340004_2;9;331031900_2
172;326360004_2;9;331031900_2
173;326400003_2;11;331023400_2
174;326603100_2;12;327032700_2
175;326608300_2;3;31C999901_2
176;326616801_2;7;335055200_2
177;326677000_2;9;331031900_2
178;326800900_2;6;31C999906_2
179;326801201_2;2;347000500_2
180;326801500_2;6;31C999906_2
181;326810000_2;6;31C999906_2
182;326810100_2;2;347000500_2
183;326810107_2;8;332979754_2
184;326810500_2;10;337015200_2
185;326820000_2;10;337015200_2
186;326828000_2;11;331023400_2
187;326830101_2;6;31C999906_2
188;326841600_2;11;331023400_2
189;326850105_2;2;347000500_2
190;326850801_2;11;331023400_2
191;326851500_2;8;332979754_2
192;326853501_2;6;31C999906_2
193;326867500_2;10;337015200_2
194;326867900_2;6;31C999906_2
195;326885200_2;9;331031900_2
196;326901800_2;6;31C999906_2
197;326901900_2;10;337015200_2
198;326905500_2;6;31C999906_2
199;326911100_2;12;327032700_2
200;326940200_2;12;327032700_2
201;326942000_2;2;347000500_2
202;326942100_2;3;31C999901_2
203;326942200_2;3;31C999901_2
204;326992300_2;6;31C999906_2
205;326992400_2;7;335055200_2
206;326992500_2;10;337015200_2
207;326992601_2;1;331050500_2
208;327002700_2;8;332979754_2
209;327015900_2;8;332979754_2
210;327018900_2;3;31C999901_2
211;327025200_2;10;337015200_2
212;327025300_2;12;327032700_2
213;327025500_2;11;331023400_2
214;327025800_2;10;337015200_2
215;327026100_2;11;331023400_2
216;327027400_2;4;335036700_2
217;327028400_2;10;337015200_2
218;327028600_2;9;331031900_2
219;327030600_2;4;335036700_2
220;327031700_2;10;337015200_2
221;327031800_2;9;331031900_2
222;327032600_2;11;331023400_2
223;327032700_2;12;327032700_2
224;327033200_2;12;327032700_2
225;327033900_2;11;331023400_2
226;327034400_2;12;327032700_2
227;327034500_2;6;31C999906_2
228;327034600_2;9;331031900_2
229;327038300_2;10;337015200_2
230;327041700_2;6;31C999906_2
231;327500000_2;10;337015200_2
232;327600001_2;2;347000500_2
233;327830200_2;10;337015200_2
234;327950203_2;5;335023300_2
235;328028100_2;5;335023300_2
236;328030900_2;10;337015200_2
237;328031000_2;10;337015200_2
238;328031100_2;11;331023400_2
239;328032700_2;8;332979754_2
240;328032800_2;8;332979754_2
241;328032900_2;2;347000500_2
242;328956402_2;8;332979754_2
243;328956403_2;8;332979754_2
244;328956404_2;8;332979754_2
245;328956405_2;8;332979754_2
246;328956452_2;1;331050500_2
247;328956453_2;1;331050500_2
248;328956454_2;10;337015200_2
249;328956455_2;10;337015200_2
250;328956456_2;11;331023400_2
251;328956457_2;11;331023400_2
252;328956458_2;1;331050500_2
253;328956459_2;10;337015200_2
254;328956460_2;11;331023400_2
255;328956461_2;10;337015200_2
256;328956462_2;8;332979754_2
257;328956463_2;8;332979754_2
258;328956464_2;10;337015200_2
259;328956465_2;6;31C999906_2
260;328956466_2;7;335055200_2
261;328956467_2;8;332979754_2
262;328956468_2;7;335055200_2
263;328956469_2;8;332979754_2
264;32A004100_2;8;332979754_2
265;32A004200_2;11;331023400_2
266;32A004300_2;8;332979754_2
267;32A004400_2;5;335023300_2
268;32A004500_2;4;335036700_2
269;32A004600_2;9;331031900_2
270;32A004900_2;3;31C999901_2
271;32A005000_2;11;331023400_2
272;32A005100_2;9;331031900_2
273;32A005400_2;3;31C999901_2
274;32A005500_2;4;335036700_2
275;32A005600_2;11;331023400_2
276;32A005800_2;4;335036700_2
277;32A005900_2;12;327032700_2
278;32A006000_2;4;335036700_2
279;32A006100_2;9;331031900_2
280;32A785322_2;11;331023400_2
281;32A785323_2;1;331050500_2
282;32A785324_2;8;332979754_2
283;32A785325_2;10;337015200_2
284;32B009900_2;6;31C999906_2
285;32B997313_2;10;337015200_2
286;32B997314_2;6;31C999906_2
287;32B997315_2;6;31C999906_2
288;32B997316_2;6;31C999906_2
289;32B997317_2;6;31C999906_2
290;32B997318_2;6;31C999906_2
291;32B997319_2;1;331050500_2
292;32B997320_2;1;331050500_2
293;32B997321_2;6;31C999906_2
294;32B997322_2;10;337015200_2
295;32B997323_2;1;331050500_2
296;32B997324_2;1;331050500_2
297;32B997325_2;1;331050500_2
298;32B997326_2;6;31C999906_2
299;32B997327_2;7;335055200_2
300;330005600_2;10;337015200_2
301;330005800_2;11;331023400_2
302;330006100_2;11;331023400_2
303;330014500_2;6;31C999906_2
304;330017100_2;11;331023400_2
305;330017200_2;11;331023400_2
306;330017500_2;11;331023400_2
307;330017600_2;9;331031900_2
308;330017800_2;11;331023400_2
309;330017900_2;11;331023400_2
310;330018100_2;11;331023400_2
311;330018200_2;5;335023300_2
312;330018300_2;5;335023300_2
313;330018400_2;9;331031900_2
314;330018500_2;5;335023300_2
315;330018600_2;4;335036700_2
316;330018800_2;5;335023300_2
317;330018900_2;5;335023300_2
318;330020600_2;9;331031900_2
319;330020700_2;5;335023300_2
320;330020800_2;4;335036700_2
321;330122906_2;9;331031900_2
322;330753600_2;9;331031900_2
323;330753700_2;11;331023400_2
324;330754000_2;9;331031900_2
325;330754300_2;9;331031900_2
326;330773800_2;2;347000500_2
327;330799401_2;9;331031900_2
328;331015500_2;4;335036700_2
329;331015700_2;9;331031900_2
330;331015800_2;5;335023300_2
331;331015900_2;9;331031900_2
332;331017200_2;4;335036700_2
333;331017400_2;3;31C999901_2
334;331017500_2;9;331031900_2
335;331018000_2;11;331023400_2
336;331018300_2;11;331023400_2
337;331018500_2;5;335023300_2
338;331020300_2;11;331023400_2
339;331020500_2;9;331031900_2
340;331020600_2;9;331031900_2
341;331020700_2;9;331031900_2
342;331020900_2;9;331031900_2
343;331021100_2;11;331023400_2
344;331021200_2;9;331031900_2
345;331021300_2;11;331023400_2
346;331023200_2;11;331023400_2
347;331023300_2;11;331023400_2
348;331023400_2;11;331023400_2
349;331023700_2;9;331031900_2
350;331023900_2;9;331031900_2
351;331024300_2;9;331031900_2
352;331025400_2;5;335023300_2
353;331025900_2;9;331031900_2
354;331026300_2;5;335023300_2
355;331026700_2;5;335023300_2
356;331027200_2;5;335023300_2
357;331027300_2;9;331031900_2
358;331027400_2;4;335036700_2
359;331027600_2;5;335023300_2
360;331027700_2;9;331031900_2
361;331027800_2;9;331031900_2
362;331027900_2;5;335023300_2
363;331028200_2;9;331031900_2
364;331028300_2;10;337015200_2
365;331028600_2;9;331031900_2
366;331029000_2;9;331031900_2
367;331029100_2;5;335023300_2
368;331029300_2;10;337015200_2
369;331030100_2;9;331031900_2
370;331030400_2;5;335023300_2
371;331030500_2;9;331031900_2
372;331030600_2;5;335023300_2
373;331030700_2;5;335023300_2
374;331031600_2;3;31C999901_2
375;331031700_2;9;331031900_2
376;331031900_2;9;331031900_2
377;331032100_2;5;335023300_2
378;331032200_2;9;331031900_2
379;331032300_2;9;331031900_2
380;331032400_2;9;331031900_2
381;331032500_2;9;331031900_2
382;331032600_2;11;331023400_2
383;331033300_2;5;335023300_2
384;331033400_2;3;31C999901_2
385;331033500_2;8;332979754_2
386;331033600_2;5;335023300_2
387;331039300_2;9;331031900_2
388;331039400_2;5;335023300_2
389;331039500_2;9;331031900_2
390;331043000_2;11;331023400_2
391;331043200_2;9;331031900_2
392;331043500_2;11;331023400_2
393;331043600_2;10;337015200_2
394;331043700_2;9;331031900_2
395;331043800_2;9;331031900_2
396;331043900_2;9;331031900_2
397;331044000_2;11;331023400_2
398;331044100_2;11;331023400_2
399;331044200_2;11;331023400_2
400;331046500_2;9;331031900_2
401;331046700_2;9;331031900_2
402;331046900_2;9;331031900_2
403;331049100_2;7;335055200_2
404;331049300_2;1;331050500_2
405;331049400_2;1;331050500_2
406;331049500_2;1;331050500_2
407;331049600_2;1;331050500_2
408;331049700_2;1;331050500_2
409;331049800_2;1;331050500_2
410;331049900_2;1;331050500_2
411;331050100_2;1;331050500_2
412;331050200_2;1;331050500_2
413;331050300_2;1;331050500_2
414;331050400_2;1;331050500_2
415;331050500_2;1;331050500_2
416;331050700_2;10;337015200_2
417;331050800_2;1;331050500_2
418;331050900_2;1;331050500_2
419;331051100_2;1;331050500_2
420;331051200_2;1;331050500_2
421;331051300_2;7;335055200_2
422;331051301_2;7;335055200_2
423;331051500_2;7;335055200_2
424;331051600_2;1;331050500_2
425;331051700_2;7;335055200_2
426;331051800_2;7;335055200_2
427;331051900_2;7;335055200_2
428;331052100_2;2;347000500_2
429;331052200_2;7;335055200_2
430;331052300_2;7;335055200_2
431;331052400_2;7;335055200_2
432;331052500_2;7;335055200_2
433;331052600_2;7;335055200_2
434;331052601_2;2;347000500_2
435;331052700_2;1;331050500_2
436;331052800_2;7;335055200_2
437;331052900_2;7;335055200_2
438;331053000_2;1;331050500_2
439;331053100_2;1;331050500_2
440;331053200_2;1;331050500_2
441;331053400_2;7;335055200_2
442;331053500_2;1;331050500_2
443;331053600_2;1;331050500_2
444;331053700_2;10;337015200_2
445;331053800_2;11;331023400_2
446;331053900_2;6;31C999906_2
447;331054000_2;1;331050500_2
448;331054100_2;10;337015200_2
449;331054600_2;6;31C999906_2
450;331057200_2;8;332979754_2
451;331057300_2;11;331023400_2
452;331057400_2;7;335055200_2
453;331057500_2;8;332979754_2
454;331057600_2;2;347000500_2
455;331057700_2;10;337015200_2
456;331057800_2;2;347000500_2
457;331058500_2;1;331050500_2
458;331058600_2;1;331050500_2
459;331058700_2;10;337015200_2
460;331122900_2;1;331050500_2
461;331122901_2;7;335055200_2
462;331145300_2;5;335023300_2
463;331440900_2;5;335023300_2
464;331520900_2;9;331031900_2
465;331700300_2;4;335036700_2
466;331753900_2;6;31C999906_2
