Product;Cluster;Centroid
3.6E+101_2;4;332037600_2
31C000963_2;3;335015200_2
31C002201_2;12;331023400_2
31C002300_2;3;335015200_2
31C002400_2;6;336011600_2
31C002500_2;9;335025700_2
31C003002_2;12;331023400_2
31C180100_2;5;335023000_2
31C180301_2;3;335015200_2
31C620400_2;3;335015200_2
31C999901_2;3;335015200_2
31C999902_2;3;335015200_2
31C999903_2;3;335015200_2
31C999904_2;1;331995271_2
31C999905_2;1;331995271_2
31C999906_2;1;331995271_2
31C999907_2;1;331995271_2
31C999909_2;7;331051800_2
31C999910_2;4;332037600_2
31C999911_2;1;331995271_2
31C999912_2;7;331051800_2
31C999913_2;11;337015200_2
31C999914_2;7;331051800_2
325001400_2;3;335015200_2
325002600_2;2;331039400_2
325026100_2;3;335015200_2
325026900_2;10;331031700_2
325027000_2;11;337015200_2
325028700_2;12;331023400_2
325028800_2;1;331995271_2
325029100_2;7;331051800_2
325029700_2;1;331995271_2
325029800_2;7;331051800_2
325030800_2;3;335015200_2
325032700_2;8;331995287_2
325033000_2;7;331051800_2
325034600_2;3;335015200_2
325036900_2;3;335015200_2
325037100_2;12;331023400_2
325037200_2;11;337015200_2
325039201_2;3;335015200_2
325048006_2;7;331051800_2
325049800_2;3;335015200_2
325049900_2;3;335015200_2
325050200_2;3;335015200_2
325050400_2;6;336011600_2
325061603_2;3;335015200_2
325090016_2;2;331039400_2
325110000_2;2;331039400_2
325110018_2;10;331031700_2
325118403_2;11;337015200_2
325135600_2;1;331995271_2
325135700_2;8;331995287_2
325135800_2;8;331995287_2
325136100_2;1;331995271_2
325137600_2;4;332037600_2
325137800_2;7;331051800_2
325137900_2;3;335015200_2
325138100_2;7;331051800_2
325138200_2;7;331051800_2
325138700_2;7;331051800_2
325138800_2;7;331051800_2
325139700_2;5;335023000_2
325140500_2;7;331051800_2
325141400_2;6;336011600_2
325144700_2;12;331023400_2
325144900_2;6;336011600_2
325146600_2;6;336011600_2
325146700_2;6;336011600_2
325146900_2;12;331023400_2
325147200_2;12;331023400_2
325147300_2;6;336011600_2
325147600_2;12;331023400_2
325147700_2;5;335023000_2
325147800_2;6;336011600_2
325147900_2;10;331031700_2
325151601_2;10;331031700_2
325161803_2;2;331039400_2
325162000_2;1;331995271_2
325163300_2;4;332037600_2
325163600_2;4;332037600_2
325167100_2;7;331051800_2
325167200_2;10;331031700_2
325170900_2;1;331995271_2
325171804_2;3;335015200_2
325176600_2;4;332037600_2
325176800_2;7;331051800_2
325176900_2;6;336011600_2
325177100_2;6;336011600_2
325177500_2;6;336011600_2
325177600_2;11;337015200_2
325177800_2;6;336011600_2
325195700_2;11;337015200_2
325195900_2;7;331051800_2
325196100_2;3;335015200_2
325205800_2;9;335025700_2
325206400_2;4;332037600_2
325206500_2;1;331995271_2
325207700_2;1;331995271_2
325208100_2;1;331995271_2
325208200_2;11;337015200_2
325208600_2;6;336011600_2
325219400_2;3;335015200_2
325219500_2;3;335015200_2
325219600_2;11;337015200_2
325221000_2;11;337015200_2
325221800_2;4;332037600_2
325222000_2;4;332037600_2
325253500_2;1;331995271_2
325255300_2;6;336011600_2
325255700_2;7;331051800_2
325257703_2;2;331039400_2
325257802_2;4;332037600_2
325258002_2;2;331039400_2
325263603_2;11;337015200_2
325263701_2;11;337015200_2
325264800_2;3;335015200_2
325268700_2;10;331031700_2
325274601_2;10;331031700_2
325275600_2;3;335015200_2
325278700_2;3;335015200_2
325278900_2;11;337015200_2
325279000_2;10;331031700_2
325279100_2;7;331051800_2
325284700_2;6;336011600_2
325292700_2;2;331039400_2
325292800_2;9;335025700_2
325298200_2;7;331051800_2
325320500_2;3;335015200_2
325321800_2;6;336011600_2
325486500_2;10;331031700_2
325501403_2;4;332037600_2
325502301_2;3;335015200_2
325561200_2;7;331051800_2
325700902_2;10;331031700_2
325711700_2;9;335025700_2
325716200_2;5;335023000_2
325716401_2;3;335015200_2
326000700_2;7;331051800_2
326000800_2;7;331051800_2
326001100_2;7;331051800_2
326001200_2;7;331051800_2
326001800_2;7;331051800_2
326002200_2;7;331051800_2
326002700_2;3;335015200_2
326002800_2;3;335015200_2
326003301_2;7;331051800_2
326003900_2;7;331051800_2
326004000_2;7;331051800_2
326004700_2;4;332037600_2
326004800_2;10;331031700_2
326004900_2;12;331023400_2
326005100_2;1;331995271_2
326005600_2;4;332037600_2
326005602_2;11;337015200_2
326005700_2;4;332037600_2
326005800_2;1;331995271_2
326006900_2;5;335023000_2
326007800_2;7;331051800_2
326007900_2;11;337015200_2
326008300_2;8;331995287_2
326008400_2;8;331995287_2
326008800_2;7;331051800_2
326010100_2;7;331051800_2
326010200_2;11;337015200_2
326090500_2;7;331051800_2
326149603_2;4;332037600_2
326157203_2;7;331051800_2
326240007_2;1;331995271_2
326240010_2;7;331051800_2
326260000_2;11;337015200_2
326340004_2;10;331031700_2
326360004_2;10;331031700_2
326400003_2;6;336011600_2
326603100_2;6;336011600_2
326608300_2;3;335015200_2
326616801_2;7;331051800_2
326677000_2;5;335023000_2
326800900_2;1;331995271_2
326801201_2;7;331051800_2
326801500_2;1;331995271_2
326810000_2;11;337015200_2
326810100_2;7;331051800_2
326810107_2;4;332037600_2
326810500_2;11;337015200_2
326820000_2;11;337015200_2
326828000_2;4;332037600_2
326830101_2;1;331995271_2
326841600_2;6;336011600_2
326850105_2;7;331051800_2
326850801_2;12;331023400_2
326851500_2;3;335015200_2
326853501_2;1;331995271_2
326867500_2;11;337015200_2
326867900_2;11;337015200_2
326885200_2;10;331031700_2
326901800_2;1;331995271_2
326901900_2;6;336011600_2
326905500_2;1;331995271_2
326911100_2;9;335025700_2
326940200_2;3;335015200_2
326942000_2;8;331995287_2
326942100_2;3;335015200_2
326942200_2;3;335015200_2
326992300_2;1;331995271_2
326992400_2;7;331051800_2
326992500_2;11;337015200_2
326992601_2;7;331051800_2
327002700_2;4;332037600_2
327015900_2;4;332037600_2
327018900_2;3;335015200_2
327025200_2;11;337015200_2
327025300_2;6;336011600_2
327025500_2;6;336011600_2
327025800_2;11;337015200_2
327026100_2;9;335025700_2
327027400_2;5;335023000_2
327028400_2;11;337015200_2
327028600_2;10;331031700_2
327030600_2;3;335015200_2
327031700_2;11;337015200_2
327031800_2;10;331031700_2
327032600_2;12;331023400_2
