;Product;Cluster;Centroid
0;31C001001_2;5;331036400_2
1;31C901903_2;7;331036901_2
2;325015903_2;16;346000000_2
3;325018000_2;3;325018000_2
4;325018200_2;3;325018000_2
5;325018300_2;3;325018000_2
6;325018400_2;16;346000000_2
7;325018600_2;9;32D003710_2
8;325018700_2;2;335023400_2
9;325018900_2;6;325389300_2
10;325019500_2;6;325389300_2
11;325020900_2;6;325389300_2
12;325022400_2;12;331026500_2
13;325028000_2;18;331995236_2
14;325030000_2;2;335023400_2
15;325036007_2;12;331026500_2
16;325047504_2;2;335023400_2
17;325047505_2;12;331026500_2
18;325050008_2;2;335023400_2
19;325050901_2;1;335054200_2
20;325050903_2;6;325389300_2
21;325050905_2;6;325389300_2
22;325050907_2;12;331026500_2
23;325050908_2;11;39D997825_2
24;325067600_2;8;342001900_2
25;325069200_2;2;335023400_2
26;325070700_2;18;331995236_2
27;325070900_2;1;335054200_2
28;325074600_2;16;346000000_2
29;325075100_2;16;346000000_2
30;325075600_2;14;328028700_2
31;325076004_2;2;335023400_2
32;325076100_2;1;335054200_2
33;325076300_2;17;330505400_2
34;325078700_2;17;330505400_2
35;325081600_2;16;346000000_2
36;325083700_2;17;330505400_2
37;325083900_2;8;342001900_2
38;325084100_2;12;331026500_2
39;325084200_2;17;330505400_2
40;325085100_2;17;330505400_2
41;325085200_2;3;325018000_2
42;325085300_2;16;346000000_2
43;325085900_2;12;331026500_2
44;325086100_2;8;342001900_2
45;325086200_2;3;325018000_2
46;325086400_2;11;39D997825_2
47;325087200_2;2;335023400_2
48;325087400_2;17;330505400_2
49;325087600_2;12;331026500_2
50;325090013_2;1;335054200_2
51;325091201_2;18;331995236_2
52;325092401_2;8;342001900_2
53;325092502_2;11;39D997825_2
54;325092602_2;7;331036901_2
55;325092603_2;3;325018000_2
56;325093401_2;8;342001900_2
57;325095800_2;2;335023400_2
58;325099300_2;3;325018000_2
59;325110014_2;6;325389300_2
60;325117502_2;3;325018000_2
61;325146301_2;1;335054200_2
62;325146401_2;8;342001900_2
63;325146500_2;12;331026500_2
64;325168500_2;18;331995236_2
65;325233800_2;3;325018000_2
66;325265003_2;12;331026500_2
67;325265801_2;11;39D997825_2
