;Product;Cluster;Centroid
0;325006703_2;1;333931510_2
1;325027600_2;4;325371700_2
2;325028004_2;8;325299700_2
3;325028005_2;10;333001300_2
4;325028500_2;8;325299700_2
5;325030008_2;10;333001300_2
6;325032008_2;3;333010400_2
7;325050011_2;8;325299700_2
8;325050910_2;3;333010400_2
9;325059500_2;8;325299700_2
10;325060600_2;4;325371700_2
11;325063900_2;3;333010400_2
12;325064600_2;3;333010400_2
13;325064900_2;3;333010400_2
14;325076900_2;8;325299700_2
15;325077300_2;9;328956415_2
16;325077400_2;2;328614402_2
17;325077500_2;2;328614402_2
18;325077600_2;2;328614402_2
19;325077700_2;2;328614402_2
20;325077800_2;1;333931510_2
21;325077900_2;8;325299700_2
22;325078000_2;9;328956415_2
23;325078400_2;1;333931510_2
24;325083200_2;1;333931510_2
25;325083400_2;3;333010400_2
26;325089501_2;5;328001500_2
27;325099600_2;1;333931510_2
28;325120104_2;2;328614402_2
29;325125900_2;8;325299700_2
30;325128200_2;10;333001300_2
31;325128300_2;9;328956415_2
32;325128800_2;8;325299700_2
33;325128900_2;9;328956415_2
34;325129000_2;2;328614402_2
35;325129300_2;8;325299700_2
36;325129700_2;7;325390400_2
37;325129800_2;2;328614402_2
38;325129900_2;9;328956415_2
39;325131000_2;2;328614402_2
40;325133000_2;2;328614402_2
41;325268100_2;8;325299700_2
42;325297600_2;6;333931525_2
43;325298500_2;8;325299700_2
44;325298600_2;8;325299700_2
45;325298700_2;8;325299700_2
46;325298900_2;8;325299700_2
47;325299000_2;8;325299700_2
48;325299100_2;7;325390400_2
49;325299200_2;8;325299700_2
50;325299300_2;8;325299700_2
51;325299400_2;8;325299700_2
52;325299500_2;8;325299700_2
53;325299600_2;8;325299700_2
54;325299700_2;8;325299700_2
55;325299800_2;8;325299700_2
56;325329500_2;8;325299700_2
57;325330600_2;8;325299700_2
58;325330700_2;8;325299700_2
59;325331600_2;3;333010400_2
60;325332500_2;4;325371700_2
61;325332600_2;8;325299700_2
62;325332700_2;1;333931510_2
63;325332800_2;4;325371700_2
64;325333800_2;8;325299700_2
65;325335900_2;4;325371700_2
66;325341000_2;8;325299700_2
67;325341500_2;2;328614402_2
68;325342200_2;4;325371700_2
69;325342300_2;4;325371700_2
70;325342800_2;6;333931525_2
71;325342900_2;8;325299700_2
72;325343000_2;2;328614402_2
73;325343500_2;7;325390400_2
74;325343700_2;10;333001300_2
75;325343800_2;10;333001300_2
76;325343900_2;1;333931510_2
77;325344000_2;5;328001500_2
78;325344200_2;5;328001500_2
79;325344400_2;10;333001300_2
80;325344500_2;4;325371700_2
81;325344600_2;5;328001500_2
82;325348200_2;10;333001300_2
83;325348600_2;8;325299700_2
84;325349400_2;4;325371700_2
85;325349700_2;8;325299700_2
86;325355300_2;3;333010400_2
87;325363700_2;3;333010400_2
88;325365500_2;5;328001500_2
89;325365600_2;5;328001500_2
90;325365700_2;6;333931525_2
91;325366500_2;8;325299700_2
92;325366600_2;4;325371700_2
93;325366800_2;3;333010400_2
94;325366900_2;8;325299700_2
95;325367000_2;8;325299700_2
96;325367200_2;10;333001300_2
97;325367400_2;8;325299700_2
98;325367500_2;8;325299700_2
99;325367600_2;8;325299700_2
100;325367700_2;7;325390400_2
101;325367800_2;5;328001500_2
102;325367900_2;10;333001300_2
103;325368000_2;3;333010400_2
104;325368300_2;6;333931525_2
105;325368600_2;4;325371700_2
106;325368700_2;6;333931525_2
107;325368800_2;6;333931525_2
108;325368900_2;10;333001300_2
109;325369800_2;8;325299700_2
110;325369900_2;8;325299700_2
111;325370900_2;3;333010400_2
112;325371100_2;3;333010400_2
113;325371700_2;4;325371700_2
114;325373000_2;10;333001300_2
115;325374300_2;8;325299700_2
116;325374400_2;7;325390400_2
117;325374700_2;1;333931510_2
118;325374800_2;10;333001300_2
119;325375100_2;1;333931510_2
120;325375200_2;7;325390400_2
121;325375600_2;8;325299700_2
122;325375700_2;8;325299700_2
123;325375800_2;9;328956415_2
124;325375900_2;6;333931525_2
125;325383500_2;9;328956415_2
126;325383600_2;7;325390400_2
127;325383800_2;9;328956415_2
128;325384300_2;10;333001300_2
129;325384400_2;4;325371700_2
130;325384500_2;8;325299700_2
131;325384600_2;7;325390400_2
132;325384700_2;7;325390400_2
133;325384800_2;3;333010400_2
134;325384900_2;5;328001500_2
135;325385000_2;10;333001300_2
136;325387100_2;8;325299700_2
137;325387300_2;8;325299700_2
138;325387400_2;8;325299700_2
139;325387500_2;4;325371700_2
140;325387600_2;1;333931510_2
