;Product;Cluster;Centroid
0;3.6E+101_2;10;345014100_2
1;30E000400_2;15;331995232_2
2;30E823101_2;16;331050500_2
3;30E823102_2;17;331054100_2
4;30E823103_2;16;331050500_2
5;30E823104_2;2;335050800_2
6;30E823105_2;18;335028400_2
7;30E823106_2;2;335050800_2
8;30E823107_2;12;338010000_2
9;30E823108_2;8;336011600_2
10;30E823109_2;8;336011600_2
11;31A000700_2;9;335041500_2
12;31A001000_2;17;331054100_2
13;31A001100_2;8;336011600_2
14;31A001200_2;8;336011600_2
15;31A001300_2;15;331995232_2
16;31A001400_2;17;331054100_2
17;31A001500_2;17;331054100_2
18;31A001600_2;17;331054100_2
19;31A001700_2;5;335011100_2
20;31A001800_2;15;331995232_2
21;31A002000_2;15;331995232_2
22;31A002100_2;19;337994913_2
23;31A002500_2;16;331050500_2
24;31A002600_2;16;331050500_2
25;31A002700_2;16;331050500_2
26;31A999901_2;17;331054100_2
27;31A999902_2;8;336011600_2
28;31A999903_2;6;327025800_2
29;31A999904_2;16;331050500_2
30;31A999905_2;15;331995232_2
31;31A999906_2;20;326814900_2
32;31A999907_2;20;326814900_2
33;31B000300_2;4;335026921_2
34;31C000963_2;10;345014100_2
35;31C001001_2;16;331050500_2
36;31C002201_2;8;336011600_2
37;31C002300_2;5;335011100_2
38;31C002400_2;8;336011600_2
39;31C002500_2;4;335026921_2
40;31C002600_2;20;326814900_2
41;31C002800_2;2;335050800_2
42;31C003002_2;14;335025700_2
43;31C180100_2;11;335048600_2
44;31C180301_2;5;335011100_2
45;31C620400_2;5;335011100_2
46;31C901903_2;10;345014100_2
47;31C999901_2;5;335011100_2
48;31C999902_2;5;335011100_2
49;31C999903_2;5;335011100_2
50;31C999904_2;19;337994913_2
51;31C999905_2;19;337994913_2
52;31C999906_2;19;337994913_2
53;31C999907_2;13;38A981805_2
54;31C999909_2;13;38A981805_2
55;31C999910_2;10;345014100_2
56;31C999911_2;19;337994913_2
57;31C999912_2;13;38A981805_2
58;31C999913_2;17;331054100_2
59;31C999914_2;1;333931535_2
60;325001400_2;5;335011100_2
61;325002600_2;11;335048600_2
62;325006703_2;20;326814900_2
63;325015903_2;20;326814900_2
64;325017100_2;10;345014100_2
65;325018000_2;19;337994913_2
66;325018200_2;19;337994913_2
67;325018300_2;19;337994913_2
68;325018400_2;13;38A981805_2
69;325018600_2;8;336011600_2
70;325018700_2;6;327025800_2
71;325018900_2;12;338010000_2
72;325019500_2;16;331050500_2
73;325020900_2;17;331054100_2
74;325022400_2;12;338010000_2
75;325026100_2;9;335041500_2
76;325026900_2;12;338010000_2
77;325027000_2;6;327025800_2
78;325027600_2;4;335026921_2
79;325028000_2;12;338010000_2
80;325028004_2;19;337994913_2
81;325028005_2;6;327025800_2
82;325028500_2;19;337994913_2
83;325028700_2;12;338010000_2
84;325028800_2;13;38A981805_2
85;325029100_2;13;38A981805_2
86;325029700_2;19;337994913_2
87;325029800_2;13;38A981805_2
88;325030000_2;6;327025800_2
89;325030008_2;6;327025800_2
90;325030800_2;11;335048600_2
91;325032008_2;5;335011100_2
