;Product;Cluster;Centroid
0;3.6E+101_2;3;331026700_2
1;31C000963_2;15;335030700_2
2;31C002201_2;13;338980000_2
3;31C002300_2;4;328956467_2
4;31C002400_2;5;326901900_2
5;31C002500_2;9;331028600_2
6;31C003002_2;16;331023300_2
7;31C180100_2;9;331028600_2
8;31C180301_2;4;328956467_2
9;31C620400_2;6;325561200_2
10;31C999901_2;15;335030700_2
11;31C999902_2;15;335030700_2
12;31C999903_2;15;335030700_2
13;31C999904_2;1;331995271_2
14;31C999905_2;2;335043401_2
15;31C999906_2;1;331995271_2
16;31C999907_2;7;335057700_2
17;31C999909_2;7;335057700_2
18;31C999910_2;15;335030700_2
19;31C999911_2;7;335057700_2
20;31C999912_2;7;335057700_2
21;31C999913_2;2;335043401_2
22;31C999914_2;12;331052900_2
23;325001400_2;15;335030700_2
24;325002600_2;15;335030700_2
25;325026100_2;15;335030700_2
26;325026900_2;4;328956467_2
27;325027000_2;2;335043401_2
28;325028700_2;13;338980000_2
29;325028800_2;7;335057700_2
30;325029100_2;7;335057700_2
31;325029700_2;14;335322901_2
32;325029800_2;14;335322901_2
33;325030800_2;17;335013800_2
34;325032700_2;18;331053700_2
35;325033000_2;8;336006600_2
36;325034600_2;15;335030700_2
37;325036900_2;15;335030700_2
38;325037100_2;16;331023300_2
39;325037200_2;5;326901900_2
40;325039201_2;15;335030700_2
41;325048006_2;8;336006600_2
42;325049800_2;15;335030700_2
43;325049900_2;15;335030700_2
44;325050200_2;17;335013800_2
45;325050400_2;5;326901900_2
46;325061603_2;15;335030700_2
47;325090016_2;11;335026000_2
48;325110000_2;11;335026000_2
49;325110018_2;9;331028600_2
50;325118403_2;2;335043401_2
51;325135600_2;10;331052300_2
52;325135700_2;13;338980000_2
53;325135800_2;13;338980000_2
54;325136100_2;14;335322901_2
55;325137600_2;4;328956467_2
56;325137800_2;6;325561200_2
57;325137900_2;14;335322901_2
58;325138100_2;8;336006600_2
59;325138200_2;8;336006600_2
60;325138700_2;8;336006600_2
61;325138800_2;8;336006600_2
62;325139700_2;16;331023300_2
63;325140500_2;6;325561200_2
64;325141400_2;5;326901900_2
65;325144700_2;16;331023300_2
66;325144900_2;5;326901900_2
67;325146600_2;13;338980000_2
68;325146700_2;5;326901900_2
69;325146900_2;13;338980000_2
70;325147200_2;13;338980000_2
71;325147300_2;13;338980000_2
72;325147600_2;13;338980000_2
73;325147700_2;11;335026000_2
74;325147800_2;5;326901900_2
75;325147900_2;9;331028600_2
76;325151601_2;9;331028600_2
77;325161803_2;17;335013800_2
78;325162000_2;14;335322901_2
79;325163300_2;16;331023300_2
80;325163600_2;4;328956467_2
81;325167100_2;4;328956467_2
82;325167200_2;4;328956467_2
83;325170900_2;2;335043401_2
84;325171804_2;15;335030700_2
85;325176600_2;17;335013800_2
86;325176800_2;8;336006600_2
87;325176900_2;16;331023300_2
88;325177100_2;5;326901900_2
89;325177500_2;13;338980000_2
90;325177600_2;2;335043401_2
91;325177800_2;5;326901900_2
92;325195700_2;5;326901900_2
93;325195900_2;14;335322901_2
94;325196100_2;8;336006600_2
95;325205800_2;17;335013800_2
96;325206400_2;4;328956467_2
97;325206500_2;14;335322901_2
98;325207700_2;2;335043401_2
99;325208100_2;14;335322901_2
100;325208200_2;2;335043401_2
101;325208600_2;5;326901900_2
102;325219400_2;11;335026000_2
103;325219500_2;15;335030700_2
104;325219600_2;5;326901900_2
105;325221000_2;2;335043401_2
106;325221800_2;17;335013800_2
107;325222000_2;17;335013800_2
108;325253500_2;2;335043401_2
109;325255300_2;5;326901900_2
110;325255700_2;6;325561200_2
111;325257703_2;3;331026700_2
112;325257802_2;15;335030700_2
113;325258002_2;15;335030700_2
114;325263603_2;2;335043401_2
115;325263701_2;5;326901900_2
116;325264800_2;15;335030700_2
117;325268700_2;9;331028600_2
118;325274601_2;3;331026700_2
119;325275600_2;15;335030700_2
120;325278700_2;15;335030700_2
121;325278900_2;2;335043401_2
122;325279000_2;16;331023300_2
123;325279100_2;2;335043401_2
124;325284700_2;5;326901900_2
125;325292700_2;3;331026700_2
126;325292800_2;17;335013800_2
127;325298200_2;8;336006600_2
128;325320500_2;15;335030700_2
129;325321800_2;5;326901900_2
130;325486500_2;9;331028600_2
131;325501403_2;15;335030700_2
132;325502301_2;6;325561200_2
133;325561200_2;6;325561200_2
134;325700902_2;3;331026700_2
135;325711700_2;16;331023300_2
136;325716200_2;11;335026000_2
137;325716401_2;15;335030700_2
138;326000700_2;8;336006600_2
139;326000800_2;8;336006600_2
140;326001100_2;8;336006600_2
141;326001200_2;14;335322901_2
