Product;Cluster;Centroid
325006703_2;3;CA241009_2
325027600_2;6;333001300_2
325028004_2;5;325299500_2
325028005_2;6;333001300_2
325028500_2;1;325392100_2
325030008_2;6;333001300_2
325032008_2;4;333009900_2
325050011_2;5;325299500_2
325050910_2;4;333009900_2
325059500_2;3;CA241009_2
325060600_2;6;333001300_2
325063900_2;4;333009900_2
325064600_2;4;333009900_2
325064900_2;4;333009900_2
325076900_2;1;325392100_2
325077300_2;7;328956424_2
325077400_2;3;CA241009_2
325077500_2;3;CA241009_2
325077600_2;2;328030700_2
325077700_2;2;328030700_2
325077800_2;7;328956424_2
325077900_2;1;325392100_2
325078000_2;7;328956424_2
325078400_2;7;328956424_2
325083200_2;7;328956424_2
325083400_2;4;333009900_2
325089501_2;5;325299500_2
325099600_2;3;CA241009_2
325120104_2;4;333009900_2
325125900_2;1;325392100_2
325128200_2;6;333001300_2
325128300_2;7;328956424_2
325128800_2;5;325299500_2
325128900_2;3;CA241009_2
325129000_2;3;CA241009_2
325129300_2;1;325392100_2
325129700_2;6;333001300_2
325129800_2;3;CA241009_2
325129900_2;7;328956424_2
325131000_2;2;328030700_2
325133000_2;2;328030700_2
325268100_2;5;325299500_2
325297600_2;2;328030700_2
325298500_2;1;325392100_2
325298600_2;1;325392100_2
325298700_2;5;325299500_2
325298900_2;5;325299500_2
325299000_2;5;325299500_2
325299100_2;5;325299500_2
325299200_2;1;325392100_2
325299300_2;5;325299500_2
325299400_2;5;325299500_2
325299500_2;5;325299500_2
325299600_2;5;325299500_2
325299700_2;5;325299500_2
325299800_2;5;325299500_2
325329500_2;5;325299500_2
325330600_2;5;325299500_2
325330700_2;5;325299500_2
325331600_2;4;333009900_2
325332500_2;5;325299500_2
325332600_2;5;325299500_2
325332700_2;6;333001300_2
325332800_2;5;325299500_2
325333800_2;5;325299500_2
325335900_2;6;333001300_2
325341000_2;5;325299500_2
325341500_2;3;CA241009_2
325342200_2;6;333001300_2
325342300_2;6;333001300_2
325342800_2;3;CA241009_2
325342900_2;5;325299500_2
325343000_2;2;328030700_2
325343500_2;5;325299500_2
325343700_2;6;333001300_2
325343800_2;6;333001300_2
325343900_2;7;328956424_2
325344000_2;6;333001300_2
325344200_2;4;333009900_2
325344400_2;6;333001300_2
325344500_2;6;333001300_2
325344600_2;6;333001300_2
325348200_2;6;333001300_2
325348600_2;1;325392100_2
325349400_2;1;325392100_2
325349700_2;1;325392100_2
325355300_2;4;333009900_2
325363700_2;4;333009900_2
325365500_2;4;333009900_2
325365600_2;4;333009900_2
325365700_2;2;328030700_2
325366500_2;1;325392100_2
325366600_2;6;333001300_2
325366800_2;4;333009900_2
325366900_2;5;325299500_2
325367000_2;5;325299500_2
325367200_2;6;333001300_2
325367400_2;1;325392100_2
325367500_2;5;325299500_2
325367600_2;5;325299500_2
325367700_2;1;325392100_2
325367800_2;4;333009900_2
325367900_2;6;333001300_2
325368000_2;4;333009900_2
325368300_2;2;328030700_2
325368600_2;5;325299500_2
325368700_2;2;328030700_2
325368800_2;7;328956424_2
325368900_2;6;333001300_2
325369800_2;5;325299500_2
325369900_2;5;325299500_2
325370900_2;4;333009900_2
325371100_2;4;333009900_2
325371700_2;6;333001300_2
325373000_2;6;333001300_2
325374300_2;5;325299500_2
325374400_2;5;325299500_2
325374700_2;3;CA241009_2
325374800_2;6;333001300_2
325375100_2;7;328956424_2
325375200_2;6;333001300_2
325375600_2;1;325392100_2
325375700_2;5;325299500_2
325375800_2;3;CA241009_2
325375900_2;1;325392100_2
325383500_2;7;328956424_2
325383600_2;5;325299500_2
325383800_2;3;CA241009_2
325384300_2;6;333001300_2
325384400_2;1;325392100_2
325384500_2;1;325392100_2
325384600_2;5;325299500_2
325384700_2;6;333001300_2
325384800_2;4;333009900_2
325384900_2;4;333009900_2
325385000_2;6;333001300_2
325387100_2;5;325299500_2
325387300_2;5;325299500_2
325387400_2;1;325392100_2
325387500_2;5;325299500_2
325387600_2;3;CA241009_2
325387700_2;4;333009900_2
325387800_2;6;333001300_2
325388000_2;6;333001300_2
325389800_2;5;325299500_2
325389900_2;7;328956424_2
325390200_2;5;325299500_2
325390300_2;6;333001300_2
325390400_2;5;325299500_2
325390500_2;6;333001300_2
325390600_2;7;328956424_2
325390700_2;7;328956424_2
325390800_2;5;325299500_2
325391100_2;3;CA241009_2
325391200_2;5;325299500_2
325391300_2;1;325392100_2
325391400_2;1;325392100_2
325391500_2;3;CA241009_2
325391700_2;6;333001300_2
325391800_2;6;333001300_2
325391900_2;5;325299500_2
325392100_2;1;325392100_2
325392200_2;5;325299500_2
325602205_2;4;333009900_2
325610204_2;1;325392100_2
328000000_2;6;333001300_2
328000100_2;3;CA241009_2
328000200_2;6;333001300_2
328000300_2;6;333001300_2
328000400_2;6;333001300_2
328000500_2;6;333001300_2
328000600_2;4;333009900_2
328000700_2;6;333001300_2
328000800_2;6;333001300_2
328000900_2;5;325299500_2
328001000_2;6;333001300_2
328001200_2;7;328956424_2
328001300_2;7;328956424_2
328001500_2;4;333009900_2
328001700_2;2;328030700_2
328001800_2;6;333001300_2
328001900_2;6;333001300_2
328002100_2;6;333001300_2
328003800_2;3;CA241009_2
328005200_2;3;CA241009_2
328005500_2;4;333009900_2
328005700_2;3;CA241009_2
328006400_2;2;328030700_2
328006600_2;7;328956424_2
328006700_2;7;328956424_2
328006900_2;4;333009900_2
328007300_2;3;CA241009_2
328008000_2;3;CA241009_2
328008100_2;3;CA241009_2
328008200_2;5;325299500_2
328008300_2;2;328030700_2
328008400_2;5;325299500_2
328008500_2;3;CA241009_2
328008600_2;6;333001300_2
328008700_2;5;325299500_2
328008800_2;6;333001300_2
328010500_2;1;325392100_2
328010800_2;2;328030700_2
328011100_2;5;325299500_2
328011900_2;6;333001300_2
328012000_2;4;333009900_2
328012100_2;4;333009900_2
328012200_2;1;325392100_2
328012300_2;1;325392100_2
328012400_2;4;333009900_2
328014200_2;3;CA241009_2
328014300_2;1;325392100_2
328014400_2;7;328956424_2
328014500_2;7;328956424_2
328014600_2;4;333009900_2
328014700_2;5;325299500_2
328014800_2;7;328956424_2
328016600_2;5;325299500_2
328016700_2;6;333001300_2
328016800_2;6;333001300_2
328016900_2;5;325299500_2
328017000_2;6;333001300_2
328017100_2;6;333001300_2
328017300_2;1;325392100_2
328017400_2;6;333001300_2
328017500_2;1;325392100_2
328026000_2;5;325299500_2
328026100_2;5;325299500_2
328026200_2;5;325299500_2
328026300_2;6;333001300_2
328027400_2;5;325299500_2
328029700_2;7;328956424_2
328030600_2;2;328030700_2
328030700_2;2;328030700_2
328030800_2;2;328030700_2
328033000_2;6;333001300_2
328141900_2;4;333009900_2
328614402_2;3;CA241009_2
328614502_2;1;325392100_2
328615000_2;3;CA241009_2
328615700_2;2;328030700_2
328616600_2;2;328030700_2
328617000_2;6;333001300_2
328783500_2;1;325392100_2
