;Product;Cluster;Centroid
0;3250001070000;6;('3290022000000',)
1;3250001080000;45;('3339315049003',)
2;3250003060000;3;('3250003060000',)
3;3250066040000;45;('3339315049003',)
4;3250067030000;6;('3290022000000',)
5;3250068030000;18;('3250607000000',)
6;3250077030000;14;('3251679020000',)
7;3250093020000;3;('3250003060000',)
8;3250100059000;6;('3290022000000',)
9;3250102030000;6;('3290022000000',)
10;3250276000000;48;('3320162000000',)
11;3250278000000;38;('3330141000000',)
12;3250280030000;32;('3280073000000',)
13;3250280049000;24;('3329797626003',)
14;3250280059000;37;('3283300000000',)
15;3250285000000;15;('3280018009000',)
16;3250300089000;9;('3250300089000',)
17;3250300109000;6;('3290022000000',)
18;3250320080000;45;('3339315049003',)
19;3250333020000;5;('3290018000000',)
20;3250340049000;46;('3330082002603',)
21;3250360060000;29;('3329797710103',)
22;3250366060000;6;('3290022000000',)
23;3250380069000;38;('3330141000000',)
24;3250400099000;3;('3250003060000',)
25;3250400110000;3;('3250003060000',)
26;3250475068000;45;('3339315049003',)
27;3250476018000;37;('3283300000000',)
28;3250476025600;38;('3330141000000',)
29;3250495025600;25;('3280308005605',)
30;3250500110000;17;('3339315580203',)
31;3250509108500;6;('3290022000000',)
32;3250520079000;6;('3290022000000',)
33;3250540059000;3;('3250003060000',)
34;3250594000000;6;('3290022000000',)
35;3250595000000;7;('3330092008003',)
36;3250600189000;6;('3290022000000',)
37;3250601000000;10;('32D0037040002',)
38;3250605000000;6;('3290022000000',)
39;3250606000000;6;('3290022000000',)
40;3250607000000;18;('3250607000000',)
41;3250609000000;6;('3290022000000',)
42;3250610000000;6;('3290022000000',)
43;3250631000000;21;('3253751009000',)
44;3250632000000;29;('3329797710103',)
45;3250635000000;37;('3283300000000',)
46;3250637000000;22;('3330105008003',)
47;3250638000000;6;('3290022000000',)
48;3250639000000;6;('3290022000000',)
49;3250641010000;45;('3339315049003',)
50;3250642000000;45;('3339315049003',)
51;3250645000000;5;('3290018000000',)
52;3250645010000;6;('3290022000000',)
53;3250646000000;18;('3250607000000',)
54;3250647000000;45;('3339315049003',)
55;3250647010000;18;('3250607000000',)
56;3250648000000;45;('3339315049003',)
57;3250648010000;32;('3280073000000',)
58;3250649000000;5;('3290018000000',)
59;3250650010000;6;('3290022000000',)
60;3250652010000;6;('3290022000000',)
61;3250653010000;6;('3290022000000',)
62;3250655020000;38;('3330141000000',)
63;3250663020000;35;('3253877009000',)
64;3250677020000;10;('32D0037040002',)
65;3250678020000;6;('3290022000000',)
66;3250688000000;6;('3290022000000',)
67;3250701010000;26;('3297853000000',)
68;3250711000000;18;('3250607000000',)
69;3250713000000;18;('3250607000000',)
70;3250717000000;10;('32D0037040002',)
71;3250718000000;40;('3253907000000',)
72;3250719000000;46;('3330082002603',)
73;3250731000000;27;('3339315603603',)
74;3250732000000;45;('3339315049003',)
75;3250733000000;47;('3280171000000',)
76;3250755000000;42;('3289564219008',)
77;3250757000000;49;('3250948000000',)
78;3250759000000;7;('3330092008003',)
79;3250764000000;51;('3289564767108',)
80;3250765000000;6;('3290022000000',)
81;3250769000000;6;('3290022000000',)
82;3250773000000;6;('3290022000000',)
83;3250774000000;45;('3339315049003',)
84;3250775000000;45;('3339315049003',)
85;3250776000000;3;('3250003060000',)
86;3250777000000;33;('3339315655603',)
87;3250778000000;6;('3290022000000',)
88;3250779000000;14;('3251679020000',)
89;3250780000000;6;('3290022000000',)
90;3250782000000;16;('3251684000000',)
91;3250784000000;25;('3280308005605',)
92;3250785000000;19;('3339315587203',)
93;3250800159000;37;('3283300000000',)
94;3250828000000;43;('3280145000000',)
95;3250831000000;25;('3280308005605',)
96;3250832000000;16;('3251684000000',)
97;3250834000000;18;('3250607000000',)
98;3250836000000;42;('3289564219008',)
99;3250838000000;6;('3290022000000',)
100;3250879000000;17;('3339315580203',)
101;3250879010000;45;('3339315049003',)
102;3250895000000;40;('3253907000000',)
103;3250895010000;16;('3251684000000',)
104;3250895020000;41;('3320075000000',)
105;3250896010000;35;('3253877009000',)
106;3250896020000;45;('3339315049003',)
107;3250897000000;3;('3250003060000',)
108;3250897010000;40;('3253907000000',)
109;3250897020000;18;('3250607000000',)
110;3250898010000;3;('3250003060000',)
111;3250898020000;13;('3280276015600',)
112;3250900140000;18;('3250607000000',)
113;3250901000000;37;('3283300000000',)
114;3250901010000;7;('3330092008003',)
115;3250901020000;10;('32D0037040002',)
116;3250948000000;49;('3250948000000',)
117;3250960040000;6;('3290022000000',)
118;3250984000000;46;('3330082002603',)
119;3250994000000;6;('3290022000000',)
120;3250995000000;3;('3250003060000',)
121;3250996000000;6;('3290022000000',)
122;3250998000000;6;('3290022000000',)
123;3251009030000;6;('3290022000000',)
124;3251100179000;16;('3251684000000',)
125;3251201040000;6;('3290022000000',)
126;3251202000000;46;('3330082002603',)
127;3251251000000;6;('3290022000000',)
128;3251252000000;1;('3251252000000',)
129;3251258000000;26;('3297853000000',)
130;3251259000000;6;('3290022000000',)
131;3251268000000;3;('3250003060000',)
132;3251278000000;14;('3251679020000',)
133;3251279000000;3;('3250003060000',)
134;3251280000000;1;('3251252000000',)
135;3251282000000;45;('3339315049003',)
136;3251283000000;6;('3290022000000',)
137;3251288000000;9;('3250300089000',)
138;3251289000000;3;('3250003060000',)
139;3251290000000;27;('3339315603603',)
140;3251293000000;7;('3330092008003',)
141;3251297000000;23;('3339315600203',)
142;3251298000000;29;('3329797710103',)
143;3251299000000;37;('3283300000000',)
144;3251307000000;27;('3339315603603',)
145;3251309000000;3;('3250003060000',)
146;3251310000000;25;('3280308005605',)
147;3251330000000;45;('3339315049003',)
148;3251331000000;13;('3280276015600',)
149;3251336000000;51;('3289564767108',)
150;3251340000000;8;('32D0000009001',)
151;3251346000000;38;('3330141000000',)
