;Product;Cluster;Centroid
0;30E000400_2;19;('338022600_2',)
1;30E823101_2;6;('331054200_2',)
2;30E823102_2;6;('331054200_2',)
3;30E823103_2;6;('331054200_2',)
4;30E823104_2;5;('30E823106_2',)
5;30E823105_2;5;('30E823106_2',)
6;30E823106_2;5;('30E823106_2',)
7;30E823107_2;9;('34C990503_2',)
8;30E823108_2;9;('34C990503_2',)
9;30E823109_2;13;('34C990510_2',)
10;31A000700_2;10;('33C000600_2',)
11;31A001000_2;13;('34C990510_2',)
12;31A001100_2;13;('34C990510_2',)
13;31A001200_2;9;('34C990503_2',)
14;31A001300_2;13;('34C990510_2',)
15;31A001400_2;13;('34C990510_2',)
16;31A001500_2;13;('34C990510_2',)
17;31A001600_2;13;('34C990510_2',)
18;31A001700_2;16;('345008500_2',)
19;31A001800_2;13;('34C990510_2',)
20;31A002000_2;6;('331054200_2',)
21;31A002100_2;6;('331054200_2',)
22;31A999901_2;13;('34C990510_2',)
23;31A999902_2;9;('34C990503_2',)
24;31A999903_2;9;('34C990503_2',)
25;31A999904_2;19;('338022600_2',)
26;31B000300_2;1;('335024709_2',)
27;31C002600_2;17;('335059900_2',)
28;31C002800_2;5;('30E823106_2',)
29;325003105_2;4;('331031000_2',)
30;325005700_2;10;('33C000600_2',)
31;325016200_2;16;('345008500_2',)
32;325016300_2;7;('335026820_2',)
33;325016800_2;10;('33C000600_2',)
34;325016900_2;10;('33C000600_2',)
35;325017100_2;4;('331031000_2',)
36;325017200_2;18;('338832702_2',)
37;325030702_2;10;('33C000600_2',)
38;325037002_2;6;('331054200_2',)
39;325045100_2;6;('331054200_2',)
40;325046400_2;10;('33C000600_2',)
41;325046900_2;8;('335026900_2',)
42;325054001_2;14;('338020300_2',)
43;325055200_2;1;('335024709_2',)
44;325056004_2;10;('33C000600_2',)
45;325060003_2;18;('338832702_2',)
46;325070007_2;9;('34C990503_2',)
47;325075002_2;14;('338020300_2',)
48;325127100_2;7;('335026820_2',)
49;325149400_2;10;('33C000600_2',)
50;325149500_2;7;('335026820_2',)
51;325150600_2;4;('331031000_2',)
52;325153600_2;8;('335026900_2',)
53;325153900_2;12;('335044400_2',)
54;325158600_2;7;('335026820_2',)
55;325158700_2;15;('349001700_2',)
56;325158800_2;4;('331031000_2',)
57;325158900_2;18;('338832702_2',)
58;325159000_2;12;('335044400_2',)
59;325159100_2;15;('349001700_2',)
60;325159200_2;18;('338832702_2',)
61;325159300_2;18;('338832702_2',)
62;325159400_2;2;('330019300_2',)
63;325159600_2;20;('335045900_2',)
64;325159700_2;2;('330019300_2',)
65;325159900_2;4;('331031000_2',)
66;325160100_2;4;('331031000_2',)
67;325160600_2;20;('335045900_2',)
68;325160800_2;16;('345008500_2',)
69;325160900_2;8;('335026900_2',)
70;325161500_2;20;('335045900_2',)
71;325161900_2;13;('34C990510_2',)
72;325178100_2;8;('335026900_2',)
73;325178200_2;10;('33C000600_2',)
74;325178600_2;13;('34C990510_2',)
75;325178800_2;20;('335045900_2',)
76;325178900_2;18;('338832702_2',)
77;325179200_2;19;('338022600_2',)
78;325179700_2;8;('335026900_2',)
79;325189100_2;18;('338832702_2',)
80;325190300_2;20;('335045900_2',)
81;325191300_2;19;('338022600_2',)
82;325191800_2;7;('335026820_2',)
83;325192100_2;14;('338020300_2',)
84;325192200_2;13;('34C990510_2',)
85;325192700_2;15;('349001700_2',)
86;325193100_2;4;('331031000_2',)
87;325195100_2;20;('335045900_2',)
88;325197200_2;13;('34C990510_2',)
89;325197400_2;14;('338020300_2',)
90;325197700_2;15;('349001700_2',)
91;325197900_2;4;('331031000_2',)
92;325198200_2;2;('330019300_2',)
93;325198300_2;18;('338832702_2',)
94;325213900_2;14;('338020300_2',)
95;325216400_2;6;('331054200_2',)
96;325216600_2;2;('330019300_2',)
97;325275300_2;18;('338832702_2',)
98;325276000_2;9;('34C990503_2',)
99;325276100_2;5;('30E823106_2',)
100;325276200_2;14;('338020300_2',)
101;325276400_2;15;('349001700_2',)
102;325276800_2;10;('33C000600_2',)
103;325276900_2;12;('335044400_2',)
104;325277000_2;18;('338832702_2',)
105;325277100_2;7;('335026820_2',)
106;325277200_2;10;('33C000600_2',)
107;325284400_2;14;('338020300_2',)
108;325300902_2;4;('331031000_2',)
109;325392600_2;20;('335045900_2',)
110;325826100_2;8;('335026900_2',)
111;325834200_2;4;('331031000_2',)
112;325836200_2;6;('331054200_2',)
113;325941900_2;18;('338832702_2',)
114;325942300_2;14;('338020300_2',)
115;326015900_2;14;('338020300_2',)
116;326056400_2;20;('335045900_2',)
117;326306601_2;16;('345008500_2',)
118;326320003_2;19;('338022600_2',)
119;326676500_2;11;('331054700_2',)
120;326964700_2;15;('349001700_2',)
121;327000000_2;2;('330019300_2',)
122;327000800_2;10;('33C000600_2',)
123;327001300_2;2;('330019300_2',)
124;327002500_2;18;('338832702_2',)
125;327002900_2;4;('331031000_2',)
126;327013900_2;9;('34C990503_2',)
127;327019100_2;9;('34C990503_2',)
128;327023500_2;6;('331054200_2',)
129;327024200_2;19;('338022600_2',)
130;327026300_2;17;('335059900_2',)
131;327026400_2;15;('349001700_2',)
132;327026500_2;19;('338022600_2',)
133;327026600_2;8;('335026900_2',)
134;327026700_2;4;('331031000_2',)
135;327026800_2;14;('338020300_2',)
136;327026900_2;19;('338022600_2',)
137;327027100_2;11;('331054700_2',)
138;327027200_2;11;('331054700_2',)
139;327027300_2;1;('335024709_2',)
140;327027800_2;4;('331031000_2',)
141;327027900_2;10;('33C000600_2',)
142;327028700_2;9;('34C990503_2',)
143;327028800_2;8;('335026900_2',)
144;327029200_2;8;('335026900_2',)
145;327029300_2;20;('335045900_2',)
146;327029400_2;20;('335045900_2',)
147;327029800_2;7;('335026820_2',)
148;327029900_2;11;('331054700_2',)
149;327030200_2;17;('335059900_2',)
150;327030300_2;6;('331054200_2',)
151;327030400_2;11;('331054700_2',)
152;327034900_2;19;('338022600_2',)
153;327035200_2;2;('330019300_2',)
154;327035300_2;4;('331031000_2',)
155;327035400_2;18;('338832702_2',)
156;327035500_2;20;('335045900_2',)
157;327035600_2;8;('335026900_2',)
158;327035700_2;20;('335045900_2',)
159;327035800_2;12;('335044400_2',)
160;327035900_2;20;('335045900_2',)
161;327036100_2;9;('34C990503_2',)
162;327036200_2;14;('338020300_2',)
163;327036400_2;2;('330019300_2',)
164;327036500_2;3;('327036500_2',)
165;327036600_2;18;('338832702_2',)
166;327036700_2;15;('349001700_2',)
167;327038500_2;17;('335059900_2',)
168;327038600_2;9;('34C990503_2',)
169;327038700_2;18;('338832702_2',)
170;327038800_2;7;('335026820_2',)
171;327038900_2;17;('335059900_2',)
172;327039100_2;7;('335026820_2',)
173;327041100_2;16;('345008500_2',)
174;327041200_2;7;('335026820_2',)
175;327062300_2;20;('335045900_2',)
176;327094201_2;10;('33C000600_2',)
177;327099401_2;18;('338832702_2',)
178;327099700_2;18;('338832702_2',)
179;327099800_2;14;('338020300_2',)
180;327119900_2;9;('34C990503_2',)
181;327120004_2;14;('338020300_2',)
182;327120600_2;13;('34C990510_2',)
183;327120801_2;15;('349001700_2',)
184;327121700_2;2;('330019300_2',)
185;327124000_2;20;('335045900_2',)
186;327280007_2;17;('335059900_2',)
187;327280009_2;14;('338020300_2',)
188;327300007_2;20;('335045900_2',)
189;327300010_2;20;('335045900_2',)
190;327320002_2;19;('338022600_2',)
191;327340005_2;13;('34C990510_2',)
192;327350002_2;13;('34C990510_2',)
193;327380011_2;18;('338832702_2',)
194;327400011_2;2;('330019300_2',)
195;327400014_2;20;('335045900_2',)
196;327500006_2;2;('330019300_2',)
197;327500020_2;12;('335044400_2',)
198;327520005_2;2;('330019300_2',)
199;327590001_2;10;('33C000600_2',)
200;327600020_2;11;('331054700_2',)
201;327612900_2;8;('335026900_2',)
202;327640010_2;6;('331054200_2',)
203;327660006_2;8;('335026900_2',)
204;327664203_2;12;('335044400_2',)
205;327692000_2;13;('34C990510_2',)
206;327700018_2;10;('33C000600_2',)
207;327700019_2;2;('330019300_2',)
208;327701102_2;4;('331031000_2',)
209;327709500_2;10;('33C000600_2',)
210;327728200_2;14;('338020300_2',)
211;327800100_2;13;('34C990510_2',)
212;327805300_2;6;('331054200_2',)
213;327840007_2;9;('34C990503_2',)
214;327860004_2;14;('338020300_2',)
215;327864800_2;16;('345008500_2',)
216;327881101_2;7;('335026820_2',)
217;327960300_2;13;('34C990510_2',)
218;327980002_2;11;('331054700_2',)
219;327980200_2;20;('335045900_2',)
220;327980504_2;15;('349001700_2',)
221;327983002_2;20;('335045900_2',)
222;328956470_2;9;('34C990503_2',)
223;32B001200_2;12;('335044400_2',)
224;32B001201_2;18;('338832702_2',)
225;32B002800_2;11;('331054700_2',)
226;32B003300_2;12;('335044400_2',)
227;32B003301_2;1;('335024709_2',)
228;32B003400_2;12;('335044400_2',)
229;32B003401_2;12;('335044400_2',)
230;32B008500_2;1;('335024709_2',)
231;32B008800_2;12;('335044400_2',)
232;32B008900_2;12;('335044400_2',)
233;32B009100_2;4;('331031000_2',)
234;32B009250_2;5;('30E823106_2',)
235;32B009451_2;5;('30E823106_2',)
236;32B009552_2;5;('30E823106_2',)
237;32B013853_2;5;('30E823106_2',)
238;32B013954_2;5;('30E823106_2',)
239;32B014055_2;5;('30E823106_2',)
240;32B200300_2;15;('349001700_2',)
241;32B200400_2;9;('34C990503_2',)
242;32B290100_2;18;('338832702_2',)
243;32B290101_2;19;('338022600_2',)
244;32B290202_2;18;('338832702_2',)
245;32B290203_2;7;('335026820_2',)
246;32B290300_2;19;('338022600_2',)
247;32C002000_2;17;('335059900_2',)
248;32C003201_2;10;('33C000600_2',)
249;32C003500_2;6;('331054200_2',)
250;32C003601_2;20;('335045900_2',)
251;32C004200_2;5;('30E823106_2',)
252;32C004300_2;20;('335045900_2',)
253;32C004401_2;16;('345008500_2',)
254;32C004500_2;9;('34C990503_2',)
255;32C004600_2;10;('33C000600_2',)
256;32C004700_2;20;('335045900_2',)
257;32C004900_2;19;('338022600_2',)
258;32C005000_2;10;('33C000600_2',)
259;32C005100_2;6;('331054200_2',)
260;32C033900_2;16;('345008500_2',)
261;32C072800_2;5;('30E823106_2',)
262;32C140100_2;14;('338020300_2',)
263;32C169800_2;10;('33C000600_2',)
264;32C200300_2;5;('30E823106_2',)
265;32C200400_2;10;('33C000600_2',)
266;32C220300_2;6;('331054200_2',)
267;32C220501_2;16;('345008500_2',)
268;32C230100_2;9;('34C990503_2',)
269;32C240200_2;13;('34C990510_2',)
270;32C250300_2;9;('34C990503_2',)
271;32C250301_2;7;('335026820_2',)
272;32C320100_2;17;('335059900_2',)
273;32C361600_2;16;('345008500_2',)
274;32C880602_2;20;('335045900_2',)
275;32C881801_2;16;('345008500_2',)
276;32C883600_2;16;('345008500_2',)
277;32C930200_2;2;('330019300_2',)
278;32C995602_2;11;('331054700_2',)
279;32C995603_2;6;('331054200_2',)
280;32C995604_2;6;('331054200_2',)
281;32C995605_2;11;('331054700_2',)
282;32C995606_2;13;('34C990510_2',)
283;32C995607_2;9;('34C990503_2',)
284;32C995608_2;13;('34C990510_2',)
285;32C995609_2;13;('34C990510_2',)
286;330003401_2;4;('331031000_2',)
287;330019100_2;4;('331031000_2',)
288;330019200_2;2;('330019300_2',)
289;330019300_2;2;('330019300_2',)
290;330019400_2;2;('330019300_2',)
291;330019500_2;2;('330019300_2',)
292;330019600_2;4;('331031000_2',)
293;330019700_2;2;('330019300_2',)
294;330019800_2;2;('330019300_2',)
295;330020100_2;2;('330019300_2',)
296;330020200_2;4;('331031000_2',)
297;330020300_2;2;('330019300_2',)
298;330020400_2;4;('331031000_2',)
299;330020500_2;4;('331031000_2',)
300;330020900_2;8;('335026900_2',)
301;330021100_2;2;('330019300_2',)
302;330021200_2;8;('335026900_2',)
303;330021300_2;2;('330019300_2',)
304;330021400_2;2;('330019300_2',)
305;330021500_2;2;('330019300_2',)
306;330021600_2;2;('330019300_2',)
307;330022700_2;2;('330019300_2',)
308;330023400_2;4;('331031000_2',)
309;330023500_2;2;('330019300_2',)
310;330023600_2;18;('338832702_2',)
311;330127800_2;20;('335045900_2',)
312;330263203_2;2;('330019300_2',)
313;330430700_2;15;('349001700_2',)
314;330441200_2;18;('338832702_2',)
315;330943600_2;19;('338022600_2',)
316;331001000_2;18;('338832702_2',)
317;331003901_2;17;('335059900_2',)
318;331016501_2;17;('335059900_2',)
319;331016901_2;14;('338020300_2',)
320;331017100_2;17;('335059900_2',)
321;331017101_2;17;('335059900_2',)
322;331017600_2;18;('338832702_2',)
323;331017700_2;16;('345008500_2',)
324;331017703_2;12;('335044400_2',)
325;331021400_2;15;('349001700_2',)
326;331021500_2;15;('349001700_2',)
327;331021505_2;7;('335026820_2',)
328;331021600_2;8;('335026900_2',)
329;331021606_2;7;('335026820_2',)
330;331021700_2;8;('335026900_2',)
331;331021707_2;19;('338022600_2',)
332;331021800_2;15;('349001700_2',)
333;331021812_2;1;('335024709_2',)
334;331021900_2;14;('338020300_2',)
335;331022100_2;8;('335026900_2',)
336;331022114_2;12;('335044400_2',)
337;331022300_2;15;('349001700_2',)
338;331022315_2;1;('335024709_2',)
339;331022400_2;15;('349001700_2',)
340;331022416_2;12;('335044400_2',)
341;331026100_2;15;('349001700_2',)
342;331026117_2;12;('335044400_2',)
343;331026200_2;15;('349001700_2',)
344;331026218_2;1;('335024709_2',)
345;331029500_2;4;('331031000_2',)
346;331029600_2;4;('331031000_2',)
347;331029700_2;4;('331031000_2',)
348;331029701_2;5;('30E823106_2',)
349;331029800_2;2;('330019300_2',)
350;331029900_2;18;('338832702_2',)
351;331029901_2;10;('33C000600_2',)
352;331030000_2;4;('331031000_2',)
353;331030001_2;20;('335045900_2',)
354;331030800_2;2;('330019300_2',)
355;331030801_2;14;('338020300_2',)
356;331030900_2;2;('330019300_2',)
357;331031000_2;4;('331031000_2',)
358;331031100_2;2;('330019300_2',)
359;331031101_2;9;('34C990503_2',)
360;331031200_2;2;('330019300_2',)
361;331031201_2;6;('331054200_2',)
362;331031300_2;2;('330019300_2',)
363;331031301_2;5;('30E823106_2',)
364;331031401_2;10;('33C000600_2',)
365;331031501_2;5;('30E823106_2',)
366;331032800_2;8;('335026900_2',)
367;331032900_2;8;('335026900_2',)
368;331033100_2;15;('349001700_2',)
369;331033200_2;15;('349001700_2',)
370;331037800_2;5;('30E823106_2',)
371;331037900_2;14;('338020300_2',)
372;331038000_2;15;('349001700_2',)
373;331038100_2;10;('33C000600_2',)
374;331038300_2;5;('30E823106_2',)
375;331038500_2;19;('338022600_2',)
376;331038600_2;5;('30E823106_2',)
377;331038800_2;5;('30E823106_2',)
378;331038900_2;15;('349001700_2',)
379;331039000_2;14;('338020300_2',)
380;331039100_2;5;('30E823106_2',)
381;331039200_2;9;('34C990503_2',)
382;331039900_2;4;('331031000_2',)
383;331040100_2;4;('331031000_2',)
384;331040200_2;19;('338022600_2',)
385;331040300_2;4;('331031000_2',)
386;331040400_2;19;('338022600_2',)
387;331040500_2;2;('330019300_2',)
388;331040600_2;15;('349001700_2',)
389;331040700_2;14;('338020300_2',)
390;331040800_2;4;('331031000_2',)
391;331040900_2;12;('335044400_2',)
392;331041100_2;12;('335044400_2',)
393;331041200_2;12;('335044400_2',)
394;331041300_2;12;('335044400_2',)
395;331041400_2;11;('331054700_2',)
396;331041600_2;4;('331031000_2',)
397;331041700_2;2;('330019300_2',)
398;331041800_2;2;('330019300_2',)
399;331041900_2;2;('330019300_2',)
400;331042100_2;2;('330019300_2',)
401;331042200_2;2;('330019300_2',)
402;331042300_2;4;('331031000_2',)
403;331042400_2;18;('338832702_2',)
404;331042500_2;2;('330019300_2',)
405;331042600_2;2;('330019300_2',)
406;331042800_2;2;('330019300_2',)
407;331042900_2;2;('330019300_2',)
408;331044300_2;2;('330019300_2',)
409;331044400_2;8;('335026900_2',)
410;331044500_2;2;('330019300_2',)
411;331044600_2;2;('330019300_2',)
412;331044800_2;8;('335026900_2',)
413;331044900_2;4;('331031000_2',)
414;331045100_2;2;('330019300_2',)
415;331045200_2;8;('335026900_2',)
416;331045300_2;15;('349001700_2',)
417;331045400_2;2;('330019300_2',)
418;331045500_2;2;('330019300_2',)
419;331045700_2;2;('330019300_2',)
420;331046100_2;8;('335026900_2',)
421;331046200_2;8;('335026900_2',)
422;331046300_2;2;('330019300_2',)
423;331054200_2;6;('331054200_2',)
424;331054700_2;11;('331054700_2',)
425;331054800_2;11;('331054700_2',)
426;331054900_2;14;('338020300_2',)
427;331055100_2;11;('331054700_2',)
428;331055200_2;11;('331054700_2',)
429;331055300_2;17;('335059900_2',)
430;331055400_2;11;('331054700_2',)
431;331055500_2;17;('335059900_2',)
432;331055600_2;11;('331054700_2',)
433;331055700_2;11;('331054700_2',)
434;331055800_2;11;('331054700_2',)
435;331055900_2;11;('331054700_2',)
436;331056000_2;17;('335059900_2',)
437;331056100_2;11;('331054700_2',)
438;331056200_2;11;('331054700_2',)
439;331056300_2;11;('331054700_2',)
440;331056400_2;11;('331054700_2',)
441;331056500_2;6;('331054200_2',)
442;331056600_2;6;('331054200_2',)
443;331056700_2;6;('331054200_2',)
444;331056900_2;6;('331054200_2',)
445;331057000_2;6;('331054200_2',)
446;331057100_2;18;('338832702_2',)
447;331057900_2;7;('335026820_2',)
448;331058100_2;19;('338022600_2',)
449;331058200_2;11;('331054700_2',)
450;331058300_2;11;('331054700_2',)
451;331058400_2;11;('331054700_2',)
452;331140003_2;4;('331031000_2',)
453;331296800_2;2;('330019300_2',)
454;331297900_2;10;('33C000600_2',)
455;331440100_2;2;('330019300_2',)
456;331441000_2;8;('335026900_2',)
457;331700700_2;10;('33C000600_2',)
458;331700701_2;4;('331031000_2',)
459;331700900_2;19;('338022600_2',)
460;331995298_2;6;('331054200_2',)
461;331995300_2;6;('331054200_2',)
462;331995301_2;13;('34C990510_2',)
463;334000840_2;7;('335026820_2',)
464;334001844_2;12;('335044400_2',)
465;334003300_2;18;('338832702_2',)
466;334003400_2;18;('338832702_2',)
467;334003700_2;5;('30E823106_2',)
468;334101106_2;10;('33C000600_2',)
469;334300001_2;18;('338832702_2',)
470;334847200_2;8;('335026900_2',)
471;335000600_2;8;('335026900_2',)
472;335000801_2;14;('338020300_2',)
473;335001001_2;14;('338020300_2',)
474;335001100_2;7;('335026820_2',)
475;335001501_2;19;('338022600_2',)
476;335002601_2;19;('338022600_2',)
477;335009400_2;16;('345008500_2',)
478;335009600_2;18;('338832702_2',)
479;335010500_2;10;('33C000600_2',)
480;335010800_2;16;('345008500_2',)
481;335011100_2;16;('345008500_2',)
482;335011800_2;16;('345008500_2',)
483;335019000_2;16;('345008500_2',)
484;335019100_2;16;('345008500_2',)
485;335019200_2;16;('345008500_2',)
486;335019300_2;16;('345008500_2',)
487;335019400_2;16;('345008500_2',)
488;335019500_2;16;('345008500_2',)
489;335021200_2;18;('338832702_2',)
490;335021300_2;18;('338832702_2',)
491;335021400_2;18;('338832702_2',)
492;335021500_2;2;('330019300_2',)
493;335021600_2;4;('331031000_2',)
494;335021900_2;4;('331031000_2',)
495;335022000_2;4;('331031000_2',)
496;335022100_2;4;('331031000_2',)
497;335022200_2;2;('330019300_2',)
498;335022300_2;4;('331031000_2',)
499;335022400_2;4;('331031000_2',)
500;335022500_2;4;('331031000_2',)
501;335022600_2;2;('330019300_2',)
502;335022700_2;2;('330019300_2',)
503;335023600_2;8;('335026900_2',)
504;335023601_2;16;('345008500_2',)
505;335023700_2;2;('330019300_2',)
506;335023701_2;13;('34C990510_2',)
507;335023800_2;4;('331031000_2',)
508;335024000_2;8;('335026900_2',)
509;335024300_2;2;('330019300_2',)
510;335024500_2;8;('335026900_2',)
511;335024508_2;14;('338020300_2',)
512;335024700_2;2;('330019300_2',)
513;335024709_2;1;('335024709_2',)
514;335024800_2;2;('330019300_2',)
515;335026300_2;15;('349001700_2',)
516;335026310_2;14;('338020300_2',)
517;335026511_2;1;('335024709_2',)
518;335026619_2;7;('335026820_2',)
519;335026800_2;15;('349001700_2',)
520;335026820_2;7;('335026820_2',)
521;335026900_2;8;('335026900_2',)
522;335026921_2;7;('335026820_2',)
523;335027022_2;10;('33C000600_2',)
524;335027100_2;8;('335026900_2',)
525;335027123_2;7;('335026820_2',)
526;335027200_2;2;('330019300_2',)
527;335027224_2;17;('335059900_2',)
528;335027300_2;2;('330019300_2',)
529;335027325_2;7;('335026820_2',)
530;335027700_2;2;('330019300_2',)
531;335027726_2;8;('335026900_2',)
532;335027800_2;8;('335026900_2',)
533;335027801_2;7;('335026820_2',)
534;335027900_2;4;('331031000_2',)
535;335027901_2;10;('33C000600_2',)
536;335028100_2;4;('331031000_2',)
537;335028101_2;10;('33C000600_2',)
