;Product;Cluster;Centroid
0;3250001070000;1;('3250001070000',)
1;3250001080000;2;('3250001080000',)
2;3250003060000;3;('3250003060000',)
3;3250066040000;37;('3330135005600',)
4;3250067030000;8;('3258806000000',)
5;3250068030000;36;('3250711000000',)
6;3250077030000;18;('3339315570203',)
7;3250093020000;3;('3250003060000',)
8;3250100059000;1;('3250001070000',)
9;3250102030000;1;('3250001070000',)
10;3250276000000;9;('3330092008003',)
11;3250278000000;42;('3320069000000',)
12;3250280030000;22;('3250635000000',)
13;3250280049000;24;('3329797626003',)
14;3250280059000;22;('3250635000000',)
15;3250285000000;10;('3320251005602',)
16;3250300089000;3;('3250003060000',)
17;3250300109000;1;('3250001070000',)
18;3250320080000;38;('3320049000000',)
19;3250333020000;50;('3320231002603',)
20;3250340049000;6;('32A7853367208',)
21;3250360060000;30;('3329797710103',)
22;3250366060000;1;('3250001070000',)
23;3250380069000;42;('3320069000000',)
24;3250400099000;3;('3250003060000',)
25;3250400110000;3;('3250003060000',)
26;3250475068000;2;('3250001080000',)
27;3250476018000;22;('3250635000000',)
28;3250476025600;42;('3320069000000',)
29;3250495025600;11;('32D0037030001',)
30;3250500110000;44;('3250879000000',)
31;3250509108500;17;('3250509108500',)
32;3250520079000;1;('3250001070000',)
33;3250540059000;3;('3250003060000',)
34;3250594000000;1;('3250001070000',)
35;3250595000000;20;('3250595000000',)
36;3250600189000;1;('3250001070000',)
37;3250601000000;7;('3330090008003',)
38;3250605000000;1;('3250001070000',)
39;3250606000000;1;('3250001070000',)
40;3250607000000;36;('3250711000000',)
41;3250609000000;1;('3250001070000',)
42;3250610000000;1;('3250001070000',)
43;3250631000000;15;('3253698009000',)
44;3250632000000;30;('3329797710103',)
45;3250635000000;22;('3250635000000',)
46;3250637000000;13;('3330095008003',)
47;3250638000000;1;('3250001070000',)
48;3250639000000;1;('3250001070000',)
49;3250641010000;34;('3253100010000',)
50;3250642000000;25;('3250642000000',)
51;3250645000000;7;('3330090008003',)
52;3250645010000;1;('3250001070000',)
53;3250646000000;2;('3250001080000',)
54;3250647000000;25;('3250642000000',)
55;3250647010000;36;('3250711000000',)
56;3250648000000;25;('3250642000000',)
57;3250648010000;28;('3339315615603',)
58;3250649000000;26;('3297852000000',)
59;3250650010000;1;('3250001070000',)
60;3250652010000;1;('3250001070000',)
61;3250653010000;1;('3250001070000',)
62;3250655020000;42;('3320069000000',)
63;3250663020000;46;('3289564745608',)
64;3250677020000;51;('3330086003603',)
65;3250678020000;1;('3250001070000',)
66;3250688000000;1;('3250001070000',)
67;3250701010000;42;('3320069000000',)
68;3250711000000;36;('3250711000000',)
69;3250713000000;36;('3250711000000',)
70;3250717000000;7;('3330090008003',)
71;3250718000000;13;('3330095008003',)
72;3250719000000;49;('3339315199003',)
73;3250731000000;44;('3250879000000',)
74;3250732000000;2;('3250001080000',)
75;3250733000000;42;('3320069000000',)
76;3250755000000;43;('3250836000000',)
77;3250757000000;5;('3253666009000',)
78;3250759000000;9;('3330092008003',)
79;3250764000000;40;('3280087000000',)
80;3250765000000;1;('3250001070000',)
81;3250769000000;1;('3250001070000',)
82;3250773000000;1;('3250001070000',)
83;3250774000000;34;('3253100010000',)
84;3250775000000;2;('3250001080000',)
85;3250776000000;3;('3250003060000',)
86;3250777000000;28;('3339315615603',)
87;3250778000000;1;('3250001070000',)
88;3250779000000;3;('3250003060000',)
89;3250780000000;1;('3250001070000',)
90;3250782000000;24;('3329797626003',)
91;3250784000000;42;('3320069000000',)
92;3250785000000;33;('3339315638303',)
93;3250800159000;2;('3250001080000',)
94;3250828000000;32;('3280334006008',)
95;3250831000000;28;('3339315615603',)
96;3250832000000;26;('3297852000000',)
97;3250834000000;36;('3250711000000',)
98;3250836000000;43;('3250836000000',)
99;3250838000000;1;('3250001070000',)
100;3250879000000;44;('3250879000000',)
101;3250879010000;25;('3250642000000',)
102;3250895000000;7;('3330090008003',)
103;3250895010000;24;('3329797626003',)
104;3250895020000;30;('3329797710103',)
105;3250896010000;24;('3329797626003',)
106;3250896020000;47;('3250896020000',)
107;3250897000000;3;('3250003060000',)
108;3250897010000;13;('3330095008003',)
109;3250897020000;36;('3250711000000',)
110;3250898010000;3;('3250003060000',)
111;3250898020000;38;('3320049000000',)
112;3250900140000;36;('3250711000000',)
113;3250901000000;22;('3250635000000',)
114;3250901010000;41;('3281864009000',)
115;3250901020000;37;('3330135005600',)
116;3250948000000;27;('3320028000000',)
117;3250960040000;1;('3250001070000',)
118;3250984000000;13;('3330095008003',)
119;3250994000000;1;('3250001070000',)
120;3250995000000;3;('3250003060000',)
121;3250996000000;1;('3250001070000',)
122;3250998000000;1;('3250001070000',)
123;3251009030000;1;('3250001070000',)
124;3251100179000;26;('3297852000000',)
125;3251201040000;1;('3250001070000',)
126;3251202000000;16;('3330098005603',)
127;3251251000000;1;('3250001070000',)
128;3251252000000;11;('32D0037030001',)
129;3251258000000;42;('3320069000000',)
130;3251259000000;1;('3250001070000',)
131;3251268000000;36;('3250711000000',)
132;3251278000000;50;('3320231002603',)
133;3251279000000;3;('3250003060000',)
134;3251280000000;22;('3250635000000',)
135;3251282000000;25;('3250642000000',)
136;3251283000000;1;('3250001070000',)
137;3251288000000;8;('3258806000000',)
138;3251289000000;3;('3250003060000',)
139;3251290000000;28;('3339315615603',)
140;3251293000000;20;('3250595000000',)
141;3251297000000;6;('32A7853367208',)
142;3251298000000;20;('3250595000000',)
143;3251299000000;22;('3250635000000',)
144;3251307000000;28;('3339315615603',)
145;3251309000000;3;('3250003060000',)
146;3251310000000;11;('32D0037030001',)
147;3251330000000;2;('3250001080000',)
148;3251331000000;18;('3339315570203',)
149;3251336000000;46;('3289564745608',)
150;3251340000000;20;('3250595000000',)
151;3251346000000;42;('3320069000000',)
152;3251347000000;5;('3253666009000',)
153;3251348000000;32;('3280334006008',)
154;3251349000000;11;('32D0037030001',)
155;3251353000000;25;('3250642000000',)
156;3251517020000;14;('3320252002702',)
157;3251529030000;38;('3320049000000',)
158;3251605000000;32;('3280334006008',)
159;3251674010000;18;('3339315570203',)
160;3251677010000;1;('3250001070000',)
161;3251679020000;18;('3339315570203',)
162;3251684000000;24;('3329797626003',)
163;3251692020000;45;('3280159000000',)
164;3251701030000;33;('3339315638303',)
165;3251725010000;12;('3280001009000',)
166;3251735020000;19;('3280276017100',)
167;3251736050000;50;('3320231002603',)
168;3251919000000;5;('3253666009000',)
169;3252290020000;3;('3250003060000',)
170;3252591020000;1;('3250001070000',)
171;3252661020000;1;('3250001070000',)
172;3252681000000;1;('3250001070000',)
173;3252694000000;23;('3252694000000',)
174;3252975000000;22;('3250635000000',)
175;3252976000000;1;('3250001070000',)
176;3252985000000;1;('3250001070000',)
177;3252986000000;1;('3250001070000',)
178;3252987000000;1;('3250001070000',)
179;3252988000000;1;('3250001070000',)
180;3252989000000;25;('3250642000000',)
181;3252990000000;1;('3250001070000',)
182;3252991000000;3;('3250003060000',)
183;3252992000000;3;('3250003060000',)
184;3252993000000;1;('3250001070000',)
185;3252994000000;36;('3250711000000',)
186;3252995000000;1;('3250001070000',)
187;3252996000000;13;('3330095008003',)
188;3252997000000;1;('3250001070000',)
189;3252998000000;1;('3250001070000',)
190;3253019040000;24;('3329797626003',)
191;3253022010000;5;('3253666009000',)
192;3253058010000;30;('3329797710103',)
193;3253100010000;34;('3253100010000',)
194;3253106000000;26;('3297852000000',)
195;3253121010000;35;('3253121010000',)
196;3253148020000;1;('3250001070000',)
197;3253161020000;1;('3250001070000',)
198;3253163000000;41;('3281864009000',)
199;3253175000000;1;('3250001070000',)
200;3253295009000;9;('3330092008003',)
201;3253306009000;15;('3253698009000',)
202;3253307001000;15;('3253698009000',)
203;3253307001200;22;('3250635000000',)
204;3253307001500;1;('3250001070000',)
205;3253307002700;22;('3250635000000',)
206;3253307003600;40;('3280087000000',)
207;3253307006000;26;('3297852000000',)
208;3253316009000;20;('3250595000000',)
209;3253325009000;43;('3250836000000',)
210;3253326009000;46;('3289564745608',)
211;3253327009000;50;('3320231002603',)
212;3253328001000;33;('3339315638303',)
213;3253328001200;32;('3280334006008',)
214;3253328001500;24;('3329797626003',)
215;3253328002700;30;('3329797710103',)
216;3253328003600;3;('3250003060000',)
217;3253328006000;3;('3250003060000',)
218;3253338009000;42;('3320069000000',)
219;3253359009000;43;('3250836000000',)
220;3253410009000;40;('3280087000000',)
221;3253415009000;46;('3289564745608',)
222;3253420009000;35;('3253121010000',)
223;3253421009000;42;('3320069000000',)
224;3253422009000;35;('3253121010000',)
225;3253423009000;46;('3289564745608',)
226;3253428009000;41;('3281864009000',)
227;3253429009000;24;('3329797626003',)
228;3253430009000;1;('3250001070000',)
229;3253435009000;15;('3253698009000',)
230;3253437009000;40;('3280087000000',)
231;3253438009000;24;('3329797626003',)
232;3253439009000;24;('3329797626003',)
233;3253440009000;46;('3289564745608',)
234;3253442009000;32;('3280334006008',)
235;3253444009000;30;('3329797710103',)
236;3253445009000;39;('3320050000000',)
237;3253446001000;18;('3339315570203',)
238;3253446001500;10;('3320251005602',)
239;3253446002600;10;('3320251005602',)
240;3253446003600;43;('3250836000000',)
241;3253446003700;46;('3289564745608',)
242;3253446007100;42;('3320069000000',)
243;3253482009000;8;('3258806000000',)
244;3253486009000;3;('3250003060000',)
245;3253494009000;1;('3250001070000',)
246;3253497009000;18;('3339315570203',)
247;3253498009000;32;('3280334006008',)
248;3253499009000;40;('3280087000000',)
249;3253538009000;40;('3280087000000',)
250;3253551010000;24;('3329797626003',)
251;3253553009000;26;('3297852000000',)
252;3253562020000;46;('3289564745608',)
253;3253569009000;18;('3339315570203',)
254;3253604009000;27;('3320028000000',)
255;3253637009000;14;('3320252002702',)
