;Product;Cluster;Centroid
0;3250001080000;18;('3330104003703',)
1;3250066040000;3;('3330085003803',)
2;3250067030000;14;('3320231002603',)
3;3250068030000;30;('3253877009000',)
4;3250077030000;5;('3320090000000',)
5;3250276000000;3;('3330085003803',)
6;3250278000000;36;('3330078000003',)
7;3250280049000;29;('3330035000000',)
8;3250280059000;37;('3286144029000',)
9;3250285000000;2;('3253437009000',)
10;3250300089000;17;('3280119000000',)
11;3250320080000;13;('3330095005603',)
12;3250500110000;15;('3253668009000',)
13;3250509108500;5;('3320090000000',)
14;3250540059000;18;('3330104003703',)
15;3250595000000;33;('3320016000000',)
16;3250601000000;19;('3290036007905',)
17;3250605000000;24;('3338866009002',)
18;3250606000000;20;('3251259000000',)
19;3250609000000;29;('3330035000000',)
20;3250610000000;5;('3320090000000',)
21;3250638000000;18;('3330104003703',)
22;3250639000000;5;('3320090000000',)
23;3250642000000;18;('3330104003703',)
24;3250646000000;8;('3250646000000',)
25;3250647000000;29;('3330035000000',)
26;3250647010000;18;('3330104003703',)
27;3250648000000;18;('3330104003703',)
28;3250648010000;9;('3250648010000',)
29;3250649000000;30;('3253877009000',)
30;3250688000000;30;('3253877009000',)
31;3250718000000;5;('3320090000000',)
32;3250719000000;20;('3251259000000',)
33;3250731000000;5;('3320090000000',)
34;3250732000000;21;('32A0066009008',)
35;3250757000000;2;('3253437009000',)
36;3250764000000;25;('3280263004405',)
37;3250769000000;13;('3330095005603',)
38;3250773000000;10;('3253494009000',)
39;3250774000000;15;('3253668009000',)
40;3250775000000;15;('3253668009000',)
41;3250776000000;28;('3252988000000',)
42;3250777000000;8;('3250646000000',)
43;3250778000000;15;('3253668009000',)
44;3250779000000;25;('3280263004405',)
45;3250780000000;12;('3320229003703',)
46;3250782000000;11;('3280057000000',)
47;3250784000000;16;('3290034005605',)
48;3250785000000;30;('3253877009000',)
49;3250828000000;11;('3280057000000',)
50;3250831000000;2;('3253437009000',)
51;3250832000000;28;('3252988000000',)
52;3250834000000;30;('3253877009000',)
53;3250836000000;11;('3280057000000',)
54;3250879000000;28;('3252988000000',)
55;3250879010000;32;('3252998000000',)
56;3250895000000;32;('3252998000000',)
57;3250895010000;8;('3250646000000',)
58;3250895020000;18;('3330104003703',)
59;3250897020000;24;('3338866009002',)
