Product;Cluster;Centroid
31C001001_2;8;331995206_2
31C901903_2;4;335038701_2
325015903_2;8;331995206_2
325018000_2;3;335012000_2
325018200_2;3;335012000_2
325018300_2;3;335012000_2
325018400_2;3;335012000_2
325018600_2;5;337994908_2
325018700_2;7;325385700_2
325018900_2;2;342001900_2
325019500_2;7;325385700_2
325020900_2;7;325385700_2
325022400_2;2;342001900_2
325028000_2;2;342001900_2
325030000_2;5;337994908_2
325036007_2;5;337994908_2
325047504_2;7;325385700_2
325047505_2;2;342001900_2
325050008_2;5;337994908_2
325050901_2;9;337001301_2
325050903_2;9;337001301_2
325050905_2;5;337994908_2
325050907_2;5;337994908_2
325050908_2;7;325385700_2
325067600_2;9;337001301_2
325069200_2;5;337994908_2
325070700_2;4;335038701_2
325070900_2;9;337001301_2
325074600_2;3;335012000_2
325075100_2;8;331995206_2
325075600_2;6;336993010_2
325076004_2;5;337994908_2
325076100_2;9;337001301_2
325076300_2;5;337994908_2
325078700_2;3;335012000_2
325081600_2;8;331995206_2
325083700_2;7;325385700_2
325083900_2;5;337994908_2
325084100_2;4;335038701_2
325084200_2;8;331995206_2
325085100_2;6;336993010_2
325085200_2;3;335012000_2
325085300_2;8;331995206_2
325085900_2;9;337001301_2
325086100_2;2;342001900_2
325086200_2;3;335012000_2
325086400_2;3;335012000_2
325087200_2;5;337994908_2
325087400_2;3;335012000_2
325087600_2;9;337001301_2
325090013_2;9;337001301_2
325091201_2;4;335038701_2
325092401_2;2;342001900_2
325092502_2;7;325385700_2
325092602_2;4;335038701_2
325092603_2;3;335012000_2
325093401_2;2;342001900_2
325095800_2;5;337994908_2
325099300_2;3;335012000_2
325110014_2;3;335012000_2
325117502_2;8;331995206_2
325146301_2;5;337994908_2
325146401_2;2;342001900_2
325146500_2;2;342001900_2
325168500_2;4;335038701_2
325233800_2;3;335012000_2
325265003_2;4;335038701_2
325265801_2;3;335012000_2
325269200_2;5;337994908_2
325288501_2;5;337994908_2
325291500_2;8;331995206_2
325295800_2;3;335012000_2
325296500_2;4;335038701_2
325296700_2;3;335012000_2
325296900_2;1;336810118_2
