Product;Cluster;Centroid
30E000400_2;9;335045300_2
30E823101_2;3;331054200_2
30E823102_2;3;331054200_2
30E823103_2;3;331054200_2
30E823104_2;8;335027300_2
30E823105_2;8;335027300_2
30E823106_2;5;349001400_2
30E823107_2;7;335027224_2
30E823108_2;7;335027224_2
30E823109_2;7;335027224_2
31A000700_2;8;335027300_2
31A001000_2;9;335045300_2
31A001100_2;9;335045300_2
31A001200_2;9;335045300_2
31A001300_2;9;335045300_2
31A001400_2;9;335045300_2
31A001500_2;9;335045300_2
31A001600_2;9;335045300_2
31A001700_2;4;36D290100_2
31A001800_2;9;335045300_2
31A002000_2;3;331054200_2
31A002100_2;3;331054200_2
31A002500_2;10;31A002600_2
31A002600_2;10;31A002600_2
31A002700_2;10;31A002600_2
31A999901_2;7;335027224_2
31A999902_2;7;335027224_2
31A999903_2;7;335027224_2
31A999904_2;7;335027224_2
31A999905_2;7;335027224_2
31A999906_2;10;31A002600_2
31A999907_2;10;31A002600_2
31B000300_2;7;335027224_2
31C002600_2;7;335027224_2
31C002800_2;7;335027224_2
325017100_2;8;335027300_2
325037002_2;2;34C990502_2
325060003_2;1;338019400_2
325075002_2;5;349001400_2
325153600_2;8;335027300_2
325158600_2;5;349001400_2
325158700_2;8;335027300_2
325158800_2;1;338019400_2
325158900_2;1;338019400_2
325159000_2;5;349001400_2
325159100_2;5;349001400_2
325159200_2;1;338019400_2
325159300_2;1;338019400_2
325159400_2;8;335027300_2
325159700_2;8;335027300_2
325159900_2;1;338019400_2
325160100_2;8;335027300_2
325160800_2;1;338019400_2
325160900_2;8;335027300_2
325191800_2;8;335027300_2
325193100_2;8;335027300_2
325197400_2;3;331054200_2
325275300_2;8;335027300_2
326676500_2;3;331054200_2
326964700_2;5;349001400_2
327019100_2;9;335045300_2
327026300_2;9;335045300_2
327026400_2;5;349001400_2
327026500_2;5;349001400_2
327026600_2;8;335027300_2
327026800_2;5;349001400_2
327026900_2;5;349001400_2
327027100_2;5;349001400_2
327027200_2;9;335045300_2
327027300_2;3;331054200_2
327028800_2;8;335027300_2
327029800_2;8;335027300_2
327029900_2;9;335045300_2
327030400_2;9;335045300_2
327035200_2;8;335027300_2
327035400_2;1;338019400_2
327035500_2;9;335045300_2
327035600_2;8;335027300_2
327035700_2;6;33C000400_2
327035800_2;8;335027300_2
327035900_2;4;36D290100_2
327036100_2;9;335045300_2
327036200_2;5;349001400_2
327036400_2;8;335027300_2
327036500_2;5;349001400_2
327036700_2;5;349001400_2
327038900_2;9;335045300_2
327041100_2;6;33C000400_2
327099401_2;1;338019400_2
327099800_2;9;335045300_2
327120801_2;5;349001400_2
327350002_2;5;349001400_2
327500020_2;5;349001400_2
327612900_2;5;349001400_2
327664203_2;8;335027300_2
327701102_2;5;349001400_2
327800100_2;3;331054200_2
