Product;Cluster;Centroid
3.6E+101_2;4;332979754_2
30E000400_2;6;335045300_2
30E823101_2;10;331050900_2
30E823102_2;10;331050900_2
30E823103_2;10;331050900_2
30E823104_2;3;328956437_2
30E823105_2;3;328956437_2
30E823106_2;3;328956437_2
30E823107_2;3;328956437_2
30E823108_2;9;328030900_2
30E823109_2;9;328030900_2
31A000700_2;4;332979754_2
31A001000_2;6;335045300_2
31A001100_2;9;328030900_2
31A001200_2;6;335045300_2
31A001300_2;6;335045300_2
31A001400_2;6;335045300_2
31A001500_2;6;335045300_2
31A001600_2;6;335045300_2
31A001700_2;8;338017900_2
31A001800_2;6;335045300_2
31A002000_2;4;332979754_2
31A002100_2;2;338009400_2
31A002500_2;10;331050900_2
31A002600_2;10;331050900_2
31A002700_2;10;331050900_2
31A999901_2;9;328030900_2
31A999902_2;3;328956437_2
31A999903_2;9;328030900_2
31A999904_2;3;328956437_2
31A999905_2;3;328956437_2
31A999906_2;1;331995215_2
31A999907_2;1;331995215_2
31B000300_2;3;328956437_2
31C000963_2;8;338017900_2
31C001001_2;1;331995215_2
31C002201_2;5;338009800_2
31C002300_2;8;338017900_2
31C002400_2;6;335045300_2
31C002500_2;7;335025500_2
31C002600_2;10;331050900_2
31C002800_2;3;328956437_2
31C003002_2;7;335025500_2
31C180100_2;7;335025500_2
31C180301_2;8;338017900_2
31C620400_2;8;338017900_2
31C901903_2;8;338017900_2
31C999901_2;8;338017900_2
31C999902_2;8;338017900_2
31C999903_2;8;338017900_2
31C999904_2;2;338009400_2
31C999905_2;2;338009400_2
31C999906_2;2;338009400_2
31C999907_2;11;34C990504_2
31C999909_2;11;34C990504_2
31C999910_2;3;328956437_2
31C999911_2;11;34C990504_2
31C999912_2;11;34C990504_2
31C999913_2;9;328030900_2
31C999914_2;1;331995215_2
325001400_2;8;338017900_2
325002600_2;8;338017900_2
325006703_2;1;331995215_2
325015903_2;11;34C990504_2
325017100_2;4;332979754_2
325018000_2;2;338009400_2
325018200_2;2;338009400_2
325018300_2;11;34C990504_2
325018400_2;11;34C990504_2
325018600_2;9;328030900_2
325018700_2;9;328030900_2
325018900_2;5;338009800_2
325019500_2;10;331050900_2
325020900_2;2;338009400_2
325022400_2;5;338009800_2
325026100_2;8;338017900_2
325026900_2;5;338009800_2
325027000_2;6;335045300_2
325027600_2;9;328030900_2
325028000_2;5;338009800_2
325028004_2;2;338009400_2
325028005_2;9;328030900_2
325028500_2;2;338009400_2
325028700_2;5;338009800_2
325028800_2;11;34C990504_2
325029100_2;11;34C990504_2
325029700_2;11;34C990504_2
325029800_2;11;34C990504_2
325030000_2;9;328030900_2
325030008_2;7;335025500_2
325030800_2;7;335025500_2
325032008_2;8;338017900_2
325032700_2;3;328956437_2
325033000_2;11;34C990504_2
325034600_2;8;338017900_2
325036007_2;6;335045300_2
325036900_2;8;338017900_2
325037002_2;11;34C990504_2
325037100_2;5;338009800_2
325037200_2;6;335045300_2
325039201_2;8;338017900_2
325047504_2;9;328030900_2
325047505_2;5;338009800_2
325048006_2;1;331995215_2
325049800_2;8;338017900_2
325049900_2;8;338017900_2
325050008_2;6;335045300_2
325050011_2;2;338009400_2
325050200_2;6;335045300_2
325050400_2;6;335045300_2
325050901_2;8;338017900_2
