Product;Cluster;Centroid
3.6E+101_2;4;False
31C000963_2;3;False
31C002201_2;9;False
31C002300_2;3;False
31C002400_2;5;False
31C002500_2;9;False
31C003002_2;9;False
31C180100_2;4;False
31C180301_2;3;False
31C620400_2;2;False
31C999901_2;3;False
31C999902_2;3;False
31C999903_2;3;False
31C999904_2;1;False
31C999905_2;1;False
31C999906_2;1;False
31C999907_2;1;False
31C999909_2;6;False
31C999910_2;2;False
31C999911_2;1;False
31C999912_2;6;False
31C999913_2;5;False
31C999914_2;6;False
325001400_2;3;False
325002600_2;4;False
325026100_2;3;False
325026900_2;9;False
325027000_2;5;False
325028700_2;9;False
325028800_2;1;False
325029100_2;6;False
325029700_2;1;False
325029800_2;6;False
325030800_2;3;False
325032700_2;9;False
325033000_2;6;False
325034600_2;3;False
325036900_2;3;False
325037100_2;9;False
325037200_2;5;False
325039201_2;3;False
325048006_2;6;False
325049800_2;3;False
325049900_2;3;False
325050200_2;5;False
325050400_2;5;False
325061603_2;3;False
325090016_2;4;False
325110000_2;4;False
325110018_2;9;False
325118403_2;5;False
325135600_2;1;False
325135700_2;9;False
325135800_2;8;False
325136100_2;1;False
325137600_2;6;False
325137800_2;6;False
325137900_2;7;False
325138100_2;6;False
325138200_2;6;False
325138700_2;7;False
325138800_2;6;False
325139700_2;9;False
325140500_2;7;False
325141400_2;8;False
325144700_2;9;False
325144900_2;8;False
325146600_2;9;False
325146700_2;9;False
325146900_2;9;False
325147200_2;9;False
325147300_2;9;False
325147600_2;9;False
325147700_2;4;False
325147800_2;8;False
325147900_2;9;False
325151601_2;4;False
325161803_2;4;False
325162000_2;1;False
325163300_2;9;False
325163600_2;4;False
325167100_2;6;False
325167200_2;4;False
325170900_2;1;False
325171804_2;3;False
325176600_2;2;False
325176800_2;6;False
325176900_2;9;False
325177100_2;8;False
325177500_2;9;False
325177600_2;5;False
325177800_2;8;False
325195700_2;5;False
325195900_2;6;False
325196100_2;7;False
325205800_2;9;False
325206400_2;4;False
325206500_2;1;False
325207700_2;1;False
325208100_2;1;False
325208200_2;5;False
325208600_2;5;False
325219400_2;3;False
325219500_2;3;False
325219600_2;5;False
325221000_2;5;False
325221800_2;3;False
325222000_2;3;False
325253500_2;7;False
325255300_2;9;False
325255700_2;2;False
325257703_2;4;False
325257802_2;3;False
325258002_2;4;False
325263603_2;5;False
325263701_2;5;False
325264800_2;3;False
325268700_2;4;False
325274601_2;4;False
325275600_2;3;False
325278700_2;3;False
325278900_2;5;False
325279000_2;9;False
325279100_2;6;False
325284700_2;9;False
325292700_2;4;False
325292800_2;4;False
325298200_2;6;False
325320500_2;3;False
325321800_2;5;False
325486500_2;4;False
325501403_2;4;False
325502301_2;7;False
325561200_2;7;False
325700902_2;4;False
325711700_2;4;False
325716200_2;4;False
325716401_2;3;False
326000700_2;6;False
326000800_2;6;False
326001100_2;6;False
326001200_2;6;False
326001800_2;6;False
326002200_2;6;False
326002700_2;7;False
326002800_2;3;False
326003301_2;6;False
326003900_2;6;False
326004000_2;6;False
326004700_2;4;False
326004800_2;4;False
326004900_2;9;False
326005100_2;1;False
326005600_2;4;False
326005602_2;5;False
326005700_2;4;False
326005800_2;8;False
326006900_2;3;False
326007800_2;6;False
326007900_2;1;False
326008300_2;9;False
326008400_2;9;False
326008800_2;6;False
326010100_2;6;False
326010200_2;5;False
326090500_2;6;False
326149603_2;3;False
326157203_2;6;False
326240007_2;1;False
326240010_2;6;False
326260000_2;5;False
326340004_2;9;False
326360004_2;9;False
326400003_2;8;False
326603100_2;9;False
326608300_2;7;False
326616801_2;6;False
326677000_2;4;False
326800900_2;1;False
326801201_2;6;False
326801500_2;1;False
326810000_2;5;False
326810100_2;2;False
326810107_2;1;False
326810500_2;5;False
326820000_2;5;False
326828000_2;9;False
326830101_2;1;False
326841600_2;8;False
326850105_2;6;False
326850801_2;8;False
326851500_2;3;False
326853501_2;1;False
326867500_2;5;False
326867900_2;5;False
326885200_2;4;False
326901800_2;1;False
326901900_2;5;False
326905500_2;1;False
326911100_2;3;False
326940200_2;5;False
326942000_2;6;False
326942100_2;3;False
326942200_2;3;False
326992300_2;1;False
326992400_2;6;False
326992500_2;5;False
326992601_2;6;False
327002700_2;4;False
327015900_2;9;False
327018900_2;3;False
327025200_2;5;False
327025300_2;8;False
327025500_2;8;False
327025800_2;5;False
327026100_2;9;False
327027400_2;4;False
327028400_2;5;False
327028600_2;4;False
327030600_2;3;False
327031700_2;5;False
327031800_2;9;False
327032600_2;9;False
327032700_2;9;False
327033200_2;5;False
327033900_2;9;False
327034400_2;9;False
327034500_2;1;False
327034600_2;4;False
327038300_2;5;False
327041700_2;6;False
327500000_2;5;False
327600001_2;7;False
327830200_2;5;False
327950203_2;4;False
328028100_2;4;False
328030900_2;5;False
328031000_2;8;False
328031100_2;9;False
328032700_2;4;False
328032800_2;4;False
328032900_2;2;False
328956402_2;4;False
328956403_2;3;False
328956404_2;3;False
328956405_2;4;False
328956452_2;1;False
328956453_2;8;False
328956454_2;8;False
328956455_2;8;False
328956456_2;8;False
328956457_2;9;False
328956458_2;8;False
328956459_2;8;False
328956460_2;9;False
328956461_2;8;False
328956462_2;4;False
328956463_2;9;False
328956464_2;1;False
328956465_2;1;False
328956466_2;6;False
328956467_2;4;False
328956468_2;1;False
328956469_2;4;False
32A004100_2;4;False
32A004200_2;9;False
32A004300_2;4;False
32A004400_2;4;False
32A004500_2;3;False
32A004600_2;4;False
32A004900_2;3;False
32A005000_2;9;False
32A005100_2;4;False
32A005400_2;3;False
32A005500_2;3;False
32A005600_2;9;False
32A005800_2;4;False
32A005900_2;9;False
32A006000_2;3;False
32A006100_2;4;False
32A785322_2;9;False
32A785323_2;1;False
32A785324_2;9;False
32A785325_2;5;False
32B009900_2;8;False
32B997313_2;1;False
32B997314_2;1;False
32B997315_2;1;False
32B997316_2;1;False
32B997317_2;1;False
32B997318_2;1;False
32B997319_2;1;False
32B997320_2;1;False
32B997321_2;1;False
32B997322_2;5;False
32B997323_2;1;False
32B997324_2;1;False
32B997325_2;1;False
32B997326_2;1;False
32B997327_2;6;False
330005600_2;5;False
330005800_2;9;False
330006100_2;9;False
330014500_2;1;False
330017100_2;9;False
330017200_2;9;False
330017500_2;9;False
330017600_2;4;False
330017800_2;9;False
330017900_2;9;False
330018100_2;9;False
330018200_2;4;False
330018300_2;4;False
330018400_2;4;False
330018500_2;4;False
330018600_2;3;False
330018800_2;4;False
330018900_2;4;False
330020600_2;4;False
330020700_2;4;False
330020800_2;4;False
330122906_2;4;False
330753600_2;9;False
330753700_2;9;False
330754000_2;4;False
330754300_2;4;False
330773800_2;6;False
330799401_2;4;False
331015500_2;4;False
331015700_2;4;False
331015800_2;4;False
331015900_2;4;False
331017200_2;3;False
331017400_2;3;False
331017500_2;4;False
331018000_2;9;False
331018300_2;9;False
331018500_2;4;False
331020300_2;9;False
331020500_2;9;False
331020600_2;9;False
331020700_2;4;False
331020900_2;9;False
331021100_2;9;False
331021200_2;4;False
331021300_2;9;False
331023200_2;9;False
331023300_2;9;False
331023400_2;9;False
331023700_2;4;False
331023900_2;4;False
331024300_2;4;False
331025400_2;4;False
331025900_2;4;False
331026300_2;4;False
331026700_2;4;False
331027200_2;4;False
331027300_2;4;False
331027400_2;4;False
331027600_2;4;False
331027700_2;4;False
331027800_2;4;False
331027900_2;4;False
331028200_2;4;False
331028300_2;8;False
331028600_2;4;False
331029000_2;4;False
331029100_2;4;False
331029300_2;8;False
331030100_2;4;False
331030400_2;4;False
331030500_2;4;False
331030600_2;4;False
331030700_2;4;False
331031600_2;3;False
331031700_2;4;False
331031900_2;4;False
331032100_2;4;False
331032200_2;4;False
331032300_2;9;False
331032400_2;4;False
331032500_2;9;False
331032600_2;9;False
331033300_2;4;False
331033400_2;3;False
331033500_2;4;False
331033600_2;4;False
331039300_2;4;False
331039400_2;4;False
331039500_2;4;False
331043000_2;9;False
331043200_2;4;False
331043500_2;9;False
331043600_2;9;False
331043700_2;4;False
331043800_2;9;False
331043900_2;4;False
331044000_2;9;False
331044100_2;9;False
331044200_2;9;False
331046500_2;4;False
331046700_2;4;False
331046900_2;4;False
331049100_2;6;False
331049300_2;1;False
331049400_2;1;False
331049500_2;1;False
331049600_2;1;False
331049700_2;1;False
331049800_2;1;False
331049900_2;1;False
331050100_2;1;False
331050200_2;1;False
331050300_2;1;False
331050400_2;1;False
331050500_2;1;False
331050700_2;8;False
331050800_2;1;False
331050900_2;1;False
331051100_2;1;False
331051200_2;1;False
331051300_2;6;False
331051301_2;6;False
331051500_2;1;False
331051600_2;1;False
331051700_2;6;False
331051800_2;6;False
331051900_2;6;False
331052100_2;6;False
331052200_2;6;False
331052300_2;6;False
331052400_2;6;False
331052500_2;6;False
331052600_2;6;False
331052601_2;6;False
331052700_2;6;False
331052800_2;6;False
331052900_2;6;False
331053000_2;1;False
331053100_2;1;False
331053200_2;1;False
331053400_2;6;False
331053500_2;8;False
331053600_2;1;False
331053700_2;8;False
331053800_2;9;False
331053900_2;1;False
331054000_2;1;False
331054100_2;5;False
331054600_2;1;False
331057200_2;4;False
331057300_2;9;False
331057400_2;6;False
331057500_2;9;False
331057600_2;6;False
331057700_2;5;False
331057800_2;6;False
331058500_2;1;False
331058600_2;1;False
331058700_2;5;False
331122900_2;8;False
331122901_2;1;False
331145300_2;4;False
331440900_2;4;False
331520900_2;4;False
331700300_2;3;False
331753900_2;1;False
331754100_2;1;False
331783500_2;1;False
331783600_2;1;False
331783700_2;7;False
331783800_2;1;False
331799401_2;6;False
331800103_2;4;False
331900303_2;3;False
331900500_2;3;False
331995267_2;6;False
331995268_2;6;False
331995269_2;1;False
331995270_2;6;False
331995271_2;1;False
331995272_2;1;False
331995273_2;1;False
331995274_2;1;False
331995277_2;1;False
331995278_2;1;False
331995281_2;1;False
331995282_2;1;False
331995283_2;8;False
331995284_2;1;False
331995285_2;1;False
331995286_2;1;False
331995287_2;8;False
331995288_2;6;False
331995289_2;6;False
331995290_2;6;False
331995291_2;6;False
331995292_2;8;False
331995293_2;6;False
331995294_2;1;False
331995295_2;1;False
331995296_2;1;False
331995297_2;1;False
332018100_2;5;False
332018200_2;3;False
332018300_2;3;False
332018400_2;9;False
332025300_2;8;False
332025400_2;8;False
332025500_2;9;False
332025600_2;6;False
332025700_2;1;False
332025800_2;1;False
332025900_2;1;False
332036100_2;3;False
332036200_2;3;False
332036300_2;2;False
332037300_2;4;False
332037400_2;4;False
332037500_2;4;False
332037600_2;4;False
332037900_2;4;False
332038100_2;4;False
332038200_2;9;False
332979747_2;3;False
332979750_2;1;False
332979751_2;8;False
332979752_2;9;False
332979753_2;9;False
332979754_2;4;False
332979755_2;2;False
333931547_2;8;False
333931548_2;9;False
333931549_2;5;False
333931550_2;9;False
333931551_2;9;False
333931552_2;9;False
334008400_2;4;False
334244402_2;3;False
334278503_2;9;False
334322904_2;4;False
334846500_2;9;False
334846600_2;4;False
334846900_2;9;False
