;Product;Cluster;Centroid
0;GBA001BND060FS;6;GBA001BND060FS
1;GBA001BND060SS;4;GBA001BND060SS
2;GBA001BND160FS;10;GBA001BND160FS
3;GBA001BND250FS;11;GBA001BND250FS
4;GBA001BNR250FS;11;GBA001BNR250FS
5;GBA001CAR125FS;2;GBA001CAR125FS
6;GBA001CAR200FS;2;GBA001CAR200FS
7;GBA001CQT060SS;2;GBA001CQT060SS
8;GBA001CQT125FS;6;GBA001CQT125FS
9;GBA001DLZ080FS;5;GBA001DLZ080FS
10;GBA001FTG100FS;5;GBA001FTG100FS
11;GBA001JLG100FS;3;GBA001JLG100FS
12;GBA001JLG200FS;8;GBA001JLG200FS
13;GBA001NEU250FS;1;GBA001NEU250FS
14;GBA001NTA125FS;3;GBA001NTA125FS
15;GBA001NTA200FS;5;GBA001NTA200FS
16;GBA001PAM070FP;1;GBA001PAM070FP
17;GBA001PAM200FS;1;GBA001PAM200FS
18;GBA001PQC070FS;1;GBA001PQC070FS
19;GBA001PQC125FS;5;GBA001PQC125FS
20;GBA001RTB150FP;6;GBA001RTB150FP
21;GBA001SGM100FS;6;GBA001SGM100FS
22;GBA001SLX080FS;1;GBA001SLX080FS
23;GBA001SPV090FP;9;GBA001SPV090FP
24;GBA001SPV200FS;4;GBA001SPV200FS
25;GBA003CQT100FS;9;GBA003CQT100FS
26;GBA003ESB100FS;9;GBA003ESB100FS
27;GBA003PAM125FS;9;GBA003PAM125FS
28;GBA005BND080FS;5;GBA005BND080FS
29;GBE001FTG400FS;10;GBE001FTG400FS
30;GBE001PQC500FS;10;GBE001PQC500FS
31;GBE004CQT400FS;10;GBE004CQT400FS
32;GBF006BND125FR;9;GBF006BND125FR
33;GBF039BND125FR;9;GBF039BND125FR
34;GBF042BND120FR;6;GBF042BND120FR
35;GBF043BND115FR;6;GBF043BND115FR
36;GBF046BND115FR;6;GBF046BND115FR
37;GBF047BND115FR;6;GBF047BND115FR
38;GCE003BNR2K5FS;4;GCE003BNR2K5FS
39;GCE003BNR5K0FS;2;GCE003BNR5K0FS
40;GCH002BNR2K0FS;10;GCH002BNR2K0FS
41;GCH004ESB200FS;6;GCH004ESB200FS
42;GCH006BNR1K2FS;4;GCH006BNR1K2FS
43;GCH006BRN200FS;2;GCH006BRN200FS
44;GCH006CAR250FP;9;GCH006CAR250FP
45;GCH006CQT200FS;1;GCH006CQT200FS
46;GCH006DCO200FS;1;GCH006DCO200FS
47;GCH006DLZ200FS;1;GCH006DLZ200FS
48;GCH006JLG200FP;6;GCH006JLG200FP
49;GCH006NEU200FS;1;GCH006NEU200FS
50;GCH006PQC200FS;1;GCH006PQC200FS
51;GCH006RTB200FP;1;GCH006RTB200FP
52;GCH006SLX200FS;2;GCH006SLX200FS
53;GCH006VLR200FS;9;GCH006VLR200FS
54;GCO002BND060SS;1;GCO002BND060SS
55;GCO002BND080FS;1;GCO002BND080FS
56;GCO002BND100FS;2;GCO002BND100FS
57;GCO002BND160FS;1;GCO002BND160FS
58;GCO002BND250FS;3;GCO002BND250FS
59;GCO002BNG080FS;9;GCO002BNG080FS
60;GCO002BNR250FS;2;GCO002BNR250FS
61;GCO002BRN100FP;2;GCO002BRN100FP
62;GCO002CAE090FS;1;GCO002CAE090FS
63;GCO002CQT060SS;4;GCO002CQT060SS
64;GCO002CQT125FS;1;GCO002CQT125FS
65;GCO002DCO100FS;1;GCO002DCO100FS
66;GCO002DLZ080FS;1;GCO002DLZ080FS
67;GCO002FTG100FS;2;GCO002FTG100FS
68;GCO002JLG100FS;1;GCO002JLG100FS
69;GCO002JLG200FS;4;GCO002JLG200FS
70;GCO002MCD200FS;9;GCO002MCD200FS
71;GCO002NEU080FS;4;GCO002NEU080FS
72;GCO002NEU250FS;6;GCO002NEU250FS
73;GCO002NTA100FS;6;GCO002NTA100FS
74;GCO002NTA200FS;1;GCO002NTA200FS
75;GCO002PAM080FP;1;GCO002PAM080FP
76;GCO002PAM200FS;4;GCO002PAM200FS
77;GCO002PQC070FS;1;GCO002PQC070FS
78;GCO002PQC125FS;1;GCO002PQC125FS
79;GCO002SCV150FS;1;GCO002SCV150FS
80;GCO002SGM100FS;1;GCO002SGM100FS
81;GCO002SLX080FS;1;GCO002SLX080FS
82;GCO002SLX150FS;2;GCO002SLX150FS
83;GCO002SPV100FP;2;GCO002SPV100FP
84;GCO003CQT080FS;9;GCO003CQT080FS
85;GCO003ESB100FS;4;GCO003ESB100FS
86;GCO003PAM125FS;2;GCO003PAM125FS
87;GCO003RTB125FP;3;GCO003RTB125FP
88;GCO005BND090FS;7;GCO005BND090FS
89;GEP004ESE150FP;5;GEP004ESE150FP
90;GEP004NEU080FS;4;GEP004NEU080FS
91;GEP004NEU125FP;4;GEP004NEU125FP
92;GEP004PQC150FP;6;GEP004PQC150FP
93;GEP004RTB150FP;3;GEP004RTB150FP
94;GEP005BND250FS;9;GEP005BND250FS
95;GEP005CQT400FS;10;GEP005CQT400FS
96;GEP006BND400FS;9;GEP006BND400FS
97;GEP006BRN500FS;9;GEP006BRN500FS
98;GEP006DCO500FS;11;GEP006DCO500FS
99;GEP006FTG400FS;10;GEP006FTG400FS
100;GEP006PQC500FS;6;GEP006PQC500FS
101;GEP006SGM500FS;10;GEP006SGM500FS
102;GKC002ESE200FP;4;GKC002ESE200FP
103;GKC002JLG200FP;4;GKC002JLG200FP
104;GKC002SPV140FP;10;GKC002SPV140FP
105;GKC004NEU100FS;9;GKC004NEU100FS
106;GKF001DCO500FS;7;GKF001DCO500FS
107;GKG002BNR1K0FS;10;GKG002BNR1K0FS
108;GKP001SPV200FS;10;GKP001SPV200FS
109;GKP002BNR1K0FS;10;GKP002BNR1K0FS
110;GKS001DCO500FS;7;GKS001DCO500FS
111;GLA001BND150FS;2;GLA001BND150FS
112;GLA001CQT150FS;2;GLA001CQT150FS
113;GLA001ESE200FS;10;GLA001ESE200FS
114;GLA001JLG200FS;2;GLA001JLG200FS
115;GLA001PAM150FS;10;GLA001PAM150FS
116;GLA001PQC160FS;1;GLA001PQC160FS
117;GLA001SPV150FS;2;GLA001SPV150FS
118;GLA006BND100FS;2;GLA006BND100FS
119;GLI002BND100FS;2;GLI002BND100FS
120;GLI002BND200FS;9;GLI002BND200FS
121;GLI002BNR1K0FS;4;GLI002BNR1K0FS
122;GLI002BNR400FS;4;GLI002BNR400FS
123;GLI002BRN250FS;2;GLI002BRN250FS
124;GLI002CAE200FS;1;GLI002CAE200FS
125;GLI002CAR250FS;1;GLI002CAR250FS
126;GLI002CQT250FS;10;GLI002CQT250FS
127;GLI002DCO250FS;1;GLI002DCO250FS
128;GLI002DLZ200FS;1;GLI002DLZ200FS
129;GLI002ESE200FS;6;GLI002ESE200FS
130;GLI002FTG200FS;10;GLI002FTG200FS
131;GLI002JLG200FS;3;GLI002JLG200FS
132;GLI002NEU150FS;4;GLI002NEU150FS
133;GLI002PAM250FS;4;GLI002PAM250FS
134;GLI002PQC200FS;6;GLI002PQC200FS
135;GLI002SLX250FS;7;GLI002SLX250FS
136;GLI002VLR200FS;9;GLI002VLR200FS
137;GLI004MCD1K0FS;1;GLI004MCD1K0FS
138;GLI004NEU1K0FS;6;GLI004NEU1K0FS
139;GLO002BNR250FS;1;GLO002BNR250FS
140;GLO002MCD250FS;1;GLO002MCD250FS
141;GLO002NEU250FS;6;GLO002NEU250FS
142;GLV001BND060SS;1;GLV001BND060SS
143;GLV001BND080FS;1;GLV001BND080FS
144;GLV001BND160FS;8;GLV001BND160FS
145;GLV001BNG080FS;9;GLV001BNG080FS
146;GLV001BRN100FP;2;GLV001BRN100FP
147;GLV001CAE090FS;1;GLV001CAE090FS
148;GLV001CAR200FS;4;GLV001CAR200FS
149;GLV001CQT125FS;6;GLV001CQT125FS
150;GLV001DCO100FS;7;GLV001DCO100FS
151;GLV001DLZ080FS;1;GLV001DLZ080FS
152;GLV001FTG100FS;1;GLV001FTG100FS
153;GLV001JLG100FS;2;GLV001JLG100FS
154;GLV001JLG200FS;7;GLV001JLG200FS
155;GLV001NEU080FS;9;GLV001NEU080FS
156;GLV001NTA100FS;6;GLV001NTA100FS
157;GLV001NTA200FS;8;GLV001NTA200FS
158;GLV001PAM080FP;1;GLV001PAM080FP
159;GLV001PAM200FS;4;GLV001PAM200FS
160;GLV001PQC070FS;1;GLV001PQC070FS
161;GLV001PQC125FS;1;GLV001PQC125FS
162;GLV001SGM100FS;4;GLV001SGM100FS
163;GLV001SLX080FS;1;GLV001SLX080FS
164;GLV001SPV100FP;9;GLV001SPV100FP
165;GLV001SPV200FS;4;GLV001SPV200FS
166;GLV005CQT100FS;9;GLV005CQT100FS
167;GLV005ESB150FS;2;GLV005ESB150FS
168;GLV005PAM125FS;2;GLV005PAM125FS
169;GLV008BND090FS;9;GLV008BND090FS
170;GQX156BNR250FS;10;GQX156BNR250FS
