;Product;Cluster;Centroid
0;GBA001BND060FS;7;('GCO002NEU250FS',)
1;GBA001BND060SS;9;('GWM007NTA150FS',)
2;GBA001BND160FS;2;('GCH002BNR2K0FS',)
3;GBA001BND250FS;10;('GCO002BND080FS',)
4;GBA001BNR250FS;7;('GCO002NEU250FS',)
5;GBA001CAR070FS;7;('GCO002NEU250FS',)
6;GBA001CAR125FS;1;('GBA001CAR200FS',)
7;GBA001CAR200FS;1;('GBA001CAR200FS',)
8;GBA001CQT060SS;5;('GWJ032BND080FS',)
9;GBA001CQT125FS;8;('GBA001PAM070FP',)
10;GBA001DLZ080FS;10;('GCO002BND080FS',)
11;GBA001FTG100FS;3;('GBA001FTG100FS',)
12;GBA001JLG100FS;8;('GBA001PAM070FP',)
13;GBA001JLG200FS;8;('GBA001PAM070FP',)
14;GBA001NEU250FS;7;('GCO002NEU250FS',)
15;GBA001NTA125FS;10;('GCO002BND080FS',)
16;GBA001NTA200FS;8;('GBA001PAM070FP',)
17;GBA001PAM070FP;8;('GBA001PAM070FP',)
18;GBA001PAM200FS;8;('GBA001PAM070FP',)
19;GBA001PQC070FS;4;('TCW001BND200FR',)
20;GBA001PQC125FS;8;('GBA001PAM070FP',)
21;GBA001RTB150FP;8;('GBA001PAM070FP',)
22;GBA001SGM100FS;9;('GWM007NTA150FS',)
23;GBA001SLX080FS;1;('GBA001CAR200FS',)
24;GBA001SPV090FP;9;('GWM007NTA150FS',)
25;GBA001SPV200FS;1;('GBA001CAR200FS',)
26;GBA001VLR125FS;7;('GCO002NEU250FS',)
27;GBA003CQT100FS;9;('GWM007NTA150FS',)
28;GBA003ESB100FS;5;('GWJ032BND080FS',)
29;GBA003PAM125FS;5;('GWJ032BND080FS',)
30;GBA005BND080FS;8;('GBA001PAM070FP',)
31;GBE001FTG400FS;2;('GCH002BNR2K0FS',)
32;GBE001PQC500FS;6;('TPO003BND600BW',)
33;GBE004CQT400FS;3;('GBA001FTG100FS',)
34;GBF006BND125FR;9;('GWM007NTA150FS',)
35;GBF008BND265FR;9;('GWM007NTA150FS',)
36;GBF039BND125FR;9;('GWM007NTA150FS',)
37;GBF042BND120FR;7;('GCO002NEU250FS',)
38;GBF043BND115FR;7;('GCO002NEU250FS',)
39;GBF046BND115FR;7;('GCO002NEU250FS',)
40;GBF047BND115FR;7;('GCO002NEU250FS',)
41;GCE003BNR2K5FS;8;('GBA001PAM070FP',)
42;GCE003BNR5K0FS;5;('GWJ032BND080FS',)
43;GCH002BNR2K0FS;2;('GCH002BNR2K0FS',)
44;GCH004BND150DM;7;('GCO002NEU250FS',)
45;GCH004ESB200FS;7;('GCO002NEU250FS',)
46;GCH006BND200FS;10;('GCO002BND080FS',)
47;GCH006BNR1K2FS;10;('GCO002BND080FS',)
48;GCH006BRN200FS;10;('GCO002BND080FS',)
49;GCH006CAR250FP;9;('GWM007NTA150FS',)
50;GCH006CQT200FS;10;('GCO002BND080FS',)
51;GCH006DCO200FS;10;('GCO002BND080FS',)
52;GCH006DLZ200FS;10;('GCO002BND080FS',)
53;GCH006JLG200FP;9;('GWM007NTA150FS',)
54;GCH006NEU200FS;10;('GCO002BND080FS',)
55;GCH006PQC200FS;10;('GCO002BND080FS',)
56;GCH006RTB200FP;4;('TCW001BND200FR',)
57;GCH006SLX200FS;1;('GBA001CAR200FS',)
58;GCH006VLR200FS;5;('GWJ032BND080FS',)
59;GCO002BND060SS;10;('GCO002BND080FS',)
60;GCO002BND080FS;10;('GCO002BND080FS',)
61;GCO002BND100FS;10;('GCO002BND080FS',)
62;GCO002BND160FS;4;('TCW001BND200FR',)
63;GCO002BND250FS;10;('GCO002BND080FS',)
64;GCO002BNG080FS;9;('GWM007NTA150FS',)
65;GCO002BNR250FS;5;('GWJ032BND080FS',)
66;GCO002BNR300FS;7;('GCO002NEU250FS',)
67;GCO002BRN100FP;10;('GCO002BND080FS',)
68;GCO002CAE090FS;4;('TCW001BND200FR',)
69;GCO002CAR080FS;7;('GCO002NEU250FS',)
70;GCO002CAR125FS;7;('GCO002NEU250FS',)
71;GCO002CAR200FS;7;('GCO002NEU250FS',)
72;GCO002CQT060SS;10;('GCO002BND080FS',)
73;GCO002CQT125FS;10;('GCO002BND080FS',)
74;GCO002DCO100FS;10;('GCO002BND080FS',)
75;GCO002DLZ080FS;4;('TCW001BND200FR',)
76;GCO002FTG100FS;10;('GCO002BND080FS',)
77;GCO002JLG100FS;10;('GCO002BND080FS',)
78;GCO002JLG200FS;10;('GCO002BND080FS',)
79;GCO002MCD200FS;9;('GWM007NTA150FS',)
80;GCO002NEU080FS;9;('GWM007NTA150FS',)
81;GCO002NEU250FS;7;('GCO002NEU250FS',)
82;GCO002NEU300FS;7;('GCO002NEU250FS',)
83;GCO002NTA100FS;4;('TCW001BND200FR',)
84;GCO002NTA200FS;4;('TCW001BND200FR',)
85;GCO002PAM080FP;8;('GBA001PAM070FP',)
86;GCO002PAM200FS;10;('GCO002BND080FS',)
87;GCO002PQC070FS;10;('GCO002BND080FS',)
88;GCO002PQC125FS;10;('GCO002BND080FS',)
89;GCO002SCV150FS;1;('GBA001CAR200FS',)
90;GCO002SGM100FS;9;('GWM007NTA150FS',)
91;GCO002SLX080FS;1;('GBA001CAR200FS',)
92;GCO002SLX150FS;10;('GCO002BND080FS',)
93;GCO002SPV100FP;9;('GWM007NTA150FS',)
94;GCO002VLR125FS;7;('GCO002NEU250FS',)
95;GCO003CQT080FS;9;('GWM007NTA150FS',)
96;GCO003ESB100FS;5;('GWJ032BND080FS',)
97;GCO003PAM125FS;4;('TCW001BND200FR',)
98;GCO003RTB125FP;1;('GBA001CAR200FS',)
99;GCO005BND090FS;10;('GCO002BND080FS',)
100;GEP004ESE150FP;2;('GCH002BNR2K0FS',)
101;GEP004NEU080FS;9;('GWM007NTA150FS',)
102;GEP004NEU125FP;1;('GBA001CAR200FS',)
103;GEP004PQC150FP;7;('GCO002NEU250FS',)
104;GEP004RTB150FP;9;('GWM007NTA150FS',)
105;GEP005BND250FS;9;('GWM007NTA150FS',)
106;GEP005CQT400FS;2;('GCH002BNR2K0FS',)
107;GEP006BND400FS;2;('GCH002BNR2K0FS',)
108;GEP006BRN500FS;2;('GCH002BNR2K0FS',)
109;GEP006DCO500FS;2;('GCH002BNR2K0FS',)
110;GEP006FTG400FS;6;('TPO003BND600BW',)
111;GEP006PQC500FS;10;('GCO002BND080FS',)
112;GEP006SGM500FS;9;('GWM007NTA150FS',)
113;GEP007BND370FS;7;('GCO002NEU250FS',)
114;GKC002ESE200FP;5;('GWJ032BND080FS',)
115;GKC002JLG200FP;8;('GBA001PAM070FP',)
116;GKC002SPV140FP;1;('GBA001CAR200FS',)
117;GKC003ESE100FP;10;('GCO002BND080FS',)
118;GKC004NEU100FS;6;('TPO003BND600BW',)
119;GKC005ESB100FS;3;('GBA001FTG100FS',)
120;GKF001DCO500FS;9;('GWM007NTA150FS',)
121;GKG002BNR1K0FS;7;('GCO002NEU250FS',)
122;GKP001SPV200FS;7;('GCO002NEU250FS',)
123;GKP002BNR1K0FS;9;('GWM007NTA150FS',)
124;GKP004ESB100FS;3;('GBA001FTG100FS',)
125;GKS001DCO500FS;9;('GWM007NTA150FS',)
126;GLA001BND150FS;5;('GWJ032BND080FS',)
127;GLA001CQT150FS;5;('GWJ032BND080FS',)
128;GLA001ESE200FS;9;('GWM007NTA150FS',)
129;GLA001JLG200FS;4;('TCW001BND200FR',)
130;GLA001PAM150FS;2;('GCH002BNR2K0FS',)
131;GLA001PQC160FS;10;('GCO002BND080FS',)
132;GLA001SPV150FS;5;('GWJ032BND080FS',)
133;GLA006BND100FS;5;('GWJ032BND080FS',)
134;GLI002BND100FS;9;('GWM007NTA150FS',)
135;GLI002BND200FS;5;('GWJ032BND080FS',)
136;GLI002BNR1K0FS;10;('GCO002BND080FS',)
137;GLI002BNR400FS;1;('GBA001CAR200FS',)
138;GLI002BRN250FS;5;('GWJ032BND080FS',)
139;GLI002CAE200FS;7;('GCO002NEU250FS',)
140;GLI002CAR250FS;1;('GBA001CAR200FS',)
141;GLI002CQT250FS;7;('GCO002NEU250FS',)
142;GLI002DCO250FS;4;('TCW001BND200FR',)
143;GLI002DLZ200FS;4;('TCW001BND200FR',)
144;GLI002ESE200FS;7;('GCO002NEU250FS',)
145;GLI002FTG200FS;10;('GCO002BND080FS',)
146;GLI002JLG200FS;5;('GWJ032BND080FS',)
147;GLI002NEU150FS;9;('GWM007NTA150FS',)
148;GLI002PAM250FS;8;('GBA001PAM070FP',)
149;GLI002PQC200FS;7;('GCO002NEU250FS',)
150;GLI002SLX250FS;1;('GBA001CAR200FS',)
151;GLI002VLR200FS;1;('GBA001CAR200FS',)
152;GLI004MCD1K0FS;7;('GCO002NEU250FS',)
153;GLI004NEU1K0FS;7;('GCO002NEU250FS',)
154;GLO002BNR250FS;9;('GWM007NTA150FS',)
155;GLO002MCD250FS;7;('GCO002NEU250FS',)
156;GLO002NEU250FS;7;('GCO002NEU250FS',)
157;GLV001BND060SS;10;('GCO002BND080FS',)
158;GLV001BND080FS;10;('GCO002BND080FS',)
159;GLV001BND160FS;10;('GCO002BND080FS',)
160;GLV001BNG080FS;9;('GWM007NTA150FS',)
161;GLV001BNR300FS;7;('GCO002NEU250FS',)
162;GLV001BRN100FP;9;('GWM007NTA150FS',)
163;GLV001CAE090FS;7;('GCO002NEU250FS',)
164;GLV001CAR080FS;7;('GCO002NEU250FS',)
165;GLV001CAR125FS;7;('GCO002NEU250FS',)
166;GLV001CAR200FS;9;('GWM007NTA150FS',)
167;GLV001CQT125FS;9;('GWM007NTA150FS',)
168;GLV001DCO100FS;10;('GCO002BND080FS',)
169;GLV001DLZ080FS;4;('TCW001BND200FR',)
170;GLV001FTG100FS;9;('GWM007NTA150FS',)
171;GLV001JLG100FS;10;('GCO002BND080FS',)
172;GLV001JLG200FS;10;('GCO002BND080FS',)
173;GLV001NEU080FS;9;('GWM007NTA150FS',)
174;GLV001NEU100FS;6;('TPO003BND600BW',)
175;GLV001NEU300FS;7;('GCO002NEU250FS',)
176;GLV001NTA100FS;4;('TCW001BND200FR',)
177;GLV001NTA200FS;10;('GCO002BND080FS',)
178;GLV001PAM080FP;8;('GBA001PAM070FP',)
179;GLV001PAM200FS;5;('GWJ032BND080FS',)
180;GLV001PQC070FS;10;('GCO002BND080FS',)
181;GLV001PQC125FS;10;('GCO002BND080FS',)
182;GLV001SGM100FS;9;('GWM007NTA150FS',)
183;GLV001SLX080FS;1;('GBA001CAR200FS',)
184;GLV001SPV100FP;9;('GWM007NTA150FS',)
185;GLV001SPV200FS;5;('GWJ032BND080FS',)
186;GLV001VLR125FS;7;('GCO002NEU250FS',)
187;GLV003MCD250FS;3;('GBA001FTG100FS',)
188;GLV005BND080DM;7;('GCO002NEU250FS',)
189;GLV005CQT100FS;9;('GWM007NTA150FS',)
190;GLV005ESB150FS;5;('GWJ032BND080FS',)
191;GLV005PAM125FS;5;('GWJ032BND080FS',)
192;GLV008BND090FS;2;('GCH002BNR2K0FS',)
193;GQX131VLR165BQ;4;('TCW001BND200FR',)
194;GQX156BNR250FS;6;('TPO003BND600BW',)
195;GQX157BNR250FS;6;('TPO003BND600BW',)
196;GQX179BNR250FS;7;('GCO002NEU250FS',)
197;GQX180BNR250FS;7;('GCO002NEU250FS',)
198;GSJ001RTB150EX;9;('GWM007NTA150FS',)
199;GTC001MCD500BQ;7;('GCO002NEU250FS',)
200;GTR001NEU2K0BC;3;('GBA001FTG100FS',)
201;GWA003BND100FS;10;('GCO002BND080FS',)
202;GWA004BNR250FS;1;('GBA001CAR200FS',)
203;GWC009CQT150FS;9;('GWM007NTA150FS',)
204;GWC012BND180FS;9;('GWM007NTA150FS',)
205;GWC012BND200FS;10;('GCO002BND080FS',)
206;GWC012BNR1K0FS;5;('GWJ032BND080FS',)
207;GWC012BNR500FS;7;('GCO002NEU250FS',)
208;GWC012DCO200FS;10;('GCO002BND080FS',)
209;GWC012FTG200FS;9;('GWM007NTA150FS',)
210;GWC012NEU180FS;9;('GWM007NTA150FS',)
211;GWC012NEU500FS;4;('TCW001BND200FR',)
212;GWC012NTA250FS;9;('GWM007NTA150FS',)
213;GWC012SLX200FS;1;('GBA001CAR200FS',)
214;GWC012SLX350FS;1;('GBA001CAR200FS',)
215;GWC012VLR200FS;7;('GCO002NEU250FS',)
216;GWC013CQT250FS;9;('GWM007NTA150FS',)
217;GWC014CQT200FS;3;('GBA001FTG100FS',)
218;GWC015ESB200FS;6;('TPO003BND600BW',)
219;GWC015PAM200FS;7;('GCO002NEU250FS',)
220;GWC015RTB200FP;7;('GCO002NEU250FS',)
221;GWC016JLG300FS;10;('GCO002BND080FS',)
222;GWC016NEU350FS;9;('GWM007NTA150FS',)
223;GWC017DLZ180FS;10;('GCO002BND080FS',)
224;GWC017PQC250FS;10;('GCO002BND080FS',)
225;GWC018BNR1K0FS;1;('GBA001CAR200FS',)
226;GWC018SPV350FS;1;('GBA001CAR200FS',)
227;GWC019BNR1K0FS;4;('TCW001BND200FR',)
228;GWC019BNR500FS;5;('GWJ032BND080FS',)
229;GWC019SPV500FS;2;('GCH002BNR2K0FS',)
230;GWC020BNG150FS;9;('GWM007NTA150FS',)
231;GWC020SGM200FS;9;('GWM007NTA150FS',)
232;GWC020SPV165FP;9;('GWM007NTA150FS',)
233;GWC026FTG200FS;9;('GWM007NTA150FS',)
234;GWC028JLG200FS;9;('GWM007NTA150FS',)
235;GWF001DCO200FP;10;('GCO002BND080FS',)
236;GWF001JLG200FP;8;('GBA001PAM070FP',)
237;GWF001PQC200FP;9;('GWM007NTA150FS',)
238;GWF001SLX200FP;1;('GBA001CAR200FS',)
239;GWF001SPV200FP;2;('GCH002BNR2K0FS',)
240;GWF002BRN165FS;5;('GWJ032BND080FS',)
241;GWF003PQC250FS;5;('GWJ032BND080FS',)
242;GWF010BND125SS;8;('GBA001PAM070FP',)
243;GWF014DLZ200FS;10;('GCO002BND080FS',)
244;GWF016VLR180FS;5;('GWJ032BND080FS',)
245;GWF017PQC220FS;5;('GWJ032BND080FS',)
246;GWF018BND200FS;5;('GWJ032BND080FS',)
247;GWF019BND080DM;7;('GCO002NEU250FS',)
248;GWF019BND080FS;5;('GWJ032BND080FS',)
249;GWF020DCO150FS;9;('GWM007NTA150FS',)
250;GWF021CAE180FS;7;('GCO002NEU250FS',)
251;GWF022SCV200FS;1;('GBA001CAR200FS',)
252;GWF025BND120DM;7;('GCO002NEU250FS',)
253;GWG002CQT350FS;4;('TCW001BND200FR',)
254;GWG005VLR180FS;5;('GWJ032BND080FS',)
255;GWG006PQC400FS;6;('TPO003BND600BW',)
256;GWG019CQT400FS;2;('GCH002BNR2K0FS',)
257;GWG021ESE150FS;8;('GBA001PAM070FP',)
258;GWG022BND250FS;9;('GWM007NTA150FS',)
259;GWG022BRN100FS;10;('GCO002BND080FS',)
260;GWG022ESE250FS;7;('GCO002NEU250FS',)
261;GWG022NEU250FS;3;('GBA001FTG100FS',)
262;GWG022PQC250FS;8;('GBA001PAM070FP',)
263;GWG025BND100FS;5;('GWJ032BND080FS',)
264;GWG025BND230FS;5;('GWJ032BND080FS',)
265;GWG026BND090FS;5;('GWJ032BND080FS',)
266;GWG026BND200FS;5;('GWJ032BND080FS',)
267;GWG027BND170FP;9;('GWM007NTA150FS',)
268;GWG028BND150FP;9;('GWM007NTA150FS',)
269;GWG029BND125FS;9;('GWM007NTA150FS',)
270;GWG033SCV200FS;7;('GCO002NEU250FS',)
271;GWG034ESB200FS;3;('GBA001FTG100FS',)
272;GWJ008SCV150FS;7;('GCO002NEU250FS',)
273;GWJ009BND100FS;5;('GWJ032BND080FS',)
274;GWJ009BRN090FP;10;('GCO002BND080FS',)
275;GWJ009CAR125FS;5;('GWJ032BND080FS',)
276;GWJ009PQC125FS;7;('GCO002NEU250FS',)
277;GWJ010CQT150FS;10;('GCO002BND080FS',)
278;GWJ010ESE150FS;5;('GWJ032BND080FS',)
279;GWJ010PQC125FS;5;('GWJ032BND080FS',)
280;GWJ010VLR100FS;5;('GWJ032BND080FS',)
281;GWJ012BND080FS;10;('GCO002BND080FS',)
282;GWJ012BNR300FS;5;('GWJ032BND080FS',)
283;GWJ012CAE090FS;7;('GCO002NEU250FS',)
284;GWJ012DCO100FS;10;('GCO002BND080FS',)
285;GWJ012FTG100FS;9;('GWM007NTA150FS',)
286;GWJ012JLG200FS;1;('GBA001CAR200FS',)
287;GWJ012NEU080FS;9;('GWM007NTA150FS',)
288;GWJ012NEU300FS;4;('TCW001BND200FR',)
289;GWJ012NTA125FS;4;('TCW001BND200FR',)
290;GWJ012NTA200FS;4;('TCW001BND200FR',)
291;GWJ012SLX080FS;1;('GBA001CAR200FS',)
292;GWJ012SLX125FS;1;('GBA001CAR200FS',)
293;GWJ012SPV200FS;5;('GWJ032BND080FS',)
294;GWJ012VLR100FS;5;('GWJ032BND080FS',)
295;GWJ013PAM125FS;5;('GWJ032BND080FS',)
296;GWJ016ESB125FS;10;('GCO002BND080FS',)
297;GWJ017ESE125FS;5;('GWJ032BND080FS',)
298;GWJ018CQT125FS;5;('GWJ032BND080FS',)
299;GWJ019NEU080FS;10;('GCO002BND080FS',)
300;GWJ029PAM300FS;5;('GWJ032BND080FS',)
301;GWJ031BND080FS;5;('GWJ032BND080FS',)
302;GWJ032BND080FS;5;('GWJ032BND080FS',)
303;GWJ033BND100FS;9;('GWM007NTA150FS',)
304;GWJ034SPV090FP;9;('GWM007NTA150FS',)
305;GWJ035ESE125FS;5;('GWJ032BND080FS',)
306;GWK006ESE200FS;9;('GWM007NTA150FS',)
307;GWK041SCV200FS;7;('GCO002NEU250FS',)
308;GWL006CQT150FS;5;('GWJ032BND080FS',)
309;GWL014BND110FS;1;('GBA001CAR200FS',)
310;GWM001BND150FS;5;('GWJ032BND080FS',)
311;GWM001BNR400FS;5;('GWJ032BND080FS',)
