;Product;Cluster;Centroid
0;GBA001BND060FS;7;('GBA001NEU250FS',)
1;GBA001BND060SS;12;('GLO002BNR250FS',)
2;GBA001BND160FS;5;('TBG001BND180BV',)
3;GBA001BND250FS;12;('GLO002BNR250FS',)
4;GBA001BNR250FS;3;('GLV001CAR125FS',)
5;GBA001CAR070FS;2;('GLV001CAR080FS',)
6;GBA001CAR125FS;5;('TBG001BND180BV',)
7;GBA001CAR200FS;5;('TBG001BND180BV',)
8;GBA001CQT060SS;8;('GWF002BRN165FS',)
9;GBA001CQT125FS;12;('GLO002BNR250FS',)
10;GBA001DLZ080FS;6;('GWJ019NEU080FS',)
11;GBA001FTG100FS;12;('GLO002BNR250FS',)
12;GBA001JLG100FS;8;('GWF002BRN165FS',)
13;GBA001JLG200FS;10;('GLV001PAM080FP',)
14;GBA001NEU250FS;7;('GBA001NEU250FS',)
15;GBA001NTA125FS;6;('GWJ019NEU080FS',)
16;GBA001NTA200FS;10;('GLV001PAM080FP',)
17;GBA001PAM070FP;10;('GLV001PAM080FP',)
18;GBA001PAM200FS;12;('GLO002BNR250FS',)
19;GBA001PQC070FS;6;('GWJ019NEU080FS',)
20;GBA001PQC125FS;12;('GLO002BNR250FS',)
21;GBA001RTB150FP;10;('GLV001PAM080FP',)
22;GBA001SGM100FS;12;('GLO002BNR250FS',)
23;GBA001SLX080FS;11;('GLV001SLX080FS',)
24;GBA001SPV090FP;1;('GWP002BNG080FS',)
25;GBA001SPV200FS;5;('TBG001BND180BV',)
26;GBA001VLR125FS;4;('GWP002MCD300FS',)
27;GBA003CQT100FS;1;('GWP002BNG080FS',)
28;GBA003ESB100FS;1;('GWP002BNG080FS',)
29;GBA003PAM125FS;5;('TBG001BND180BV',)
30;GBA005BND080FS;7;('GBA001NEU250FS',)
31;GBE001FTG400FS;9;('TPO003BND600BW',)
32;GBE001PQC500FS;2;('GLV001CAR080FS',)
33;GBE004CQT400FS;1;('GWP002BNG080FS',)
34;GBF006BND125FR;12;('GLO002BNR250FS',)
35;GBF008BND265FR;12;('GLO002BNR250FS',)
36;GBF039BND125FR;12;('GLO002BNR250FS',)
37;GBF042BND120FR;7;('GBA001NEU250FS',)
38;GBF043BND115FR;7;('GBA001NEU250FS',)
39;GBF046BND115FR;7;('GBA001NEU250FS',)
40;GBF047BND115FR;7;('GBA001NEU250FS',)
