;Product;Cluster;Centroid
0;GBA001BND060FS;4;('GCH006CQT200FS',)
1;GBA001BND060SS;4;('GCH006CQT200FS',)
2;GBA001BND160FS;8;('GWP002BNG080FS',)
3;GBA001BND250FS;2;('GCO002NEU250FS',)
4;GBA001BNR250FS;2;('GCO002NEU250FS',)
5;GBA001CAR125FS;5;('GWT025CQT150FP',)
6;GBA001CAR200FS;5;('GWT025CQT150FP',)
7;GBA001CQT060SS;5;('GWT025CQT150FP',)
8;GBA001CQT125FS;4;('GCH006CQT200FS',)
9;GBA001DLZ080FS;4;('GCH006CQT200FS',)
10;GBA001FTG100FS;5;('GWT025CQT150FP',)
11;GBA001JLG100FS;4;('GCH006CQT200FS',)
12;GBA001JLG200FS;10;('GLV001NTA200FS',)
13;GBA001NEU250FS;4;('GCH006CQT200FS',)
14;GBA001NTA125FS;4;('GCH006CQT200FS',)
15;GBA001NTA200FS;1;('GWJ029PAM300FS',)
16;GBA001PAM070FP;4;('GCH006CQT200FS',)
17;GBA001PAM200FS;4;('GCH006CQT200FS',)
18;GBA001PQC070FS;4;('GCH006CQT200FS',)
19;GBA001PQC125FS;4;('GCH006CQT200FS',)
20;GBA001RTB150FP;4;('GCH006CQT200FS',)
21;GBA001SGM100FS;10;('GLV001NTA200FS',)
22;GBA001SLX080FS;4;('GCH006CQT200FS',)
23;GBA001SPV090FP;8;('GWP002BNG080FS',)
24;GBA001SPV200FS;1;('GWJ029PAM300FS',)
25;GBA003CQT100FS;8;('GWP002BNG080FS',)
26;GBA003ESB100FS;8;('GWP002BNG080FS',)
27;GBA003PAM125FS;5;('GWT025CQT150FP',)
28;GBA005BND080FS;3;('GLV008BND090FS',)
29;GBE001FTG400FS;9;('TPO001BND600BW',)
30;GBE001PQC500FS;9;('TPO001BND600BW',)
31;GBE004CQT400FS;9;('TPO001BND600BW',)
32;GBF006BND125FR;8;('GWP002BNG080FS',)
33;GBF039BND125FR;8;('GWP002BNG080FS',)
34;GBF042BND120FR;4;('GCH006CQT200FS',)
35;GBF043BND115FR;4;('GCH006CQT200FS',)
36;GBF046BND115FR;4;('GCH006CQT200FS',)
37;GBF047BND115FR;4;('GCH006CQT200FS',)
38;GCE003BNR2K5FS;4;('GCH006CQT200FS',)
39;GCE003BNR5K0FS;5;('GWT025CQT150FP',)
40;GCH002BNR2K0FS;9;('TPO001BND600BW',)
41;GCH004ESB200FS;2;('GCO002NEU250FS',)
42;GCH006BNR1K2FS;4;('GCH006CQT200FS',)
43;GCH006BRN200FS;6;('GWJ009BRN090FP',)
44;GCH006CAR250FP;5;('GWT025CQT150FP',)
45;GCH006CQT200FS;4;('GCH006CQT200FS',)
46;GCH006DCO200FS;6;('GWJ009BRN090FP',)
47;GCH006DLZ200FS;4;('GCH006CQT200FS',)
48;GCH006JLG200FP;4;('GCH006CQT200FS',)
49;GCH006NEU200FS;4;('GCH006CQT200FS',)
50;GCH006PQC200FS;4;('GCH006CQT200FS',)
51;GCH006RTB200FP;4;('GCH006CQT200FS',)
52;GCH006SLX200FS;5;('GWT025CQT150FP',)
53;GCH006VLR200FS;5;('GWT025CQT150FP',)
54;GCO002BND060SS;4;('GCH006CQT200FS',)
55;GCO002BND080FS;4;('GCH006CQT200FS',)
56;GCO002BND100FS;6;('GWJ009BRN090FP',)
57;GCO002BND160FS;4;('GCH006CQT200FS',)
58;GCO002BND250FS;1;('GWJ029PAM300FS',)
59;GCO002BNG080FS;8;('GWP002BNG080FS',)
60;GCO002BNR250FS;5;('GWT025CQT150FP',)
61;GCO002BRN100FP;6;('GWJ009BRN090FP',)
62;GCO002CAE090FS;2;('GCO002NEU250FS',)
63;GCO002CQT060SS;4;('GCH006CQT200FS',)
64;GCO002CQT125FS;4;('GCH006CQT200FS',)
65;GCO002DCO100FS;4;('GCH006CQT200FS',)
66;GCO002DLZ080FS;4;('GCH006CQT200FS',)
67;GCO002FTG100FS;5;('GWT025CQT150FP',)
68;GCO002JLG100FS;4;('GCH006CQT200FS',)
69;GCO002JLG200FS;4;('GCH006CQT200FS',)
70;GCO002MCD200FS;8;('GWP002BNG080FS',)
71;GCO002NEU080FS;4;('GCH006CQT200FS',)
72;GCO002NEU250FS;2;('GCO002NEU250FS',)
73;GCO002NTA100FS;11;('GWJ012NTA200FS',)
74;GCO002NTA200FS;4;('GCH006CQT200FS',)
75;GCO002PAM080FP;4;('GCH006CQT200FS',)
76;GCO002PAM200FS;4;('GCH006CQT200FS',)
77;GCO002PQC070FS;4;('GCH006CQT200FS',)
78;GCO002PQC125FS;4;('GCH006CQT200FS',)
79;GCO002SCV150FS;4;('GCH006CQT200FS',)
80;GCO002SGM100FS;1;('GWJ029PAM300FS',)
81;GCO002SLX080FS;4;('GCH006CQT200FS',)
82;GCO002SLX150FS;5;('GWT025CQT150FP',)
83;GCO002SPV100FP;5;('GWT025CQT150FP',)
84;GCO003CQT080FS;8;('GWP002BNG080FS',)
85;GCO003ESB100FS;7;('GCO003ESB100FS',)
86;GCO003PAM125FS;5;('GWT025CQT150FP',)
87;GCO003RTB125FP;1;('GWJ029PAM300FS',)
88;GCO005BND090FS;3;('GLV008BND090FS',)
89;GEP004ESE150FP;3;('GLV008BND090FS',)
90;GEP004NEU080FS;4;('GCH006CQT200FS',)
91;GEP004NEU125FP;1;('GWJ029PAM300FS',)
92;GEP004PQC150FP;2;('GCO002NEU250FS',)
93;GEP004RTB150FP;11;('GWJ012NTA200FS',)
94;GEP005BND250FS;8;('GWP002BNG080FS',)
95;GEP005CQT400FS;9;('TPO001BND600BW',)
96;GEP006BND400FS;8;('GWP002BNG080FS',)
97;GEP006BRN500FS;8;('GWP002BNG080FS',)
98;GEP006DCO500FS;9;('TPO001BND600BW',)
99;GEP006FTG400FS;9;('TPO001BND600BW',)
100;GEP006PQC500FS;2;('GCO002NEU250FS',)
101;GEP006SGM500FS;9;('TPO001BND600BW',)
102;GKC002ESE200FP;4;('GCH006CQT200FS',)
103;GKC002JLG200FP;4;('GCH006CQT200FS',)
104;GKC002SPV140FP;9;('TPO001BND600BW',)
105;GKC004NEU100FS;8;('GWP002BNG080FS',)
106;GKF001DCO500FS;2;('GCO002NEU250FS',)
107;GKG002BNR1K0FS;6;('GWJ009BRN090FP',)
108;GKP001SPV200FS;2;('GCO002NEU250FS',)
109;GKP002BNR1K0FS;2;('GCO002NEU250FS',)
110;GKS001DCO500FS;2;('GCO002NEU250FS',)
111;GLA001BND150FS;5;('GWT025CQT150FP',)
112;GLA001CQT150FS;5;('GWT025CQT150FP',)
113;GLA001ESE200FS;9;('TPO001BND600BW',)
114;GLA001JLG200FS;4;('GCH006CQT200FS',)
115;GLA001PAM150FS;9;('TPO001BND600BW',)
116;GLA001PQC160FS;4;('GCH006CQT200FS',)
117;GLA001SPV150FS;5;('GWT025CQT150FP',)
118;GLA006BND100FS;5;('GWT025CQT150FP',)
119;GLI002BND100FS;5;('GWT025CQT150FP',)
120;GLI002BND200FS;5;('GWT025CQT150FP',)
121;GLI002BNR1K0FS;8;('GWP002BNG080FS',)
122;GLI002BNR400FS;5;('GWT025CQT150FP',)
123;GLI002BRN250FS;6;('GWJ009BRN090FP',)
124;GLI002CAE200FS;2;('GCO002NEU250FS',)
125;GLI002CAR250FS;4;('GCH006CQT200FS',)
126;GLI002CQT250FS;1;('GWJ029PAM300FS',)
127;GLI002DCO250FS;4;('GCH006CQT200FS',)
128;GLI002DLZ200FS;4;('GCH006CQT200FS',)
129;GLI002ESE200FS;2;('GCO002NEU250FS',)
130;GLI002FTG200FS;6;('GWJ009BRN090FP',)
131;GLI002JLG200FS;4;('GCH006CQT200FS',)
132;GLI002NEU150FS;5;('GWT025CQT150FP',)
133;GLI002PAM250FS;4;('GCH006CQT200FS',)
134;GLI002PQC200FS;4;('GCH006CQT200FS',)
135;GLI002SLX250FS;6;('GWJ009BRN090FP',)
136;GLI002VLR200FS;8;('GWP002BNG080FS',)
137;GLI004MCD1K0FS;2;('GCO002NEU250FS',)
138;GLI004NEU1K0FS;2;('GCO002NEU250FS',)
139;GLO002BNR250FS;4;('GCH006CQT200FS',)
140;GLO002MCD250FS;10;('GLV001NTA200FS',)
141;GLO002NEU250FS;2;('GCO002NEU250FS',)
142;GLV001BND060SS;4;('GCH006CQT200FS',)
143;GLV001BND080FS;4;('GCH006CQT200FS',)
144;GLV001BND160FS;4;('GCH006CQT200FS',)
145;GLV001BNG080FS;8;('GWP002BNG080FS',)
146;GLV001BRN100FP;6;('GWJ009BRN090FP',)
147;GLV001CAE090FS;2;('GCO002NEU250FS',)
148;GLV001CAR200FS;4;('GCH006CQT200FS',)
149;GLV001CQT125FS;2;('GCO002NEU250FS',)
150;GLV001DCO100FS;4;('GCH006CQT200FS',)
151;GLV001DLZ080FS;4;('GCH006CQT200FS',)
152;GLV001FTG100FS;6;('GWJ009BRN090FP',)
153;GLV001JLG100FS;4;('GCH006CQT200FS',)
154;GLV001JLG200FS;4;('GCH006CQT200FS',)
155;GLV001NEU080FS;8;('GWP002BNG080FS',)
156;GLV001NTA100FS;11;('GWJ012NTA200FS',)
157;GLV001NTA200FS;10;('GLV001NTA200FS',)
158;GLV001PAM080FP;4;('GCH006CQT200FS',)
159;GLV001PAM200FS;4;('GCH006CQT200FS',)
160;GLV001PQC070FS;4;('GCH006CQT200FS',)
161;GLV001PQC125FS;4;('GCH006CQT200FS',)
162;GLV001SGM100FS;3;('GLV008BND090FS',)
163;GLV001SLX080FS;4;('GCH006CQT200FS',)
164;GLV001SPV100FP;8;('GWP002BNG080FS',)
165;GLV001SPV200FS;4;('GCH006CQT200FS',)
166;GLV005CQT100FS;8;('GWP002BNG080FS',)
167;GLV005ESB150FS;11;('GWJ012NTA200FS',)
168;GLV005PAM125FS;5;('GWT025CQT150FP',)
169;GLV008BND090FS;3;('GLV008BND090FS',)
170;GQX156BNR250FS;9;('TPO001BND600BW',)
171;GQX157BNR250FS;9;('TPO001BND600BW',)
172;GQX179BNR250FS;4;('GCH006CQT200FS',)
173;GQX180BNR250FS;4;('GCH006CQT200FS',)
174;GSJ001RTB150EX;8;('GWP002BNG080FS',)
175;GTC001MCD500BQ;2;('GCO002NEU250FS',)
176;GWA003BND100FS;6;('GWJ009BRN090FP',)
177;GWA004BNR250FS;4;('GCH006CQT200FS',)
178;GWC009CQT150FS;5;('GWT025CQT150FP',)
179;GWC012BND180FS;5;('GWT025CQT150FP',)
180;GWC012BND200FS;5;('GWT025CQT150FP',)
181;GWC012BNR1K0FS;6;('GWJ009BRN090FP',)
182;GWC012DCO200FS;4;('GCH006CQT200FS',)
183;GWC012FTG200FS;6;('GWJ009BRN090FP',)
184;GWC012NEU180FS;8;('GWP002BNG080FS',)
185;GWC012NTA250FS;10;('GLV001NTA200FS',)
186;GWC012SLX200FS;8;('GWP002BNG080FS',)
187;GWC013CQT250FS;1;('GWJ029PAM300FS',)
188;GWC014CQT200FS;9;('TPO001BND600BW',)
189;GWC015ESB200FS;9;('TPO001BND600BW',)
190;GWC015PAM200FS;9;('TPO001BND600BW',)
191;GWC015RTB200FP;9;('TPO001BND600BW',)
192;GWC016JLG300FS;4;('GCH006CQT200FS',)
193;GWC016NEU350FS;5;('GWT025CQT150FP',)
194;GWC017DLZ180FS;4;('GCH006CQT200FS',)
195;GWC017PQC250FS;10;('GLV001NTA200FS',)
196;GWC018BNR1K0FS;4;('GCH006CQT200FS',)
197;GWC018SPV350FS;6;('GWJ009BRN090FP',)
198;GWC019BNR1K0FS;4;('GCH006CQT200FS',)
199;GWC019BNR500FS;5;('GWT025CQT150FP',)
200;GWC019SPV500FS;3;('GLV008BND090FS',)
201;GWC020BNG150FS;8;('GWP002BNG080FS',)
202;GWC020SGM200FS;8;('GWP002BNG080FS',)
203;GWC020SPV165FP;8;('GWP002BNG080FS',)
204;GWC026FTG200FS;5;('GWT025CQT150FP',)
205;GWC028JLG200FS;4;('GCH006CQT200FS',)
206;GWF001DCO200FP;4;('GCH006CQT200FS',)
207;GWF001JLG200FP;2;('GCO002NEU250FS',)
208;GWF001PQC200FP;8;('GWP002BNG080FS',)
209;GWF001SLX200FP;5;('GWT025CQT150FP',)
210;GWF001SPV200FP;8;('GWP002BNG080FS',)
211;GWF002BRN165FS;6;('GWJ009BRN090FP',)
212;GWF003PQC250FS;8;('GWP002BNG080FS',)
213;GWF014DLZ200FS;4;('GCH006CQT200FS',)
214;GWF016VLR180FS;5;('GWT025CQT150FP',)
215;GWF017PQC220FS;1;('GWJ029PAM300FS',)
216;GWF018BND200FS;5;('GWT025CQT150FP',)
217;GWF019BND080FS;5;('GWT025CQT150FP',)
218;GWF020DCO150FS;4;('GCH006CQT200FS',)
219;GWF021CAE180FS;4;('GCH006CQT200FS',)
220;GWF022SCV200FS;4;('GCH006CQT200FS',)
221;GWG002CQT350FS;4;('GCH006CQT200FS',)
222;GWG005VLR180FS;8;('GWP002BNG080FS',)
223;GWG006PQC400FS;8;('GWP002BNG080FS',)
224;GWG019CQT400FS;8;('GWP002BNG080FS',)
225;GWG021ESE150FS;4;('GCH006CQT200FS',)
226;GWG022BRN100FS;8;('GWP002BNG080FS',)
227;GWG022PQC250FS;4;('GCH006CQT200FS',)
228;GWG025BND100FS;5;('GWT025CQT150FP',)
229;GWG025BND230FS;5;('GWT025CQT150FP',)
230;GWG026BND090FS;5;('GWT025CQT150FP',)
231;GWG026BND200FS;5;('GWT025CQT150FP',)
232;GWG027BND170FP;5;('GWT025CQT150FP',)
233;GWG028BND150FP;5;('GWT025CQT150FP',)
234;GWG029BND125FS;8;('GWP002BNG080FS',)
235;GWJ008SCV150FS;2;('GCO002NEU250FS',)
236;GWJ009BND100FS;5;('GWT025CQT150FP',)
237;GWJ009BRN090FP;6;('GWJ009BRN090FP',)
238;GWJ009CAR125FS;5;('GWT025CQT150FP',)
239;GWJ009PQC125FS;4;('GCH006CQT200FS',)
240;GWJ010CQT150FS;5;('GWT025CQT150FP',)
241;GWJ010ESE150FS;4;('GCH006CQT200FS',)
242;GWJ010PQC125FS;4;('GCH006CQT200FS',)
243;GWJ010VLR100FS;5;('GWT025CQT150FP',)
244;GWJ012BND080FS;4;('GCH006CQT200FS',)
245;GWJ012BNR300FS;5;('GWT025CQT150FP',)
246;GWJ012CAE090FS;4;('GCH006CQT200FS',)
247;GWJ012DCO100FS;6;('GWJ009BRN090FP',)
248;GWJ012FTG100FS;5;('GWT025CQT150FP',)
249;GWJ012JLG200FS;6;('GWJ009BRN090FP',)
250;GWJ012NEU080FS;8;('GWP002BNG080FS',)
251;GWJ012NTA125FS;1;('GWJ029PAM300FS',)
252;GWJ012NTA200FS;11;('GWJ012NTA200FS',)
253;GWJ012SLX080FS;4;('GCH006CQT200FS',)
254;GWJ012SLX125FS;4;('GCH006CQT200FS',)
255;GWJ012SPV200FS;5;('GWT025CQT150FP',)
256;GWJ012VLR100FS;5;('GWT025CQT150FP',)
257;GWJ013PAM125FS;5;('GWT025CQT150FP',)
258;GWJ016ESB125FS;10;('GLV001NTA200FS',)
259;GWJ017ESE125FS;1;('GWJ029PAM300FS',)
260;GWJ018CQT125FS;4;('GCH006CQT200FS',)
261;GWJ019NEU080FS;4;('GCH006CQT200FS',)
262;GWJ029PAM300FS;1;('GWJ029PAM300FS',)
263;GWJ031BND080FS;5;('GWT025CQT150FP',)
264;GWJ032BND080FS;5;('GWT025CQT150FP',)
265;GWJ033BND100FS;8;('GWP002BNG080FS',)
266;GWJ034SPV090FP;8;('GWP002BNG080FS',)
267;GWJ035ESE125FS;4;('GCH006CQT200FS',)
268;GWK006ESE200FS;2;('GCO002NEU250FS',)
269;GWL006CQT150FS;5;('GWT025CQT150FP',)
270;GWL014BND110FS;8;('GWP002BNG080FS',)
271;GWM001BND150FS;10;('GLV001NTA200FS',)
272;GWM001BNR400FS;4;('GCH006CQT200FS',)
273;GWM001JLG200FS;2;('GCO002NEU250FS',)
274;GWM007BND090SS;5;('GWT025CQT150FP',)
275;GWM007CAR200FP;5;('GWT025CQT150FP',)
276;GWM007NTA150FS;5;('GWT025CQT150FP',)
277;GWM007PQC150FS;5;('GWT025CQT150FP',)
278;GWM008CQT150FS;4;('GCH006CQT200FS',)
279;GWM010PQC160FS;11;('GWJ012NTA200FS',)
280;GWM011NTA200FS;5;('GWT025CQT150FP',)
281;GWP002BND125FS;7;('GCO003ESB100FS',)
282;GWP002BND160FS;5;('GWT025CQT150FP',)
283;GWP002BNG080FS;8;('GWP002BNG080FS',)
284;GWP005RTB125FP;3;('GLV008BND090FS',)
285;GWP006ESB125FS;5;('GWT025CQT150FP',)
286;GWP007PAM080FP;4;('GCH006CQT200FS',)
287;GWP007PAM200FS;5;('GWT025CQT150FP',)
288;GWP010NTA125FS;4;('GCH006CQT200FS',)
289;GWP011JLG200FS;4;('GCH006CQT200FS',)
290;GWP013DLZ080FS;4;('GCH006CQT200FS',)
291;GWP015BND080FS;5;('GWT025CQT150FP',)
292;GWP017BND100FS;8;('GWP002BNG080FS',)
293;GWP021BND090FS;3;('GLV008BND090FS',)
294;GWQ001BND100FS;5;('GWT025CQT150FP',)
