;Product;Client;Cluster;Centroid
0;GBA001BND060FS;68C011;66;('GWC012BND180FS', '68K053')
1;GBA001BND060FS;68C124;66;('GWC012BND180FS', '68K053')
2;GBA001BND060FS;68C131;66;('GWC012BND180FS', '68K053')
3;GBA001BND060FS;68C134;40;('GQX179BNR250FS', '69D013')
4;GBA001BND060FS;68H142;27;('GEP005CQT400FS', '68Q073')
5;GBA001BND060FS;68K052;27;('GEP005CQT400FS', '68Q073')
6;GBA001BND060FS;68K053;66;('GWC012BND180FS', '68K053')
7;GBA001BND060FS;68S003;85;('GCO002BND060SS', '68S016')
8;GBA001BND060FS;68S004;66;('GWC012BND180FS', '68K053')
9;GBA001BND060FS;68S005;66;('GWC012BND180FS', '68K053')
10;GBA001BND060FS;68S007;66;('GWC012BND180FS', '68K053')
11;GBA001BND060FS;68S016;66;('GWC012BND180FS', '68K053')
12;GBA001BND060FS;68S106;66;('GWC012BND180FS', '68K053')
13;GBA001BND060FS;68S110;70;('GBF046BND115FR', '68C129')
14;GBA001BND060FS;68X077;7;('GWQ001BND100FS', '68E102')
15;GBA001BND060FS;68X078;20;('GBA001BNR250FS', '69L014')
16;GBA001BND060FS;68X080;66;('GWC012BND180FS', '68K053')
17;GBA001BND060FS;68X083;13;('GBA001BND060SS', '68S106')
18;GBA001BND060FS;68Y044;66;('GWC012BND180FS', '68K053')
19;GBA001BND060FS;69N157;103;('GCO002BND160FS', '69L014')
20;GBA001BND060FS;78X.;59;('GLA001BND150FS', '68X083')
21;GBA001BND060FS;7HT163;70;('GBF046BND115FR', '68C129')
22;GBA001BND060SS;68A139;5;('GCO002JLG200FS', '69F029')
23;GBA001BND060SS;68C120;6;('GCO002NEU080FS', '68L038')
24;GBA001BND060SS;68C122;45;('GBA005BND080FS', '68Y045')
25;GBA001BND060SS;68C126;71;('GWW004BND100FS', '68Y044')
26;GBA001BND060SS;68C129;13;('GBA001BND060SS', '68S106')
27;GBA001BND060SS;68C130;17;('GBA001BND060SS', '68X082')
28;GBA001BND060SS;68C133;13;('GBA001BND060SS', '68S106')
29;GBA001BND060SS;68C134;70;('GBF046BND115FR', '68C129')
30;GBA001BND060SS;68E102;8;('GBA001BND060SS', '68F091')
31;GBA001BND060SS;68F090;66;('GWC012BND180FS', '68K053')
32;GBA001BND060SS;68F091;8;('GBA001BND060SS', '68F091')
33;GBA001BND060SS;68F095;8;('GBA001BND060SS', '68F091')
34;GBA001BND060SS;68F096;10;('GBA001BND060SS', '68F096')
35;GBA001BND060SS;68H143;58;('GWM001BND150FS', '68X078')
36;GBA001BND060SS;68H148;13;('GBA001BND060SS', '68S106')
37;GBA001BND060SS;68J046;60;('GWG026BND090FS', '68Q069')
38;GBA001BND060SS;68J048;22;('GBA001CAR200FS', '68J046')
39;GBA001BND060SS;68J049;20;('GBA001BNR250FS', '69L014')
40;GBA001BND060SS;68K056;30;('GLV008BND090FS', '68J046')
41;GBA001BND060SS;68L037;106;('TPO004BND600BW', '69F026')
42;GBA001BND060SS;68L038;13;('GBA001BND060SS', '68S106')
43;GBA001BND060SS;68L039;66;('GWC012BND180FS', '68K053')
44;GBA001BND060SS;68S002;78;('GWG028BND150FP', '68K052')
45;GBA001BND060SS;68S004;35;('GEP006BND400FS', '68S004')
46;GBA001BND060SS;68S016;85;('GCO002BND060SS', '68S016')
47;GBA001BND060SS;68S106;13;('GBA001BND060SS', '68S106')
48;GBA001BND060SS;68S110;98;('GCO002BND100FS', '68X082')
49;GBA001BND060SS;68S168;71;('GWW004BND100FS', '68Y044')
50;GBA001BND060SS;68W153;97;('GWP002BNG080FS', '68A138')
51;GBA001BND060SS;68X078;36;('GWL014BND110FS', '68L038')
52;GBA001BND060SS;68X080;85;('GCO002BND060SS', '68S016')
53;GBA001BND060SS;68X081;17;('GBA001BND060SS', '68X082')
54;GBA001BND060SS;68X082;17;('GBA001BND060SS', '68X082')
55;GBA001BND060SS;68X084;85;('GCO002BND060SS', '68S016')
56;GBA001BND060SS;68Y044;70;('GBF046BND115FR', '68C129')
57;GBA001BND060SS;69F021;22;('GBA001CAR200FS', '68J046')
58;GBA001BND060SS;69F026;13;('GBA001BND060SS', '68S106')
59;GBA001BND060SS;69K074;66;('GWC012BND180FS', '68K053')
60;GBA001BND060SS;69L014;32;('TTA023BND200FR', '68K054')
61;GBA001BND060SS;69N157;82;('GWC016NEU350FS', '68X082')
62;GBA001BND060SS;69Y209;13;('GBA001BND060SS', '68S106')
63;GBA001BND060SS;78X.;45;('GBA005BND080FS', '68Y045')
64;GBA001BND060SS;79P098;59;('GLA001BND150FS', '68X083')
65;GBA001BND160FS;68A139;52;('GLA001BND150FS', '68F096')
66;GBA001BND160FS;68C129;37;('GLV008BND090FS', '69F022')
67;GBA001BND160FS;68D043;33;('GLV008BND090FS', '68L037')
68;GBA001BND160FS;68F090;85;('GCO002BND060SS', '68S016')
69;GBA001BND160FS;68G156;19;('TTA001BND200FR', '68L038')
70;GBA001BND160FS;68H142;46;('GWA003BND100FS', '68H143')
71;GBA001BND160FS;68H143;34;('GWS076BND125FS', '68H148')
72;GBA001BND160FS;68J046;13;('GBA001BND060SS', '68S106')
73;GBA001BND160FS;68L037;106;('TPO004BND600BW', '69F026')
74;GBA001BND160FS;68Q064;25;('GWS074BND125FS', '69F022')
75;GBA001BND160FS;68Q071;66;('GWC012BND180FS', '68K053')
76;GBA001BND160FS;68S002;33;('GLV008BND090FS', '68L037')
77;GBA001BND160FS;68S110;84;('GWC017PQC250FS', '68K056')
78;GBA001BND160FS;68X081;19;('TTA001BND200FR', '68L038')
79;GBA001BND160FS;68Y044;30;('GLV008BND090FS', '68J046')
80;GBA001BND160FS;69F021;22;('GBA001CAR200FS', '68J046')
81;GBA001BND160FS;69F022;97;('GWP002BNG080FS', '68A138')
82;GBA001BND160FS;69F025;14;('TPO009BND300BW', '68H141')
83;GBA001BND160FS;69G031;58;('GWM001BND150FS', '68X078')
84;GBA001BND160FS;69L014;74;('GBF047BND115FR', '68K053')
85;GBA001BND160FS;78X.;45;('GBA005BND080FS', '68Y045')
86;GBA001BND250FS;79P098;103;('GCO002BND160FS', '69L014')
87;GBA001BNR250FS;69D013;40;('GQX179BNR250FS', '69D013')
88;GBA001BNR250FS;69D206;65;('GWM001BND150FS', '69F028')
89;GBA001BNR250FS;69L014;20;('GBA001BNR250FS', '69L014')
90;GBA001CAR125FS;68J046;18;('GCO005BND090FS', '68C131')
91;GBA001CAR200FS;68J046;22;('GBA001CAR200FS', '68J046')
92;GBA001CQT060SS;68Q061;40;('GQX179BNR250FS', '69D013')
93;GBA001CQT060SS;68Q062;83;('GLI002BND200FS', '68K054')
94;GBA001CQT060SS;68Q066;36;('GWL014BND110FS', '68L038')
95;GBA001CQT060SS;68Q069;36;('GWL014BND110FS', '68L038')
96;GBA001CQT060SS;68Q070;13;('GBA001BND060SS', '68S106')
97;GBA001CQT125FS;68Q061;58;('GWM001BND150FS', '68X078')
98;GBA001CQT125FS;68Q064;82;('GWC016NEU350FS', '68X082')
99;GBA001CQT125FS;68Q066;33;('GLV008BND090FS', '68L037')
100;GBA001CQT125FS;68Q067;25;('GWS074BND125FS', '69F022')
101;GBA001CQT125FS;68Q069;33;('GLV008BND090FS', '68L037')
102;GBA001CQT125FS;68Q070;103;('GCO002BND160FS', '69L014')
103;GBA001CQT125FS;68Q071;11;('GLV001BND160FS', '68S002')
104;GBA001CQT125FS;68S168;3;('GWP021BND090FS', '68H141')
105;GBA001DLZ080FS;68C125;71;('GWW004BND100FS', '68Y044')
106;GBA001DLZ080FS;68C130;17;('GBA001BND060SS', '68X082')
107;GBA001DLZ080FS;68E102;70;('GBF046BND115FR', '68C129')
108;GBA001FTG100FS;68J048;77;('GWM010PQC160FS', '68K052')
109;GBA001JLG100FS;69F029;5;('GCO002JLG200FS', '69F029')
110;GBA001JLG200FS;69F029;26;('GWS074BND125FS', '69F026')
111;GBA001NTA125FS;68R097;5;('GCO002JLG200FS', '69F029')
112;GBA001NTA200FS;68R097;54;('GBF042BND120FR', '68S005')
113;GBA001PAM070FP;68E103;66;('GWC012BND180FS', '68K053')
114;GBA001PAM200FS;68E103;82;('GWC016NEU350FS', '68X082')
115;GBA001PQC070FS;68K053;98;('GCO002BND100FS', '68X082')
116;GBA001PQC070FS;68K059;70;('GBF046BND115FR', '68C129')
117;GBA001PQC070FS;68K060;40;('GQX179BNR250FS', '69D013')
118;GBA001PQC125FS;68K052;67;('GBF043BND115FR', '69F026')
119;GBA001PQC125FS;68K058;13;('GBA001BND060SS', '68S106')
120;GBA001PQC125FS;68K059;70;('GBF046BND115FR', '68C129')
121;GBA001PQC125FS;68S168;33;('GLV008BND090FS', '68L037')
122;GBA001PQC125FS;69T012;25;('GWS074BND125FS', '69F022')
123;GBA001PQC125FS;78X.;88;('GWJ009BND100FS', '68K056')
124;GBA001RTB150FP;68K052;77;('GWM010PQC160FS', '68K052')
125;GBA001RTB150FP;68S168;54;('GBF042BND120FR', '68S005')
126;GBA001SGM100FS;68H143;68;('GLA001PQC160FS', '68K059')
127;GBA001SLX080FS;69F026;70;('GBF046BND115FR', '68C129')
128;GBA001SPV090FP;69G033;97;('GWP002BNG080FS', '68A138')
129;GBA001SPV200FS;69G033;59;('GLA001BND150FS', '68X083')
130;GBA003CQT100FS;68Q061;97;('GWP002BNG080FS', '68A138')
131;GBA003CQT100FS;68Q064;25;('GWS074BND125FS', '69F022')
132;GBA003CQT100FS;68Q067;25;('GWS074BND125FS', '69F022')
133;GBA003CQT100FS;68Q070;97;('GWP002BNG080FS', '68A138')
134;GBA003CQT100FS;68Q071;54;('GBF042BND120FR', '68S005')
135;GBA003CQT100FS;68S168;10;('GBA001BND060SS', '68F096')
136;GBA003ESB100FS;68R097;30;('GLV008BND090FS', '68J046')
137;GBA003PAM125FS;68E103;25;('GWS074BND125FS', '69F022')
138;GBA005BND080FS;68A139;15;('GCO003CQT080FS', '68Q061')
139;GBA005BND080FS;68C011;92;('TPO001BND600BW', '68S110')
140;GBA005BND080FS;68C123;85;('GCO002BND060SS', '68S016')
141;GBA005BND080FS;68C125;83;('GLI002BND200FS', '68K054')
142;GBA005BND080FS;68C126;74;('GBF047BND115FR', '68K053')
143;GBA005BND080FS;68C129;3;('GWP021BND090FS', '68H141')
144;GBA005BND080FS;68C131;13;('GBA001BND060SS', '68S106')
145;GBA005BND080FS;68C133;62;('GBF043BND115FR', '68C133')
146;GBA005BND080FS;68C134;73;('GWC012BND200FS', '68H148')
147;GBA005BND080FS;68E102;95;('TPO001BND600BW', '69F024')
148;GBA005BND080FS;68F090;10;('GBA001BND060SS', '68F096')
149;GBA005BND080FS;68F096;41;('GEP006DCO500FS', '68C133')
150;GBA005BND080FS;68G156;28;('GWJ033BND100FS', '68S110')
151;GBA005BND080FS;68H141;105;('GWJ012DCO100FS', '68C134')
152;GBA005BND080FS;68H142;34;('GWS076BND125FS', '68H148')
153;GBA005BND080FS;68H146;45;('GBA005BND080FS', '68Y045')
