;Product;Client;Cluster;Centroid
0;GBA001BND060SS;68A139;6;('GBA001BND060SS', '68S004')
1;GBA001BND060SS;68C120;88;('GWS074BND125FS', '68C134')
2;GBA001BND060SS;68C122;87;('GCO002DCO100FS', '68F096')
3;GBA001BND060SS;68C126;78;('GWQ001BND100FS', '68G155')
4;GBA001BND060SS;68C129;97;('GLV001DCO100FS', '68C134')
5;GBA001BND060SS;68C130;63;('GWJ009BND100FS', '68X082')
6;GBA001BND060SS;68C133;6;('GBA001BND060SS', '68S004')
7;GBA001BND060SS;68C134;42;('TTA001BND200FR', '68G155')
8;GBA001BND060SS;68E102;86;('GCO002DCO100FS', '68C133')
9;GBA001BND060SS;68F090;48;('GWC016NEU350FS', '68X081')
10;GBA001BND060SS;68F091;110;('GLV005CQT100FS', '68S168')
11;GBA001BND060SS;68F095;110;('GLV005CQT100FS', '68S168')
12;GBA001BND060SS;68F096;14;('GWM007BND090SS', '68C131')
13;GBA001BND060SS;68H143;16;('GBA001CQT060SS', '68Q070')
14;GBA001BND060SS;68H148;61;('GCO002BND080FS', '68C131')
15;GBA001BND060SS;68J046;21;('GWG026BND090FS', '69F026')
16;GBA001BND060SS;68J048;105;('GWJ032BND080FS', '69G031')
17;GBA001BND060SS;68J049;85;('GWF019BND080FS', '68Q071')
18;GBA001BND060SS;68K056;77;('GWJ012BNR300FS', '68D043')
19;GBA001BND060SS;68L037;38;('GWC012DCO200FS', '68C133')
20;GBA001BND060SS;68L038;87;('GCO002DCO100FS', '68F096')
21;GBA001BND060SS;68L039;4;('GBA001BND060SS', '68L039')
22;GBA001BND060SS;68S002;29;('GBA005BND080FS', '68Q070')
23;GBA001BND060SS;68S004;6;('GBA001BND060SS', '68S004')
24;GBA001BND060SS;68S016;42;('TTA001BND200FR', '68G155')
25;GBA001BND060SS;68S106;16;('GBA001CQT060SS', '68Q070')
26;GBA001BND060SS;68S110;63;('GWJ009BND100FS', '68X082')
27;GBA001BND060SS;68S168;58;('TTA023BND200FR', '68Q064')
28;GBA001BND060SS;68W153;8;('GBA001BND060SS', '68W153')
29;GBA001BND060SS;68X078;6;('GBA001BND060SS', '68S004')
30;GBA001BND060SS;68X080;6;('GBA001BND060SS', '68S004')
31;GBA001BND060SS;68X081;86;('GCO002DCO100FS', '68C133')
32;GBA001BND060SS;68X082;63;('GWJ009BND100FS', '68X082')
33;GBA001BND060SS;68X084;24;('TCW002BND200FR', '69F026')
34;GBA001BND060SS;68Y044;86;('GCO002DCO100FS', '68C133')
35;GBA001BND060SS;68Y045;66;('GWP015BND080FS', '68S168')
36;GBA001BND060SS;69F021;21;('GWG026BND090FS', '69F026')
37;GBA001BND060SS;69F026;42;('TTA001BND200FR', '68G155')
38;GBA001BND060SS;69K074;4;('GBA001BND060SS', '68L039')
39;GBA001BND060SS;69L014;42;('TTA001BND200FR', '68G155')
40;GBA001BND060SS;69N157;16;('GBA001CQT060SS', '68Q070')
41;GBA001BND060SS;69Y209;57;('GWP015BND080FS', '68C134')
42;GBA001BND060SS;78X.;9;('GBA001BND060SS', '78X.')
43;GBA001BND060SS;79P098;31;('GLA006BND100FS', '68Q071')
44;GBA001BND160FS;68A139;87;('GCO002DCO100FS', '68F096')
45;GBA001BND160FS;68C129;64;('GWP015BND080FS', '68L037')
46;GBA001BND160FS;68D043;102;('GCO005BND090FS', '68H080')
47;GBA001BND160FS;68E102;4;('GBA001BND060SS', '68L039')
48;GBA001BND160FS;68F090;42;('TTA001BND200FR', '68G155')
49;GBA001BND160FS;68G156;62;('GWP015BND080FS', '68K052')
50;GBA001BND160FS;68H142;96;('GWJ032BND080FS', '68F096')
51;GBA001BND160FS;68H143;88;('GWS074BND125FS', '68C134')
52;GBA001BND160FS;68J046;19;('GBA001PQC125FS', '68S168')
53;GBA001BND160FS;68Q071;42;('TTA001BND200FR', '68G155')
54;GBA001BND160FS;68S002;39;('TPO004BND600BW', '69F029')
55;GBA001BND160FS;68S110;103;('GCO005BND090FS', '68K059')
56;GBA001BND160FS;68S168;36;('GWP002BND125FS', '68Q071')
57;GBA001BND160FS;68X081;24;('TCW002BND200FR', '69F026')
58;GBA001BND160FS;68Y044;11;('GYB011NEU080FM', '68H143')
59;GBA001BND160FS;69F021;84;('GWJ018CQT125FS', '68Q070')
60;GBA001BND160FS;69F022;39;('TPO004BND600BW', '69F029')
61;GBA001BND160FS;69F025;26;('GWM008CQT150FS', '68Q067')
62;GBA001BND160FS;69G031;12;('GBA001BND160FS', '69G031')
63;GBA001BND160FS;69L014;85;('GWF019BND080FS', '68Q071')
64;GBA001BND160FS;78X.;45;('GWG028BND150FP', '78X.')
65;GBA001BND250FS;79P098;7;('GWM001BND150FS', '68S005')
66;GBA001BNR250FS;69D013;64;('GWP015BND080FS', '68L037')
67;GBA001BNR250FS;69D206;80;('GLV001BND060SS', '68X078')
68;GBA001BNR250FS;69L014;53;('GWF001DCO200FP', '68C134')
69;GBA001BNR250FS;78X.;39;('TPO004BND600BW', '69F029')
70;GBA001CQT060SS;68Q061;85;('GWF019BND080FS', '68Q071')
71;GBA001CQT060SS;68Q066;34;('GLI002BND100FS', '68C120')
72;GBA001CQT060SS;68Q069;90;('GCO002MCD200FS', '78Z158')
73;GBA001CQT060SS;68Q070;16;('GBA001CQT060SS', '68Q070')
74;GBA001CQT125FS;68Q061;10;('GWG026BND090FS', '68C134')
75;GBA001CQT125FS;68Q064;48;('GWC016NEU350FS', '68X081')
76;GBA001CQT125FS;68Q066;31;('GLA006BND100FS', '68Q071')
77;GBA001CQT125FS;68Q067;8;('GBA001BND060SS', '68W153')
78;GBA001CQT125FS;68Q069;11;('GYB011NEU080FM', '68H143')
79;GBA001CQT125FS;68Q070;48;('GWC016NEU350FS', '68X081')
80;GBA001CQT125FS;68Q071;10;('GWG026BND090FS', '68C134')
81;GBA001CQT125FS;68S168;52;('GLI002BND200FS', '68J050')
82;GBA001DLZ080FS;68C125;76;('GWJ012BND080FS', '68S106')
83;GBA001DLZ080FS;68C130;42;('TTA001BND200FR', '68G155')
84;GBA001FTG100FS;68J048;11;('GYB011NEU080FM', '68H143')
85;GBA001JLG100FS;69F029;40;('GCH006CQT200FS', '68Q070')
86;GBA001JLG200FS;69F029;25;('GLA001BND150FS', '7HT163')
87;GBA001NTA125FS;68R097;76;('GWJ012BND080FS', '68S106')
88;GBA001NTA200FS;68R097;10;('GWG026BND090FS', '68C134')
89;GBA001PAM070FP;68E103;10;('GWG026BND090FS', '68C134')
90;GBA001PAM200FS;68E103;19;('GBA001PQC125FS', '68S168')
91;GBA001PQC070FS;68K053;79;('GLV001BND060SS', '68S110')
92;GBA001PQC070FS;68K059;40;('GCH006CQT200FS', '68Q070')
93;GBA001PQC125FS;68K052;6;('GBA001BND060SS', '68S004')
94;GBA001PQC125FS;68K058;87;('GCO002DCO100FS', '68F096')
95;GBA001PQC125FS;68K059;40;('GCH006CQT200FS', '68Q070')
96;GBA001PQC125FS;68S168;19;('GBA001PQC125FS', '68S168')
97;GBA001PQC125FS;69T012;34;('GLI002BND100FS', '68C120')
98;GBA001RTB150FP;68K052;10;('GWG026BND090FS', '68C134')
99;GBA001RTB150FP;68S168;19;('GBA001PQC125FS', '68S168')
100;GBA001SGM100FS;68H143;87;('GCO002DCO100FS', '68F096')
101;GBA001SPV090FP;69G033;11;('GYB011NEU080FM', '68H143')
102;GBA001SPV200FS;69G033;8;('GBA001BND060SS', '68W153')
103;GBA003CQT100FS;68Q061;105;('GWJ032BND080FS', '69G031')
104;GBA003CQT100FS;68Q064;34;('GLI002BND100FS', '68C120')
105;GBA003CQT100FS;68Q067;109;('GLV005CQT100FS', '68Q067')
106;GBA003CQT100FS;68Q070;105;('GWJ032BND080FS', '69G031')
107;GBA003CQT100FS;68Q071;17;('GWG026BND090FS', '68Q062')
108;GBA003CQT100FS;68S168;50;('GWC017PQC250FS', '68S168')
109;GBA003ESB100FS;68R097;75;('GWP021BND090FS', '68X084')
110;GBA003PAM125FS;68E103;20;('GLA001BND150FS', '68X077')
111;GBA005BND080FS;68A139;34;('GLI002BND100FS', '68C120')
112;GBA005BND080FS;68C011;6;('GBA001BND060SS', '68S004')
113;GBA005BND080FS;68C123;55;('GWJ009BND100FS', '68L042')
114;GBA005BND080FS;68C125;35;('GLI002BND100FS', '68C126')
115;GBA005BND080FS;68C126;72;('GWF018BND200FS', '68J049')
116;GBA005BND080FS;68C129;20;('GLA001BND150FS', '68X077')
117;GBA005BND080FS;68C131;6;('GBA001BND060SS', '68S004')
118;GBA005BND080FS;68C133;110;('GLV005CQT100FS', '68S168')
119;GBA005BND080FS;68C134;36;('GWP002BND125FS', '68Q071')
