;Product;Cluster;Centroid
0;GBA001BND060FS;6;('GCO002NEU250FS',)
1;GBA001BND060SS;9;('GWM007NTA150FS',)
2;GBA001BND160FS;8;('TPO009BND300BW',)
3;GBA001BND250FS;3;('GWJ019NEU080FS',)
4;GBA001BNR250FS;6;('GCO002NEU250FS',)
5;GBA001CAR070FS;6;('GCO002NEU250FS',)
6;GBA001CAR125FS;8;('TPO009BND300BW',)
7;GBA001CAR200FS;8;('TPO009BND300BW',)
8;GBA001CQT060SS;5;('GWP015BND080FS',)
9;GBA001CQT125FS;1;('GBA001CQT125FS',)
10;GBA001DLZ080FS;1;('GBA001CQT125FS',)
11;GBA001FTG100FS;9;('GWM007NTA150FS',)
12;GBA001JLG100FS;1;('GBA001CQT125FS',)
13;GBA001JLG200FS;1;('GBA001CQT125FS',)
14;GBA001NEU250FS;5;('GWP015BND080FS',)
15;GBA001NTA125FS;3;('GWJ019NEU080FS',)
16;GBA001NTA200FS;1;('GBA001CQT125FS',)
17;GBA001PAM070FP;1;('GBA001CQT125FS',)
18;GBA001PAM200FS;1;('GBA001CQT125FS',)
19;GBA001PQC070FS;3;('GWJ019NEU080FS',)
20;GBA001PQC125FS;1;('GBA001CQT125FS',)
21;GBA001RTB150FP;1;('GBA001CQT125FS',)
22;GBA001SGM100FS;9;('GWM007NTA150FS',)
23;GBA001SLX080FS;5;('GWP015BND080FS',)
24;GBA001SPV090FP;4;('GWC012BND180FS',)
25;GBA001SPV200FS;5;('GWP015BND080FS',)
26;GBA001VLR125FS;6;('GCO002NEU250FS',)
27;GBA003CQT100FS;4;('GWC012BND180FS',)
28;GBA003ESB100FS;10;('GBA003ESB100FS',)
29;GBA003PAM125FS;5;('GWP015BND080FS',)
30;GBA005BND080FS;5;('GWP015BND080FS',)
31;GBE001FTG400FS;2;('GEP005CQT400FS',)
32;GBE001PQC500FS;8;('TPO009BND300BW',)
33;GBE004CQT400FS;2;('GEP005CQT400FS',)
34;GBF006BND125FR;9;('GWM007NTA150FS',)
35;GBF008BND265FR;2;('GEP005CQT400FS',)
36;GBF039BND125FR;4;('GWC012BND180FS',)
37;GBF042BND120FR;6;('GCO002NEU250FS',)
38;GBF043BND115FR;6;('GCO002NEU250FS',)
39;GBF046BND115FR;6;('GCO002NEU250FS',)
40;GBF047BND115FR;6;('GCO002NEU250FS',)
41;GCE003BNR2K5FS;1;('GBA001CQT125FS',)
42;GCE003BNR5K0FS;4;('GWC012BND180FS',)
43;GCH002BNR2K0FS;2;('GEP005CQT400FS',)
44;GCH004BND150DM;6;('GCO002NEU250FS',)
45;GCH004ESB200FS;6;('GCO002NEU250FS',)
46;GCH006BND200FS;3;('GWJ019NEU080FS',)
47;GCH006BNR1K2FS;3;('GWJ019NEU080FS',)
48;GCH006BRN200FS;4;('GWC012BND180FS',)
49;GCH006CAR250FP;9;('GWM007NTA150FS',)
50;GCH006CQT200FS;3;('GWJ019NEU080FS',)
51;GCH006DCO200FS;3;('GWJ019NEU080FS',)
52;GCH006DLZ200FS;3;('GWJ019NEU080FS',)
53;GCH006JLG200FP;9;('GWM007NTA150FS',)
54;GCH006NEU200FS;3;('GWJ019NEU080FS',)
55;GCH006PQC200FS;3;('GWJ019NEU080FS',)
56;GCH006RTB200FP;5;('GWP015BND080FS',)
57;GCH006SLX200FS;5;('GWP015BND080FS',)
58;GCH006VLR200FS;4;('GWC012BND180FS',)
59;GCO002BND060SS;3;('GWJ019NEU080FS',)
60;GCO002BND080FS;3;('GWJ019NEU080FS',)
61;GCO002BND100FS;4;('GWC012BND180FS',)
62;GCO002BND160FS;3;('GWJ019NEU080FS',)
63;GCO002BND250FS;9;('GWM007NTA150FS',)
64;GCO002BNG080FS;4;('GWC012BND180FS',)
65;GCO002BNR250FS;4;('GWC012BND180FS',)
66;GCO002BNR300FS;6;('GCO002NEU250FS',)
67;GCO002BRN100FP;5;('GWP015BND080FS',)
68;GCO002CAE090FS;6;('GCO002NEU250FS',)
69;GCO002CAR080FS;6;('GCO002NEU250FS',)
70;GCO002CAR125FS;6;('GCO002NEU250FS',)
71;GCO002CAR200FS;6;('GCO002NEU250FS',)
72;GCO002CQT060SS;4;('GWC012BND180FS',)
73;GCO002CQT125FS;3;('GWJ019NEU080FS',)
74;GCO002DCO100FS;3;('GWJ019NEU080FS',)
75;GCO002DLZ080FS;3;('GWJ019NEU080FS',)
76;GCO002FTG100FS;7;('GWS074BND125FS',)
77;GCO002JLG100FS;7;('GWS074BND125FS',)
78;GCO002JLG200FS;3;('GWJ019NEU080FS',)
79;GCO002MCD200FS;9;('GWM007NTA150FS',)
80;GCO002NEU080FS;9;('GWM007NTA150FS',)
81;GCO002NEU250FS;6;('GCO002NEU250FS',)
82;GCO002NEU300FS;6;('GCO002NEU250FS',)
83;GCO002NTA100FS;3;('GWJ019NEU080FS',)
84;GCO002NTA200FS;3;('GWJ019NEU080FS',)
85;GCO002PAM080FP;1;('GBA001CQT125FS',)
86;GCO002PAM200FS;1;('GBA001CQT125FS',)
87;GCO002PQC070FS;3;('GWJ019NEU080FS',)
88;GCO002PQC125FS;3;('GWJ019NEU080FS',)
89;GCO002SCV150FS;6;('GCO002NEU250FS',)
90;GCO002SGM100FS;9;('GWM007NTA150FS',)
91;GCO002SLX080FS;5;('GWP015BND080FS',)
92;GCO002SLX150FS;7;('GWS074BND125FS',)
93;GCO002SPV100FP;4;('GWC012BND180FS',)
94;GCO002VLR125FS;6;('GCO002NEU250FS',)
95;GCO003CQT080FS;4;('GWC012BND180FS',)
96;GCO003ESB100FS;5;('GWP015BND080FS',)
97;GCO003PAM125FS;5;('GWP015BND080FS',)
98;GCO003RTB125FP;8;('TPO009BND300BW',)
99;GCO005BND090FS;5;('GWP015BND080FS',)
100;GEP004ESE150FP;2;('GEP005CQT400FS',)
101;GEP004NEU080FS;2;('GEP005CQT400FS',)
102;GEP004NEU125FP;5;('GWP015BND080FS',)
103;GEP004PQC150FP;6;('GCO002NEU250FS',)
104;GEP004RTB150FP;9;('GWM007NTA150FS',)
105;GEP005BND250FS;9;('GWM007NTA150FS',)
106;GEP005CQT400FS;2;('GEP005CQT400FS',)
107;GEP006BND400FS;2;('GEP005CQT400FS',)
108;GEP006BRN500FS;2;('GEP005CQT400FS',)
109;GEP006DCO500FS;8;('TPO009BND300BW',)
110;GEP006FTG400FS;2;('GEP005CQT400FS',)
111;GEP006PQC500FS;7;('GWS074BND125FS',)
112;GEP006SGM500FS;2;('GEP005CQT400FS',)
113;GEP007BND370FS;6;('GCO002NEU250FS',)
114;GKC002ESE200FP;1;('GBA001CQT125FS',)
115;GKC002JLG200FP;1;('GBA001CQT125FS',)
116;GKC002SPV140FP;8;('TPO009BND300BW',)
117;GKC003ESE100FP;3;('GWJ019NEU080FS',)
118;GKC004NEU100FS;2;('GEP005CQT400FS',)
119;GKC005ESB100FS;1;('GBA001CQT125FS',)
120;GKF001DCO500FS;2;('GEP005CQT400FS',)
121;GKG002BNR1K0FS;6;('GCO002NEU250FS',)
122;GKP001SPV200FS;6;('GCO002NEU250FS',)
123;GKP002BNR1K0FS;7;('GWS074BND125FS',)
124;GKP004ESB100FS;1;('GBA001CQT125FS',)
125;GKS001DCO500FS;2;('GEP005CQT400FS',)
