;Product;Cluster;Centroid
0;GBA001BND060FS;1;('GLI002DLZ200FS',)
1;GBA001BND060SS;4;('GLV001BND080FS',)
2;GBA001BND160FS;7;('GWP002BNG080FS',)
3;GBA001BND250FS;8;('GWP005RTB125FP',)
4;GBA001BNR250FS;5;('GLA001PAM150FS',)
5;GBA001CAR125FS;6;('GLV001CAR200FS',)
6;GBA001CAR200FS;6;('GLV001CAR200FS',)
7;GBA001CQT060SS;6;('GLV001CAR200FS',)
8;GBA001CQT125FS;6;('GLV001CAR200FS',)
9;GBA001DLZ080FS;4;('GLV001BND080FS',)
10;GBA001FTG100FS;10;('GLI002CQT250FS',)
11;GBA001JLG100FS;11;('GWP007PAM080FP',)
12;GBA001JLG200FS;8;('GWP005RTB125FP',)
13;GBA001NEU250FS;1;('GLI002DLZ200FS',)
14;GBA001NTA125FS;4;('GLV001BND080FS',)
15;GBA001NTA200FS;11;('GWP007PAM080FP',)
16;GBA001PAM070FP;11;('GWP007PAM080FP',)
17;GBA001PAM200FS;4;('GLV001BND080FS',)
18;GBA001PQC070FS;6;('GLV001CAR200FS',)
19;GBA001PQC125FS;11;('GWP007PAM080FP',)
20;GBA001RTB150FP;1;('GLI002DLZ200FS',)
21;GBA001SGM100FS;11;('GWP007PAM080FP',)
22;GBA001SLX080FS;6;('GLV001CAR200FS',)
23;GBA001SPV090FP;7;('GWP002BNG080FS',)
24;GBA001SPV200FS;2;('GWQ001BND100FS',)
25;GBA003CQT100FS;7;('GWP002BNG080FS',)
26;GBA003ESB100FS;7;('GWP002BNG080FS',)
27;GBA003PAM125FS;7;('GWP002BNG080FS',)
28;GBA005BND080FS;6;('GLV001CAR200FS',)
29;GBE001FTG400FS;9;('TPO001BND600BW',)
30;GBE001PQC500FS;9;('TPO001BND600BW',)
31;GBE004CQT400FS;9;('TPO001BND600BW',)
32;GBF006BND125FR;7;('GWP002BNG080FS',)
33;GBF039BND125FR;7;('GWP002BNG080FS',)
