;Product;Client;Cluster;Centroid
0;GBA001BND060FS;68C011;55;('GBF046BND115FR', '68A139')
1;GBA001BND060FS;68C124;3;('GBA001BND060FS', '68X078')
2;GBA001BND060FS;68C131;99;('GCO002BND100FS', '68S005')
3;GBA001BND060FS;68C134;48;('GLV005CQT100FS', '68Q071')
4;GBA001BND060FS;68H142;45;('GLV001PQC070FS', '68K060')
5;GBA001BND060FS;68K052;45;('GLV001PQC070FS', '68K060')
6;GBA001BND060FS;68K053;47;('GBF042BND120FR', '0')
7;GBA001BND060FS;68S003;47;('GBF042BND120FR', '0')
8;GBA001BND060FS;68S004;88;('GCO002BND060SS', '68S016')
9;GBA001BND060FS;68S005;47;('GBF042BND120FR', '0')
10;GBA001BND060FS;68S007;47;('GBF042BND120FR', '0')
11;GBA001BND060FS;68S016;64;('GBF047BND115FR', '68C129')
12;GBA001BND060FS;68S106;3;('GBA001BND060FS', '68X078')
13;GBA001BND060FS;68S110;64;('GBF047BND115FR', '68C129')
14;GBA001BND060FS;68X077;99;('GCO002BND100FS', '68S005')
15;GBA001BND060FS;68X078;3;('GBA001BND060FS', '68X078')
16;GBA001BND060FS;68X080;99;('GCO002BND100FS', '68S005')
17;GBA001BND060FS;68X083;3;('GBA001BND060FS', '68X078')
18;GBA001BND060FS;68Y044;11;('GCO002DCO100FS', '0')
19;GBA001BND060FS;69N157;51;('GWP015BND080FS', '68S110')
20;GBA001BND060FS;78X.;62;('GLA001BND150FS', '68C134')
21;GBA001BND060FS;7HT163;64;('GBF047BND115FR', '68C129')
22;GBA001BND060FS;0;47;('GBF042BND120FR', '0')
23;GBA001BND060SS;68A139;60;('GWJ031BND080FS', '68Q061')
24;GBA001BND060SS;68C120;93;('GWM001BND150FS', '68F090')
25;GBA001BND060SS;68C122;96;('TTA023BND200FR', '68Q067')
26;GBA001BND060SS;68C126;46;('GWJ012SLX080FS', '69F026')
27;GBA001BND060SS;68C129;5;('GBA001BND060SS', '68E102')
28;GBA001BND060SS;68C130;5;('GBA001BND060SS', '68E102')
29;GBA001BND060SS;68C133;53;('GWP015BND080FS', '69F022')
30;GBA001BND060SS;68C134;3;('GBA001BND060FS', '68X078')
31;GBA001BND060SS;68E102;5;('GBA001BND060SS', '68E102')
32;GBA001BND060SS;68F090;11;('GCO002DCO100FS', '0')
33;GBA001BND060SS;68F091;5;('GBA001BND060SS', '68E102')
34;GBA001BND060SS;68F095;5;('GBA001BND060SS', '68E102')
35;GBA001BND060SS;68F096;93;('GWM001BND150FS', '68F090')
36;GBA001BND060SS;68H143;17;('GWF001PQC200FP', '0')
37;GBA001BND060SS;68H148;3;('GBA001BND060FS', '68X078')
38;GBA001BND060SS;68J046;7;('GWW003BND100FS', '69F021')
39;GBA001BND060SS;68J048;97;('GWG026BND090FS', '68S005')
40;GBA001BND060SS;68J049;47;('GBF042BND120FR', '0')
41;GBA001BND060SS;68K056;9;('GWM007BND090SS', '68H141')
42;GBA001BND060SS;68L037;90;('GWS076BND125FS', '68L037')
43;GBA001BND060SS;68L038;60;('GWJ031BND080FS', '68Q061')
44;GBA001BND060SS;68L039;51;('GWP015BND080FS', '68S110')
45;GBA001BND060SS;68S002;16;('GBA001BNR250FS', '0')
46;GBA001BND060SS;68S004;35;('GLV001BNG080FS', '0')
47;GBA001BND060SS;68S016;88;('GCO002BND060SS', '68S016')
48;GBA001BND060SS;68S106;60;('GWJ031BND080FS', '68Q061')
49;GBA001BND060SS;68S110;88;('GCO002BND060SS', '68S016')
50;GBA001BND060SS;68S168;39;('GWJ012BND080FS', '68S004')
51;GBA001BND060SS;68W153;42;('GEP006BND400FS', '68L038')
52;GBA001BND060SS;68X078;15;('GWG029BND125FS', '0')
53;GBA001BND060SS;68X080;39;('GWJ012BND080FS', '68S004')
54;GBA001BND060SS;68X081;59;('GBF046BND115FR', '68Q064')
55;GBA001BND060SS;68X082;88;('GCO002BND060SS', '68S016')
56;GBA001BND060SS;68X084;88;('GCO002BND060SS', '68S016')
57;GBA001BND060SS;68Y044;64;('GBF047BND115FR', '68C129')
58;GBA001BND060SS;69F021;53;('GWP015BND080FS', '69F022')
59;GBA001BND060SS;69F026;60;('GWJ031BND080FS', '68Q061')
60;GBA001BND060SS;69K074;73;('GWQ001BND100FS', '69K074')
61;GBA001BND060SS;69L014;88;('GCO002BND060SS', '68S016')
62;GBA001BND060SS;69N157;39;('GWJ012BND080FS', '68S004')
63;GBA001BND060SS;69Y209;60;('GWJ031BND080FS', '68Q061')
64;GBA001BND060SS;78X.;22;('GWJ009BND100FS', '68J046')
65;GBA001BND060SS;79P098;9;('GWM007BND090SS', '68H141')
66;GBA001BND060SS;0;60;('GWJ031BND080FS', '68Q061')
67;GBA001BND160FS;68A139;97;('GWG026BND090FS', '68S005')
68;GBA001BND160FS;68C129;72;('GLA001CQT150FS', '68Q070')
69;GBA001BND160FS;68D043;55;('GBF046BND115FR', '68A139')
70;GBA001BND160FS;68F090;88;('GCO002BND060SS', '68S016')
71;GBA001BND160FS;68G156;75;('GWA003BND100FS', '68H148')
72;GBA001BND160FS;68H142;93;('GWM001BND150FS', '68F090')
73;GBA001BND160FS;68H143;30;('GWJ009BND100FS', '7FA104')
74;GBA001BND160FS;68J046;60;('GWJ031BND080FS', '68Q061')
75;GBA001BND160FS;68L037;90;('GWS076BND125FS', '68L037')
76;GBA001BND160FS;68Q064;98;('GWU002BND180FS', '68J046')
77;GBA001BND160FS;68Q071;94;('TTA023BND200FR', '68K056')
78;GBA001BND160FS;68S002;43;('TPO001BND600BW', '68L039')
79;GBA001BND160FS;68S110;91;('GWS076BND125FS', '68Q067')
80;GBA001BND160FS;68X081;91;('GWS076BND125FS', '68Q067')
81;GBA001BND160FS;68Y044;55;('GBF046BND115FR', '68A139')
82;GBA001BND160FS;69F021;87;('GWS076BND125FS', '68J046')
83;GBA001BND160FS;69F022;58;('TPO004BND600BW', '68Q061')
84;GBA001BND160FS;69F025;72;('GLA001CQT150FS', '68Q070')
85;GBA001BND160FS;69G031;33;('GWJ010CQT150FS', '68Q069')
86;GBA001BND160FS;69L014;3;('GBA001BND060FS', '68X078')
87;GBA001BND160FS;78X.;22;('GWJ009BND100FS', '68J046')
88;GBA001BND160FS;0;17;('GWF001PQC200FP', '0')
89;GBA001BND250FS;79P098;54;('GLV008BND090FS', '68J049')
90;GBA001BND250FS;0;54;('GLV008BND090FS', '68J049')
91;GBA001BNR250FS;69D013;48;('GLV005CQT100FS', '68Q071')
92;GBA001BNR250FS;69D206;66;('GBF047BND115FR', '69Y209')
93;GBA001BNR250FS;69L014;47;('GBF042BND120FR', '0')
94;GBA001BNR250FS;78X.;54;('GLV008BND090FS', '68J049')
95;GBA001BNR250FS;0;16;('GBA001BNR250FS', '0')
96;GBA001CAR125FS;68J046;12;('GWM007PQC150FS', '68K058')
97;GBA001CAR125FS;0;12;('GWM007PQC150FS', '68K058')
98;GBA001CAR200FS;68J046;53;('GWP015BND080FS', '69F022')
99;GBA001CAR200FS;0;53;('GWP015BND080FS', '69F022')
100;GBA001CQT060SS;68Q061;48;('GLV005CQT100FS', '68Q071')
101;GBA001CQT060SS;68Q062;32;('GWJ010CQT150FS', '68Q061')
102;GBA001CQT060SS;68Q066;15;('GWG029BND125FS', '0')
103;GBA001CQT060SS;68Q069;12;('GWM007PQC150FS', '68K058')
104;GBA001CQT060SS;68Q070;60;('GWJ031BND080FS', '68Q061')
105;GBA001CQT060SS;0;30;('GWJ009BND100FS', '7FA104')
106;GBA001CQT125FS;68Q061;40;('GBA005BND080FS', '69Y209')
107;GBA001CQT125FS;68Q064;26;('GCO005BND090FS', '68F090')
108;GBA001CQT125FS;68Q066;18;('GBA001CQT125FS', '68Q066')
109;GBA001CQT125FS;68Q067;37;('GEP005CQT400FS', '68Q067')
110;GBA001CQT125FS;68Q069;18;('GBA001CQT125FS', '68Q066')
111;GBA001CQT125FS;68Q070;51;('GWP015BND080FS', '68S110')
112;GBA001CQT125FS;68Q071;28;('TBG002BND180BV', '68C129')
113;GBA001CQT125FS;68S168;19;('GBA001CQT125FS', '68S168')
114;GBA001CQT125FS;0;44;('GWF019BND080FS', '68Q069')
115;GBA001DLZ080FS;68C125;94;('TTA023BND200FR', '68K056')
116;GBA001DLZ080FS;68C130;5;('GBA001BND060SS', '68E102')
117;GBA001DLZ080FS;68E102;7;('GWW003BND100FS', '69F021')
118;GBA001DLZ080FS;0;11;('GCO002DCO100FS', '0')
119;GBA001FTG100FS;68J048;20;('GWJ009BND100FS', '68F096')
120;GBA001FTG100FS;0;20;('GWJ009BND100FS', '68F096')
121;GBA001JLG100FS;69F029;46;('GWJ012SLX080FS', '69F026')
122;GBA001JLG100FS;0;46;('GWJ012SLX080FS', '69F026')
123;GBA001JLG200FS;69F029;84;('GWS074BND125FS', '69F026')
124;GBA001JLG200FS;0;84;('GWS074BND125FS', '69F026')
125;GBA001NEU250FS;0;44;('GWF019BND080FS', '68Q069')
126;GBA001NTA125FS;68R097;46;('GWJ012SLX080FS', '69F026')
127;GBA001NTA125FS;0;46;('GWJ012SLX080FS', '69F026')
128;GBA001NTA200FS;68R097;20;('GWJ009BND100FS', '68F096')
129;GBA001NTA200FS;0;20;('GWJ009BND100FS', '68F096')
130;GBA001PAM070FP;68E103;3;('GBA001BND060FS', '68X078')
131;GBA001PAM070FP;0;3;('GBA001BND060FS', '68X078')
132;GBA001PAM200FS;68E103;39;('GWJ012BND080FS', '68S004')
133;GBA001PAM200FS;0;39;('GWJ012BND080FS', '68S004')
134;GBA001PQC070FS;68K053;25;('GWJ009BND100FS', '68X082')
135;GBA001PQC070FS;68K059;64;('GBF047BND115FR', '68C129')
136;GBA001PQC070FS;68K060;45;('GLV001PQC070FS', '68K060')
137;GBA001PQC070FS;0;46;('GWJ012SLX080FS', '69F026')
138;GBA001PQC125FS;68K052;60;('GWJ031BND080FS', '68Q061')
139;GBA001PQC125FS;68K058;60;('GWJ031BND080FS', '68Q061')
140;GBA001PQC125FS;68K059;60;('GWJ031BND080FS', '68Q061')
141;GBA001PQC125FS;68S168;59;('GBF046BND115FR', '68Q064')
142;GBA001PQC125FS;69T012;97;('GWG026BND090FS', '68S005')
143;GBA001PQC125FS;78X.;20;('GWJ009BND100FS', '68F096')
144;GBA001PQC125FS;0;60;('GWJ031BND080FS', '68Q061')
145;GBA001RTB150FP;68K052;44;('GWF019BND080FS', '68Q069')
146;GBA001RTB150FP;68S168;7;('GWW003BND100FS', '69F021')
147;GBA001RTB150FP;0;44;('GWF019BND080FS', '68Q069')
148;GBA001SGM100FS;68H143;24;('GWJ009BND100FS', '68X078')
149;GBA001SGM100FS;0;24;('GWJ009BND100FS', '68X078')
150;GBA001SLX080FS;69F026;46;('GWJ012SLX080FS', '69F026')
151;GBA001SLX080FS;0;46;('GWJ012SLX080FS', '69F026')
152;GBA001SPV090FP;69G033;42;('GEP006BND400FS', '68L038')
153;GBA001SPV090FP;0;42;('GEP006BND400FS', '68L038')
154;GBA001SPV200FS;69G033;9;('GWM007BND090SS', '68H141')
155;GBA001SPV200FS;0;9;('GWM007BND090SS', '68H141')
156;GBA003CQT100FS;68Q061;97;('GWG026BND090FS', '68S005')
157;GBA003CQT100FS;68Q064;42;('GEP006BND400FS', '68L038')
158;GBA003CQT100FS;68Q067;61;('GLA001BND150FS', '68C129')
159;GBA003CQT100FS;68Q070;42;('GEP006BND400FS', '68L038')
160;GBA003CQT100FS;68Q071;37;('GEP005CQT400FS', '68Q067')
161;GBA003CQT100FS;68S168;5;('GBA001BND060SS', '68E102')
162;GBA003CQT100FS;0;42;('GEP006BND400FS', '68L038')
163;GBA003ESB100FS;68R097;79;('GWS074BND125FS', '68J046')
164;GBA003ESB100FS;0;79;('GWS074BND125FS', '68J046')
165;GBA003PAM125FS;68E103;49;('GWJ013PAM125FS', '68E103')
166;GBA003PAM125FS;0;49;('GWJ013PAM125FS', '68E103')
167;GBA005BND080FS;68A139;55;('GBF046BND115FR', '68A139')
168;GBA005BND080FS;68C011;77;('TPO006BND600BW', '0')
169;GBA005BND080FS;68C123;88;('GCO002BND060SS', '68S016')
170;GBA005BND080FS;68C125;89;('GCO002BND060SS', '68X080')
171;GBA005BND080FS;68C126;83;('GCO002BND060SS', '68C120')
172;GBA005BND080FS;68C129;55;('GBF046BND115FR', '68A139')
173;GBA005BND080FS;68C131;53;('GWP015BND080FS', '69F022')
174;GBA005BND080FS;68C133;82;('GWG025BND230FS', '68X085')
175;GBA005BND080FS;68C134;54;('GLV008BND090FS', '68J049')
176;GBA005BND080FS;68E102;42;('GEP006BND400FS', '68L038')
177;GBA005BND080FS;68F090;11;('GCO002DCO100FS', '0')
178;GBA005BND080FS;68F096;73;('GWQ001BND100FS', '69K074')
179;GBA005BND080FS;68G156;38;('GLV001CQT125FS', '68Q062')
180;GBA005BND080FS;68H141;11;('GCO002DCO100FS', '0')
181;GBA005BND080FS;68H142;75;('GWA003BND100FS', '68H148')
182;GBA005BND080FS;68H146;61;('GLA001BND150FS', '68C129')
183;GBA005BND080FS;68H148;91;('GWS076BND125FS', '68Q067')
184;GBA005BND080FS;68J046;9;('GWM007BND090SS', '68H141')
185;GBA005BND080FS;68J048;22;('GWJ009BND100FS', '68J046')
186;GBA005BND080FS;68J049;54;('GLV008BND090FS', '68J049')
187;GBA005BND080FS;68J050;48;('GLV005CQT100FS', '68Q071')
188;GBA005BND080FS;68K052;30;('GWJ009BND100FS', '7FA104')
189;GBA005BND080FS;68K054;15;('GWG029BND125FS', '0')
190;GBA005BND080FS;68K056;26;('GCO005BND090FS', '68F090')
191;GBA005BND080FS;68L037;51;('GWP015BND080FS', '68S110')
192;GBA005BND080FS;68L038;100;('GWM001BND150FS', '68X080')
193;GBA005BND080FS;68L039;16;('GBA001BNR250FS', '0')
194;GBA005BND080FS;68Q061;64;('GBF047BND115FR', '68C129')
195;GBA005BND080FS;68Q064;24;('GWJ009BND100FS', '68X078')
196;GBA005BND080FS;68Q070;78;('GWG025BND230FS', '68K052')
197;GBA005BND080FS;68Q071;43;('TPO001BND600BW', '68L039')
198;GBA005BND080FS;68S004;57;('TPO004BND600BW', '68L039')
199;GBA005BND080FS;68S005;58;('TPO004BND600BW', '68Q061')
200;GBA005BND080FS;68S016;26;('GCO005BND090FS', '68F090')
201;GBA005BND080FS;68S110;31;('GWP002BND160FS', '68C129')
202;GBA005BND080FS;68S168;93;('GWM001BND150FS', '68F090')
203;GBA005BND080FS;68X077;7;('GWW003BND100FS', '69F021')
204;GBA005BND080FS;68X078;28;('TBG002BND180BV', '68C129')
205;GBA005BND080FS;68X080;76;('GWG025BND230FS', '68E102')
206;GBA005BND080FS;68X083;15;('GWG029BND125FS', '0')
207;GBA005BND080FS;68X084;24;('GWJ009BND100FS', '68X078')
208;GBA005BND080FS;68X085;32;('GWJ010CQT150FS', '68Q061')
209;GBA005BND080FS;68Y044;44;('GWF019BND080FS', '68Q069')
210;GBA005BND080FS;68Y045;28;('TBG002BND180BV', '68C129')
